	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale	name	max_rhat	min_ess	divergences	bauer_commit	prior	converged
flexible2_noisefix_perception	0	-4157.651639897151	247.6264524078947	0.0	0.5668499976248439	47.60426798138458	0.0	True	log	Flexible PMC (cTBS on perceptual noise only)	1.0	745.0	86	e05f73a	full	True
flexible2_noisefix	1	-4159.693768147248	266.34266000889784	2.0421282500979494	0.07023740580712096	47.69268873557037	3.9203259466724845	True	log	Flexible PMC (cTBS on perceptual and memory noise)	1.01	353.0	28	e05f73a	full	False
flexible1_noisefix	2	-4184.606097170723	254.18245679117763	26.95445727357261	5.301939982528904e-10	48.47579818100791	10.66028000916552	True	log	Flexible PMC (cTBS on first- and second-option noise)	1.0	3696.0	10	e05f73a	full	True
weber1_noisefix	3	-4192.438178749801	177.3566238363187	34.78653885265114	0.36291260005601983	46.442786424729626	17.32186085443205	False	log	Weber PMC (cTBS on first- and second-option noise)	1.0	1466.0	0	e05f73a	full	True
weber2_noisefix	4	-4204.083386543016	158.80627139906028	46.431746645865644	7.78591851068163e-10	46.1033399244476	17.18114190089576	False	log	Weber PMC (cTBS on perceptual and memory noise)	1.0	7709.0	0	e05f73a	full	True
weber2_noisefix_perception	5	-4204.229476562542	150.01046227744882	46.57783666539121	5.294051457874742e-10	46.07040274853818	17.01944534681456	False	log	Weber PMC (cTBS on perceptual noise only)	1.0	6883.0	0	e05f73a	full	True
weber1_noisefix_first	6	-4209.568375370856	158.17590846049097	51.9167354737058	7.166559194018371e-10	46.1784334103253	17.59072491489864	False	log	Weber PMC (cTBS on first-presented option only)	1.0	5363.0	0	e05f73a	full	True
weber1_noisefix_second	7	-4216.108194455767	165.62143507594647	58.45655455861679	6.170329209290374e-10	46.3695105863908	17.1844866153368	False	log	Weber PMC (cTBS on second-presented option only)	1.01	201.0	2	e05f73a	full	False
flexible2_noisefix_memory	8	-4217.518629434529	250.51355229051296	59.86698953737881	2.5892918785998777e-10	47.38414938233933	12.217940404470555	True	log	Flexible PMC (cTBS on memory noise only)	1.01	386.0	739	e05f73a	full	False
flexible1_noisefix_first	9	-4221.972703000729	221.3924987522796	64.32106310357882	3.268212155874088e-10	48.26238480328615	13.356581961368	True	log	Flexible PMC (cTBS on first-presented option only)	1.0	2550.0	15	e05f73a	full	True
flexible1_noisefix_second	10	-4227.51769416166	222.5379793723232	69.86605426450978	2.1881696455982158e-10	48.16539653159992	13.07053712204871	True	log	Flexible PMC (cTBS on second-presented option only)	1.0	946.0	26	e05f73a	full	True
weber2_noisefix_memory	11	-4229.897592605883	147.0050424917381	72.24595270873255	6.242974749402346e-10	45.957114211809014	17.828910799031974	False	log	Weber PMC (cTBS on memory noise only)	1.0	5413.0	1	e05f73a	full	True
weber1_noisefix_null	12	-4261.723460045809	131.28015209430123	104.07182014865788	3.399149375496852e-10	45.87438795923125	17.8634047735976	False	log	Weber PMC null model	1.0	3140.0	0	e05f73a	full	True
weber2_noisefix_null	13	-4268.094607438026	122.96061811625077	110.44296754087611	4.021282739289468e-10	45.69993950965108	18.306792753542656	False	log	Weber PMC null model	1.0	7827.0	0	e05f73a	full	True
flexible1_noisefix_null	14	-4271.757501728624	164.17579530714374	114.10586183147424	1.1761898687199175e-10	47.73487528699704	15.792291377374832	True	log	Flexible PMC null model	1.0	1259.0	0	e05f73a	full	True
flexible2_noisefix_null	15	-4273.208315868183	192.50019298807456	115.55667597103219	0.0	46.82623004103542	14.378453080804887	True	log	Flexible PMC null model	1.02	109.0	664	e05f73a	full	False
