order	n_safe	channel	delta	lo	hi
Risky first	7.0	bias_only	-0.027907782099593787	-0.06162356389549666	0.004467390170883519
Risky first	10.0	bias_only	-0.007194857057816565	-0.02954979076335279	0.01286444374614099
Risky first	14.0	bias_only	0.001161372620327557	-0.02436621430597589	0.026641963472434617
Risky first	20.0	bias_only	0.011371414969336767	-0.023865046493214716	0.045997574179145045
Risky first	28.0	bias_only	0.020115307421609736	-0.018951972337864054	0.059332013185119416
Risky second	7.0	bias_only	0.04557006963038426	0.004056665763801631	0.09206212278434389
Risky second	10.0	bias_only	0.012205442531529331	-0.01038092870297501	0.03544771431047734
Risky second	14.0	bias_only	0.01660223207516623	-0.011452058603895175	0.04146398878448223
Risky second	20.0	bias_only	0.031857264164409996	0.0007632731345526631	0.06665572787589015
Risky second	28.0	bias_only	0.03058259758781157	-0.001919249770946649	0.06732214470514046
Risky first	7.0	bias_risky_percept_only	-0.005272214145773514	-0.025902469677250847	0.012860990699223527
Risky first	10.0	bias_risky_percept_only	-0.0036104533295838077	-0.02458034447099972	0.014234141727859017
Risky first	14.0	bias_risky_percept_only	-0.010365347639863486	-0.03422488042864283	0.011989369460699275
Risky first	20.0	bias_risky_percept_only	-0.0061344145523800735	-0.03804683783216788	0.0270158891994902
Risky first	28.0	bias_risky_percept_only	0.015299701312297291	-0.022694840645481978	0.053331085214465404
Risky second	7.0	bias_risky_percept_only	0.020466491758620798	-0.0010470437986733103	0.048443518923417146
Risky second	10.0	bias_risky_percept_only	0.00288218551593421	-0.015704025791460255	0.02222397003811687
Risky second	14.0	bias_risky_percept_only	0.0004244560711494194	-0.023379252169589994	0.0236388540065334
Risky second	20.0	bias_risky_percept_only	0.0028271033976282247	-0.02466355565787263	0.028991682619937363
Risky second	28.0	bias_risky_percept_only	0.003577939662599648	-0.0365853121922833	0.04057600670550981
Risky first	7.0	bias_safe_percept_only	-0.02234914176876871	-0.052797041870986425	0.0016277970368741399
Risky first	10.0	bias_safe_percept_only	-0.0017563485817820718	-0.0208001591910081	0.014856925298566014
Risky first	14.0	bias_safe_percept_only	0.013431033745536818	-0.0037701942036048237	0.03234504998520285
Risky first	20.0	bias_safe_percept_only	0.017129313472215947	-0.014796759073272556	0.04868237559751206
Risky first	28.0	bias_safe_percept_only	0.0041854696955227364	-0.031265893593847204	0.04491077162569934
Risky second	7.0	bias_safe_percept_only	0.024599820475730668	-0.008154283927501543	0.05985362250737607
Risky second	10.0	bias_safe_percept_only	0.009923311315617056	-0.006904284061768072	0.03074160544867388
Risky second	14.0	bias_safe_percept_only	0.01655990487273368	-0.005665394254776352	0.042389469833013727
Risky second	20.0	bias_safe_percept_only	0.026771607674327114	-0.005116101278421074	0.05755078975842386
Risky second	28.0	bias_safe_percept_only	0.02207610849171084	-0.013521288721679955	0.05952747133876806
Risky first	7.0	full	-0.03317247902225376	-0.06978254212552511	0.0015118194398345158
Risky first	10.0	full	-0.010201796348690397	-0.03212654324587464	0.009884160805624986
Risky first	14.0	full	0.0024894686766124574	-0.021634565563546246	0.027931618870142057
Risky first	20.0	full	0.013535733215997775	-0.020108863806571772	0.047910239521373674
Risky first	28.0	full	0.020077991119500732	-0.020341400121165035	0.06049469072870351
Risky second	7.0	full	0.04762379457120879	0.0010851802544725123	0.09266895800558095
Risky second	10.0	full	0.01327791072920736	-0.007521493822438904	0.0390232417320064
Risky second	14.0	full	0.017545553458890716	-0.011066925789591231	0.04308296861768014
Risky second	20.0	full	0.03268398965788408	-0.0007681677813865703	0.06643184753054313
Risky second	28.0	full	0.03038390096238103	-0.0062179607262965175	0.06790609988646894
Risky first	7.0	noise_only	-0.004573829472091239	-0.01624231423410575	0.007572599031505653
Risky first	10.0	noise_only	-0.0015587276779793898	-0.007875128848084138	0.005309725777873707
Risky first	14.0	noise_only	-0.0032756546916924284	-0.009900464052007932	0.002624716811586529
Risky first	20.0	noise_only	-0.0057850919319256565	-0.012404330010174647	0.00017775955874824701
Risky first	28.0	noise_only	-0.0068936124290378846	-0.01565645998176228	0.000578123799609327
Risky second	7.0	noise_only	0.0014538487216879227	-0.006778850734710575	0.009823023954926994
Risky second	10.0	noise_only	0.0012149851950703707	-0.0034171302837654807	0.006221811816373545
Risky second	14.0	noise_only	-0.0008867519731597057	-0.007202412564254981	0.004649425275451685
Risky second	20.0	noise_only	-0.002139563583582578	-0.00809955568609518	0.003996105232718581
Risky second	28.0	noise_only	-0.00647684170312321	-0.013777175833203302	7.042939377650146e-05
