label	order	n_safe	n_sub	risky	risky_sem	risky_sd	risky_lo	risky_hi	safe	safe_sem	safe_sd	safe_lo	safe_hi	ratio	ratio_sem	ratio_sd	ratio_lo	ratio_hi	noise	noise_sem	noise_sd	noise_lo	noise_hi
log-power-percpsd.pathfinder.klw	Risky first	7.0	35	0.9577903216690518	1.1560720283456907	6.839414354702908	-0.9552561751271571	3.0336673593364507	-0.3421350693950773	0.7955478796648316	4.7065247273728765	-2.0536241009810294	1.5488339792731067	1.7670827762784114	1.606690074905618	9.505306669855935	-0.4059806453406084	4.055807852879877	8.109183169908974	1.9836640983820324	11.73551506889847	-0.4515530942076263	17.648786009446987
log-power-percpsd.pathfinder.klw	Risky first	10.0	35	0.6366980445919875	1.2133024091634537	7.177993853637967	-1.231655567013422	2.453199409197878	-1.0712754256954673	0.661281716625253	3.9121953946600687	-2.817341003077006	0.45906114086288935	2.0920305248446462	1.636732665475407	9.683041032557803	0.4620400270861158	3.699093161259879	7.5475497112434695	1.7420724433646102	10.306239562884322	-0.35291005294912353	16.511246677564323
log-power-percpsd.pathfinder.klw	Risky first	14.0	35	0.6971881450921977	1.5840309134054193	9.37125326260262	-1.75765102025324	3.0653705129086832	-1.7797286917012087	0.6270460726453752	3.7096545934493173	-3.7444370094515587	-0.05864521254112064	2.887113042715442	2.000262159726379	11.833710524056405	0.9782941631285899	4.592521273902436	7.043576996872091	1.5097466756687963	8.931781785526018	-1.1902981210235872	16.161459900599663
log-power-percpsd.pathfinder.klw	Risky first	20.0	35	1.2306470315773421	2.215051444140032	13.104421067202452	-2.0557146267792503	4.693139854027376	-2.511961309244863	0.7004989704221769	4.144207796996737	-5.108591264353014	-0.07407641394780348	4.313022844822224	2.661572533333336	15.74607545570658	1.8217988966725844	6.711083246580332	6.591421285153125	1.284158543236719	7.597184395937409	-1.9321703307443443	15.45947450804982
log-power-percpsd.pathfinder.klw	Risky first	28.0	35	2.3187547366381054	2.9920698875719443	17.70132417148552	-2.7535737930009105	7.299727965962305	-3.1084880929219882	0.8544686762306032	5.055104860739763	-6.798794271359328	0.7106602335544789	6.285672600594585	3.474859393632242	20.557545407781497	2.774391816278532	9.983464661797337	6.278564065801454	1.1243949923726766	6.65201048259444	-2.8627121465846574	15.673613683623604
log-power-percpsd.pathfinder.klw	Risky second	7.0	35	0.636405737358876	0.9587091855119892	5.671800030279379	-0.9932458225144492	2.456033861142096	-0.40843276962521485	1.028333624179613	6.083703764290567	-2.6311266134262064	1.8444020202462903	1.785947315489018	1.6179299677334829	9.571802772579073	-0.4533366824426299	4.10069141944532	6.277118529300582	1.6399090961287859	9.701833049728675	-1.8948773680357365	15.122931386115237
log-power-percpsd.pathfinder.klw	Risky second	10.0	35	0.39835229726175025	1.1094609954613686	6.563659765386578	-1.2798829957083033	1.9647922390739456	-1.4248830692497252	0.8356132321297531	4.943554549093359	-3.5489152991271675	0.47728410959815265	2.4198251940180118	1.6907818734995872	10.0028004594422	0.6012595443263206	4.239338389505085	5.941536376223189	1.4508978121022462	8.583627213521565	-1.7443931364667367	14.232884690001615
log-power-percpsd.pathfinder.klw	Risky second	14.0	35	0.5440899988001103	1.5636912047268816	9.250921923295387	-1.7884801982829965	2.5562071576746894	-2.287159360280343	0.7834738577919477	4.635093850670005	-4.658629487149705	-0.13207587689572214	3.462309489608332	2.0997473170203573	12.422272651841796	1.5277441953454052	5.337189795331636	5.621685667808784	1.2768274621025544	7.553813135051313	-2.0319509778071176	13.93892161520633
log-power-percpsd.pathfinder.klw	Risky second	20.0	35	1.2574524045326902	2.3249484438646704	13.754580485496689	-2.137915067384202	4.517420986326267	-3.09267516421451	0.8691729760407312	5.142096671571097	-6.257431058998106	0.02003562227776493	5.211250776864567	2.8663099233050713	16.957318189362944	2.653374295027919	7.877207372980909	5.35422569903099	1.131717067287019	6.695328461965521	-2.5326692883490862	13.763995153245421
log-power-percpsd.pathfinder.klw	Risky second	28.0	35	2.681961303893279	3.304358494205319	19.548848483681578	-2.4793872952644707	8.30091975894595	-3.7062483327541487	1.0443055672877533	6.1781950540094535	-7.9963998907837555	0.7562687882531297	7.64764419904337	3.8618793158262625	22.84718614513033	3.6824904569103856	11.794136710797757	5.2168371805378655	1.065205350772457	6.301839840554468	-3.230920091046077	13.723118098010595
