label	elpd_loo	se	p_loo	elpd_diff_ref	dse_ref	z_ref	elpd_diff_best	dse_best	weight	max_rhat	min_ess	divergences	n_group_par	dir	bauer_commit	converged
lfx2-bs2-m2-dp-b	-4148.562173320028	46.64005903028615	250.3932556937093	0.4158305793493131	4.746869828839416	0.08760100747295643	0.0	0.0	0.25648453883546396	1.0	813.0	0	13	cogmodels.lfxgrid	dd6feab	True
lfx2-bs3-m2-dp-bm	-4148.978003899376	46.687487286491525	260.01758315396546	0.0	0.0		-0.4158305793493131	4.746869828839416	0.12839598290003645	1.01	726.0	3	13	cogmodels.lfxgrid	dd6feab	True
lfx2-bs2-m3-dp-bm	-4154.978764582858	46.796438852268224	271.14771519282976	-6.000760683481474	3.5267798567320234	-1.7014843362074448	-6.416591262830787	3.769984124653857	1.6054473541116056e-11	1.01	804.0	0	14	cogmodels.lfxgrid	dd6feab	True
flexible2_noisefix_perception.head	-4157.529923470823	47.603901936468695	246.8536835060122	-8.551919571446476	12.601488469027217	-0.6786436056713425	-8.967750150795789	12.515501309021037	0.34502128896086526	1.01	476.0	962	16	cogmodels.overnight	e05f73a	True
flexible2_noisefix.head	-4161.048898306392	47.640082139903924	269.50025973229776	-12.07089440701513	12.399587218036846	-0.973491632806648	-12.486724986364443	12.80826838754408	7.973134285634349e-08	1.19	15.0	2283	16	cogmodels.overnight	e05f73a	False
lfx2-bs3-sm-dp-bm	-4163.489880387802	46.558394164316304	254.92017579294225	-14.511876488425568	7.008656086499851	-2.070564785790888	-14.92770706777488	8.019417981669717	7.0302113969015585e-06	1.02	220.0	0	12	cogmodels.lfxgrid	303bad4	False
flexible2.4_noisefix.head	-4165.246341934584	47.302839821888625	218.9879413097383	-16.26833803520754	12.233052973186194	-1.3298673741433433	-16.684168614556857	12.675845734981273	0.0737593568714346	1.0	5000.0	88	14	cogmodels.ladder	e05f73a	True
lfx2-bs3-m2-tp-bm	-4167.064905741376	46.73717950563077	283.7837766749949	-18.086901841998507	3.5871503935191322	-5.042136475425153	-18.50273242134782	5.445105577601516	1.9521353221816025e-08	1.56	7.0	4	13	cogmodels.lfxgrid	dd6feab	False
lfx2-bs2-m2-dp-bm	-4170.111761985878	46.70928206295841	288.0303119310879	-21.133758086500777	4.240935024620478	-4.983277971440281	-21.549588665850095	4.661538783640561	1.8621303906236814e-08	1.54	7.0	172	13	cogmodels.lfxgrid	dd6feab	False
lfx2-bs3-fm-dp-b	-4171.428230188715	46.867353264772824	300.86521107310955	-22.45022628933922	6.651010350169723	-3.375461036347106	-22.866056868688535	5.932813053723312	1.302975421673022e-08	2.23	5.0	9	16	cogmodels.lfxgrid	7f0d1a6	False
lfx2-bs3-m2-dp-b	-4173.271120491947	46.744789259767	276.9295983655038	-24.293116592570485	7.029498880558982	-3.455881707265982	-24.708947171919796	6.50145620280223	2.4466074623529433e-08	2.4	5.0	2	13	cogmodels.lfxgrid	dd6feab	False
lfx2-bs3-m3-dp-bm-hn	-4173.699253230917	46.85654320959192	287.61514507500806	-24.721249331541046	6.858585863332859	-3.6044236850201083	-25.137079910890357	7.684040543284067	2.930350431847405e-08	1.74	6.0	0	14	cogmodels.lfxgrid	978b528	False
lfx2-bs3-m3-dp-bm	-4175.586455453176	46.82017878336264	291.2726748183368	-26.608451553798886	9.041689834080492	-2.9428626774504782	-27.0242821331482	9.336931040926952	7.845243023002721e-08	2.37	5.0	6	14	cogmodels.lfxgrid	dd6feab	False
lfx2-bs3-m3-dp-bm-fs	-4176.1321936725735	46.77300993283627	284.4787219759605	-27.154189773197757	9.03598836312946	-3.0051156201127918	-27.570020352547076	9.481032176372507	1.5000544886590832e-07	1.82	6.0	0	12	cogmodels.lfxgrid	6d60f49	False
flexible2.3_noisefix.head	-4180.922228042321	47.42595514014879	204.28840920186758	-31.944224142945455	13.484784029577488	-2.3689088436922	-32.36005472229476	13.710022418392983	1.405836136670276e-07	1.0	4219.0	162	12	cogmodels.ladder	e05f73a	True
flexible1_noisefix.head	-4184.606097170723	48.4787064089963	254.18245679117763	-35.62809327134637	14.425644536778924	-2.469774794499526	-36.04392385069569	14.971376098271989	4.059280064485538e-07	1.0	3696.0	10	16	cogmodels.overnight	e05f73a	True
lfx2-cr3-m3-dp-bm	-4185.097247474053	46.5957516128524	278.3015159039319	-36.1192435746755	10.105176954646177	-3.574330636344624	-36.53507415402482	10.36935094507143	8.214543613248667e-08	2.14	5.0	33	14	cogmodels.lfxgrid	dd6feab	False
lfx2-bs3-w-dp-bm	-4195.092657103018	46.56554298769695	174.2579715817751	-46.11465320364121	12.53489550142225	-3.6789020856543155	-46.53048378299052	13.443965178329783	0.06397667447809942	1.0	886.0	0	8	cogmodels.lfxgrid	978b528	True
power1_full	-4199.960506177554	46.497251157406346	189.02774541750523	-50.982502278177144	14.72789694606047	-3.4616281241575586	-51.398332857526455	15.012596412275462	0.08005873576824604	1.41	8.0	336	9	cogmodels.power	1b73278	False
power1_exp	-4203.799933817345	46.2550227745143	177.8998073218695	-54.82192991796785	14.729340882058688	-3.7219540478382567	-55.237760497317154	14.487898139795638	2.717966749676759e-06	1.08	34.0	265	9	cogmodels.power	1b73278	False
power2	-4206.166831076796	46.329713358572704	165.6639504211057	-57.18882717741964	15.247150098939366	-3.750787970625268	-57.60465775676895	15.47833489482332	0.052281412979541426	1.01	725.0	285	9	cogmodels.power	1b73278	True
power2_full	-4206.985970077593	46.318869724908005	171.41115827037174	-58.00796617821659	14.683970187341203	-3.950427945449267	-58.4237967575659	14.843190890506111	1.6435446771148286e-06	1.0	3588.0	86	9	cogmodels.power	7e2bcea	True
power2_exp	-4209.0272683659	46.12185741109104	162.84758988418162	-60.04926446652334	14.92593254930003	-4.023149928366749	-60.46509504587265	14.898340162554993	1.1765903761858722e-06	1.02	264.0	87	9	cogmodels.power	7e2bcea	False
power1	-4209.47488302009	46.598124167810205	195.11857105451327	-60.49687912071364	15.208332088472918	-3.9778773088843162	-60.912709700062955	15.736637722057747	7.797342782967962e-06	1.18	16.0	101	9	cogmodels.power	1b73278	False
flexible2.6_noisefix.head	-4212.193172775747	47.70255372387065	274.2332168404623	-63.21516887637051	14.43800215023175	-4.378387551033564	-63.63099945571983	13.939800229007403	2.5910199648298506e-08	1.52	7.0	183	18	cogmodels.ladder	e05f73a	False
flexible2_noisefix_memory.head	-4217.548870397328	47.382065025738946	250.2530478570461	-68.57086649795187	13.872859994981543	-4.942806784091898	-68.98669707730116	14.739443985743543	3.305042462263899e-08	1.01	738.0	1183	16	cogmodels.overnight	e05f73a	True
lfx2-bs3-m3-dp-bm-sp	-4218.125538143886	46.917499332500434	315.9506306443059	-69.14753424450943	12.869520670238968	-5.3729688942040035	-69.56336482385873	13.173958227256412	3.225394628037441e-08	2.42	5.0	178	11	cogmodels.lfxgrid	6d60f49	False
flexible1_noisefix_first.head	-4221.972703000729	48.26528022788025	221.3924987522796	-72.99469910135258	15.254625561624978	-4.785086255081892	-73.41052968070188	15.76731494777869	4.926928154330665e-08	1.0	2550.0	15	16	cogmodels.overnight	e05f73a	True
flexible1_noisefix_second.head	-4227.51769416166	48.16828613753776	222.5379793723232	-78.53969026228356	15.098602116856592	-5.201785546398311	-78.95552084163286	15.457536477490377	2.6180229731475846e-08	1.0	946.0	26	16	cogmodels.overnight	e05f73a	True
lfx2-bs3-m2-dp-null	-4245.271220743446	46.209859921181014	181.74716706398567	-96.29321684406978	13.331866955556368	-7.2227856132285595	-96.70904742341911	13.799284699435137	1.1305013553615404e-08	1.0	3218.0	0	13	cogmodels.lfxgrid	dd6feab	True
flexible2.2_noisefix.head	-4251.297399363702	47.398053683326324	180.90274526819803	-102.31939546432623	17.224096800008265	-5.940479588124304	-102.73522604367555	17.112495452451544	4.086330076179113e-08	1.0	3839.0	888	10	cogmodels.ladder	e05f73a	True
lfx2-bs3-sd3-dp-t	-4255.930596596076	46.22627150828895	202.10567558759703	-106.95259269669882	13.729548964111364	-7.7899567550448845	-107.36842327604813	14.032558484635079	5.036372627060809e-09	1.56	7.0	7	14	cogmodels.lfxgrid	34e64a6	False
lfx2-bs3-w-dp-null	-4264.236751309926	46.09846928203235	133.21663386107957	-115.25874741054992	15.997005853636825	-7.20502001843967	-115.6745779898992	16.024540026815412	7.534030957233543e-09	1.0	1380.0	0	8	cogmodels.lfxgrid	978b528	True
flexible2_noisefix_null.head	-4271.424275769227	46.81610222823336	191.59785115843988	-122.44627186985001	15.843196993905895	-7.728634057693602	-122.86210244919934	15.986604449095402	3.5187763144145513e-09	1.02	259.0	2256	16	cogmodels.overnight	e05f73a	False
flexible1_noisefix_null.head	-4271.757501728624	47.73773906450131	164.17579530714374	-122.77949782924802	17.36637776226554	-7.069954339933163	-123.19532840859733	17.23442058440849	6.495479080725062e-09	1.0	1259.0	0	16	cogmodels.overnight	e05f73a	True
power1_null	-4287.82479997557	45.84912734702583	142.28204337397528	-138.84679607619373	18.127479772815036	-7.659464956867088	-139.26262665554304	17.964398880372634	4.071082203684467e-09	1.05	65.0	160	9	cogmodels.power	1b73278	False
power2_null	-4293.1013360769375	45.76384535015791	128.21774541184368	-144.12333217756083	18.2245195122247	-7.908210259309461	-144.53916275691014	18.258597145061092	3.690126839259955e-09	1.0	7848.0	80	9	cogmodels.power	7e2bcea	True
