subject	session	arm	model	mask	n_voxels	cvr2_mean	cvr2_median	frac_positive
1	2	vertex	m0	wholebrain	81317	-0.06581803411245346	-0.05491551756858826	0.02801382244795061
1	2	vertex	m0	NPC12r	601	-0.0668952539563179	-0.05889430642127991	0.12479201331114809
1	2	vertex	m0	NPCr	1018	-0.06481427699327469	-0.05741569399833679	0.12082514734774066
1	2	vertex	m0	NPCl	774	-0.06358319520950317	-0.053367361426353455	0.05426356589147287
1	3	ips	m0	wholebrain	81317	-0.07354763895273209	-0.05747628211975098	0.025013219867924295
1	3	ips	m0	NPC12r	601	-0.06423308700323105	-0.05459989979863167	0.11647254575707154
1	3	ips	m0	NPCr	1018	-0.06774795800447464	-0.058114536106586456	0.08349705304518663
1	3	ips	m0	NPCl	774	-0.05764833092689514	-0.044431421905756	0.06847545219638243
1	2	vertex	m1	wholebrain	81317	-0.061587706208229065	-0.05287575721740723	0.03146943443560387
1	2	vertex	m1	NPC12r	601	-0.06441755592823029	-0.059260379523038864	0.129783693843594
1	2	vertex	m1	NPCr	1018	-0.06222941726446152	-0.05711720883846283	0.1237721021611002
1	2	vertex	m1	NPCl	774	-0.06416739523410797	-0.054345861077308655	0.05426356589147287
1	3	ips	m1	wholebrain	81317	-0.06797883659601212	-0.053574442863464355	0.02833355878844522
1	3	ips	m1	NPC12r	601	-0.06434068083763123	-0.05439825728535652	0.11148086522462562
1	3	ips	m1	NPCr	1018	-0.06412605941295624	-0.05518493428826332	0.0825147347740668
1	3	ips	m1	NPCl	774	-0.05337166786193848	-0.04469180479645729	0.09043927648578812
1	2	vertex	m2	wholebrain	81317	-0.08408278971910477	-0.07200554758310318	0.029083709433451798
1	2	vertex	m2	NPC12r	601	-0.062005795538425446	-0.05755903199315071	0.14309484193011648
1	2	vertex	m2	NPCr	1018	-0.06694521009922028	-0.060523923486471176	0.12770137524557956
1	2	vertex	m2	NPCl	774	-0.0778822973370552	-0.06524141877889633	0.06847545219638243
1	3	ips	m2	wholebrain	81317	-0.1730273813009262	-0.07330048084259033	0.02898532902099192
1	3	ips	m2	NPC12r	601	-0.07494520395994186	-0.06838203221559525	0.08485856905158069
1	3	ips	m2	NPCr	1018	-0.07786822319030762	-0.06945054978132248	0.06483300589390963
1	3	ips	m2	NPCl	774	-0.07301285862922668	-0.06572528183460236	0.07622739018087855
2	2	vertex	m0	wholebrain	85259	-0.08896613121032715	-0.06470414251089096	0.03157437924441994
2	2	vertex	m0	NPC12r	489	-0.10128434747457504	-0.06174123287200928	0.07157464212678936
2	2	vertex	m0	NPCr	874	-0.0934358760714531	-0.06397907435894012	0.057208237986270026
2	2	vertex	m0	NPCl	696	-0.10373189300298691	-0.08010122925043106	0.033045977011494254
2	3	ips	m0	wholebrain	85259	-0.06833618879318237	-0.05576014518737793	0.032676902145228066
2	3	ips	m0	NPC12r	489	-0.1070166677236557	-0.08180317282676697	0.0081799591002045
2	3	ips	m0	NPCr	874	-0.08995873481035233	-0.07294687628746033	0.012585812356979404
2	3	ips	m0	NPCl	696	-0.07937274873256683	-0.06992480158805847	0.05028735632183908
2	2	vertex	m1	wholebrain	85259	-0.0780729204416275	-0.062375884503126144	0.03515171418853141
2	2	vertex	m1	NPC12r	489	-0.0754854828119278	-0.05748334527015686	0.06952965235173825
2	2	vertex	m1	NPCr	874	-0.0777437835931778	-0.06160686910152435	0.06292906178489703
2	2	vertex	m1	NPCl	696	-0.09265173971652985	-0.07555457204580307	0.034482758620689655
2	3	ips	m1	wholebrain	85259	-0.06249247491359711	-0.05210298299789429	0.03381461194712582
2	3	ips	m1	NPC12r	489	-0.10018947720527649	-0.07796672731637955	0.010224948875255624
2	3	ips	m1	NPCr	874	-0.08314116299152374	-0.06650607287883759	0.012585812356979404
2	3	ips	m1	NPCl	696	-0.07872727513313293	-0.06456780433654785	0.041666666666666664
2	2	vertex	m2	wholebrain	85259	-0.1651010662317276	-0.0779682919383049	0.03307568702424377
2	2	vertex	m2	NPC12r	489	-0.07321801781654358	-0.059900879859924316	0.0736196319018405
2	2	vertex	m2	NPCr	874	-0.07476383447647095	-0.06224582716822624	0.059496567505720827
2	2	vertex	m2	NPCl	696	-0.07532352954149246	-0.06046716496348381	0.027298850574712645
2	3	ips	m2	wholebrain	85259	-0.09791023284196854	-0.0743095874786377	0.026026577839289695
2	3	ips	m2	NPC12r	489	-0.09969425201416016	-0.08592686802148819	0.016359918200409
2	3	ips	m2	NPCr	874	-0.09338373690843582	-0.08383385837078094	0.013729977116704805
2	3	ips	m2	NPCl	696	-0.09505953639745712	-0.08633973449468613	0.027298850574712645
3	2	vertex	m0	wholebrain	77467	-0.08129970729351044	-0.06573440879583359	0.020305420372545728
3	2	vertex	m0	NPC12r	339	-0.12039468437433243	-0.08317150920629501	0.008849557522123894
3	2	vertex	m0	NPCr	598	-0.12338059395551682	-0.09258773922920227	0.008361204013377926
3	2	vertex	m0	NPCl	564	-0.0974854975938797	-0.07514068484306335	0.030141843971631204
