which	subject	payoff	n
risky	4	41.0	8
risky	4	43.0	8
risky	4	45.0	8
risky	4	48.0	8
risky	4	50.0	7
risky	4	56.0	8
risky	4	58.0	8
risky	4	64.0	8
risky	4	67.0	7
risky	4	78.0	8
risky	4	90.0	8
risky	5	13.0	8
risky	5	14.0	8
risky	5	16.0	8
risky	5	18.0	16
risky	5	20.0	8
risky	5	21.0	8
risky	5	23.0	16
risky	5	26.0	16
risky	5	29.0	16
risky	5	33.0	16
risky	5	37.0	16
risky	5	41.0	8
risky	5	42.0	8
risky	5	46.0	8
risky	5	47.0	8
risky	5	53.0	16
risky	5	59.0	16
risky	5	66.0	16
risky	5	74.0	8
risky	5	83.0	8
risky	5	92.0	8
risky	6	8.0	8
risky	6	10.0	8
risky	6	12.0	8
risky	6	13.0	8
risky	6	15.0	8
risky	6	16.0	8
risky	6	17.0	8
risky	6	19.0	8
risky	6	21.0	8
risky	6	22.0	8
risky	6	24.0	16
risky	6	27.0	8
risky	6	28.0	8
risky	6	30.0	8
risky	6	31.0	8
risky	6	33.0	8
risky	6	34.0	8
risky	6	38.0	8
risky	6	40.0	8
risky	6	42.0	8
risky	6	44.0	8
risky	6	49.0	8
risky	6	54.0	8
risky	6	56.0	8
risky	6	62.0	8
risky	6	69.0	8
risky	6	80.0	8
risky	6	88.0	8
risky	6	112.0	8
risky	7	9.0	8
risky	7	10.0	8
risky	7	12.0	8
risky	7	13.0	7
risky	7	14.0	7
risky	7	15.0	8
risky	7	16.0	8
risky	7	17.0	8
risky	7	18.0	8
risky	7	19.0	7
risky	7	20.0	8
risky	7	21.0	8
risky	7	23.0	7
risky	7	24.0	8
risky	7	26.0	8
risky	7	27.0	8
risky	7	28.0	8
risky	7	30.0	8
risky	7	33.0	8
risky	7	35.0	8
risky	7	37.0	8
risky	7	38.0	8
risky	7	41.0	8
risky	7	43.0	8
risky	7	47.0	8
risky	7	49.0	8
risky	7	55.0	8
risky	7	57.0	8
risky	7	66.0	8
risky	7	77.0	8
risky	9	14.0	8
risky	9	16.0	8
risky	9	18.0	8
risky	9	20.0	8
risky	9	21.0	8
risky	9	23.0	8
risky	9	24.0	8
risky	9	26.0	8
risky	9	28.0	16
risky	9	30.0	8
risky	9	32.0	8
risky	9	34.0	8
risky	9	37.0	8
risky	9	40.0	16
risky	9	42.0	8
risky	9	46.0	8
risky	9	48.0	8
risky	9	52.0	8
risky	9	56.0	16
risky	9	60.0	8
risky	9	64.0	8
risky	9	69.0	8
risky	9	74.0	8
risky	9	80.0	8
risky	9	84.0	8
risky	9	97.0	8
risky	9	112.0	8
risky	10	10.0	8
risky	10	12.0	8
risky	10	13.0	8
risky	10	15.0	16
risky	10	17.0	16
risky	10	19.0	16
risky	10	21.0	16
risky	10	24.0	16
risky	10	27.0	16
risky	10	30.0	16
risky	10	34.0	16
risky	10	38.0	8
risky	10	39.0	8
risky	10	42.0	8
risky	10	43.0	8
risky	10	48.0	8
risky	10	49.0	8
risky	10	54.0	8
risky	10	55.0	8
risky	10	61.0	8
risky	10	69.0	8
risky	10	78.0	8
risky	11	8.0	8
risky	11	9.0	8
risky	11	11.0	8
risky	11	12.0	16
risky	11	13.0	8
risky	11	14.0	7
risky	11	15.0	8
risky	11	16.0	8
risky	11	17.0	8
risky	11	18.0	8
risky	11	19.0	8
risky	11	21.0	8
risky	11	22.0	8
risky	11	24.0	16
risky	11	25.0	8
