order	n_safe	stimulation_condition	n_trials	slope	rnp	slope_lo	slope_hi	slope_sem	rnp_lo	rnp_hi	rnp_sem
Risky first	7.0	ips	416	1.815604432003382	1.7164227985658334	1.2959609046641947	2.4985117130266428	0.3044330035455883	1.5272149597586133	1.941147628534478	0.10644816534176756
Risky first	7.0	vertex	414	1.8007948485224483	1.7002489264394538	1.236499477082107	2.447106705126469	0.3142385422688849	1.500324613991783	1.8967018013800097	0.09989762976719394
Risky first	10.0	ips	417	1.1979036633743592	1.64840019302307	0.766201792506058	1.7741661500527348	0.26526840539337676	1.3300259658073914	1.961645141535396	0.16434046737859048
Risky first	10.0	vertex	410	1.3337897489697437	1.7615173845328063	0.868531688098429	1.8512993744593707	0.2593192689765548	1.4596643805660858	2.0775416463188607	0.16116953078423132
Risky first	14.0	ips	417	1.063935245410069	2.058520336708295	0.5974016484372081	1.6172984772967576	0.2578000557478347	1.6878275662231341	2.5750490115241442	0.2277304018002616
Risky first	14.0	vertex	416	1.3514387411391202	2.06363653758192	0.7492448716111149	2.0761821074894677	0.3448662913876764	1.7194217015536062	2.5419506045612925	0.22148905681477188
Risky first	20.0	ips	417	0.7382218158377095	2.4910041659227056	0.3547087848112292	1.371732036903673	0.2697672210181784	1.8451576395765712	3.9781232390988603	0.5405000229360617
Risky first	20.0	vertex	416	0.8641636486237567	2.278318534076021	0.3810097673043492	1.582974167829829	0.3009952600264991	1.6668937185684745	3.565461798821051	0.4385000370433475
Risky first	28.0	ips	420	0.7464865385105479	2.5870843468748452	0.364983465413693	1.5241140733719765	0.30348095665441427	1.887683178169323	4.008269261395409	0.5613123772220648
Risky first	28.0	vertex	414	0.44633579927804373	3.713965197774643	0.3208661037772105	1.128830581839056	0.21998432463052134	2.1135110206354577	4.8178507987009	0.7438045977647872
Risky second	7.0	ips	417	1.6116324235208899	1.6556422627762193	1.0529011276145588	2.2677644765130407	0.31434524310991957	1.3800992612831975	1.9170916594255414	0.13377673837909676
Risky second	7.0	vertex	418	2.734291359397461	2.0061777784179635	2.220069486456257	3.418479386585313	0.31535672531770137	1.875126042060095	2.1885398169338854	0.07805342515610252
Risky second	10.0	ips	413	1.3289925023353897	1.7758626866609786	0.7778572559207699	1.886613644771819	0.28161001234631133	1.489052391711033	2.0842662162946355	0.1577541391525036
Risky second	10.0	vertex	415	1.4658554031221975	1.841964438995922	1.0217684891981231	2.0757111105320054	0.28304594097189917	1.5746670827403173	2.1400242549361916	0.1474236893219501
Risky second	14.0	ips	418	0.786946628737333	1.2630749966435075	0.3491137666474212	1.46704336649019	0.3029516753110887	0.6036914873037614	1.7801696362507973	0.2939664036789591
Risky second	14.0	vertex	419	1.1537467263326635	1.7525466104373655	0.7473461297695413	1.6654557409847972	0.23687436445780996	1.453782922091151	2.0689130977126267	0.1598914151922344
Risky second	20.0	ips	418	0.45774799517783527	1.091190658349134	0.31102075672522517	1.0529735101403068	0.21289184984985174	0.6731965057521015	1.756396617445521	0.27841442049570964
Risky second	20.0	vertex	420	0.4881508991714708	1.4536390879051853	0.32177129827451545	1.0975063661188964	0.21125507858798545	0.9198356099470179	2.364382025610059	0.36089916354775886
Risky second	28.0	ips	420	0.424751916141557	1.415613277403364	0.32259566619225866	1.0036634781201113	0.20295076474259818	0.8423358560663574	2.540116299607802	0.43196080802119724
Risky second	28.0	vertex	420	0.7259735996967265	1.9333667034934108	0.3671040681176228	1.5348620532194686	0.30492025031671327	1.392468358416656	2.850929261420433	0.376328995865167
