term	scale	hi_x	p_larger_at_7	e7	ehi
perceptual	absolute	28	0.9484	0.40117361464464985	0.02137984720867739
perceptual	absolute	56	0.97955	0.40117361464464985	-0.1366378997894718
perceptual	absolute	112	0.80895	0.40117361464464985	-0.182927717108516
perceptual	relative	28	0.97355	1.5036805070359762	0.011372905373508343
perceptual	relative	56	0.9813	1.5036805070359762	-0.038175052866570594
perceptual	relative	112	0.9722	1.5036805070359762	-0.02288860545621118
memory	absolute	28	0.02465	-0.9199013160995981	0.04131251966782382
memory	absolute	56	0.0384	-0.9199013160995981	-0.004278558312225657
memory	absolute	112	0.1542	-0.9199013160995981	-0.19272519515742784
memory	relative	28	0.02345	-0.4267578329341737	0.05435367485013595
memory	relative	56	0.04815	-0.4267578329341737	0.015474235561513174
memory	relative	112	0.2733	-0.4267578329341737	0.0629859362626781
