label	space	form	placement	which	mu_lo	mu	mu_hi	sd_lo	sd	sd_hi
chf-affine-mem	chf	affine	mem	risky	16.19379527249922	22.465472334144103	28.759506236235048	10.443941402883656	12.414275135119286	15.030690818511324
chf-affine-mem	chf	affine	mem	safe	0.7436031070073821	13.183874321107254	25.37228126723397	12.248422596773535	16.209516711718695	22.059702694435707
chf-affine-n1	chf	affine	n1	risky	17.17232203433256	25.34879718377329	37.11628255679096	10.447585521364651	12.943005500957	16.660513103373688
chf-affine-n1	chf	affine	n1	safe	2.8590202642763347	17.913188567356514	33.73911933758052	11.675380398008844	15.507436150747711	21.468974977062334
chf-affine-n1n2	chf	affine	n1n2	risky	17.555221793981964	25.614160353742896	35.76963139200514	9.462704612103034	11.67501593665546	14.942590891065944
chf-affine-n1n2	chf	affine	n1n2	safe	4.374183630803747	15.637205449289084	27.391827299902108	10.062592270116358	13.607836111279138	19.30178565254666
chf-affine-n2	chf	affine	n2	risky	19.919599328535025	27.651788061997344	36.47592697494035	10.261685579153962	12.341728759946664	15.26782561427145
chf-affine-n2	chf	affine	n2	safe	8.93797022185928	19.34504303138428	30.58699622907817	10.590637040734874	14.19798214378974	20.094341221094837
chf-affine-null	chf	affine	null	risky	15.194499778576764	21.18816967590517	26.969990517858022	8.750546292907337	10.481721451857076	12.757771668474678
chf-affine-null	chf	affine	null	safe	-0.6919867971739035	9.15135487111677	16.856606933924486	9.309081236036938	12.452225273523016	17.435692555435665
chf-affine-nullind	chf	affine	nullind	risky	14.005697277179378	20.997542216608103	28.71754530867033	8.566040899165303	10.42756603900509	12.77270667559604
chf-affine-nullind	chf	affine	nullind	safe	-2.4401133898070193	8.607747779841993	17.470550511603417	9.230312529834258	12.498303927309578	18.092455467339445
chf-affine-perc	chf	affine	perc	risky	16.620340271863874	21.562627648271143	27.31278183775285	8.08443316462502	9.751039152520264	11.89793818869443
chf-affine-perc	chf	affine	perc	safe	1.8634938651477144	10.131934560999188	17.64426197587854	8.55191426057348	11.306238873042808	15.582913744348073
chf-affine-percmem	chf	affine	percmem	risky	16.091856938658175	21.242734464774777	26.89441146506935	8.10990291208371	9.810686499102689	12.031558763788228
chf-affine-percmem	chf	affine	percmem	safe	1.3159978334808378	9.694457714593726	17.264315858754035	8.584423564004911	11.420314190177118	15.956058048068195
chf-spl5-mem	chf	spl5	mem	risky	13.816085731820271	21.680761783958307	29.384398521020312	12.381640316338007	14.750311423590786	17.789460428482165
chf-spl5-mem	chf	spl5	mem	safe	4.953874888228836	13.796651885450206	22.50261639308571	9.854094168061204	13.204849365234168	18.43394663548852
chf-spl5-n1	chf	spl5	n1	risky	13.210842920001236	19.996245081903908	26.55570369995206	9.89411071280672	12.366460537148466	15.32692017600986
