order	n_safe	ratio	p_vertex	cause	leverage	effect
Risky first	7.0	1.0	0.867359539115853	0.9101249591012615	0.07066684188003376	0.05327428820823421
Risky first	8.4	1.0	0.8958077820884075	0.9499744664032607	0.05936440062662131	0.027600370635639804
Risky first	9.8	1.0	0.917141734729453	0.9785868107907069	0.0491893584514573	0.007103894781265274
Risky first	11.2	1.0	0.9316671733989517	0.9977414691203961	0.04114678974283208	-0.0068995211865862105
Risky first	12.6	1.0	0.9403849837360998	1.0090795147317084	0.03535601600608789	-0.014476627356729499
Risky first	14.0	1.0	0.9449346760428841	1.014359354532218	0.03121576477909018	-0.01698439375689742
Risky first	15.399999999999999	1.0	0.9470479185712359	1.0154138676730133	0.02822543243798638	-0.01628625782011417
Risky first	16.799999999999997	1.0	0.9479354150942334	1.0138938037020573	0.02603636267650592	-0.013855407564130506
Risky first	18.2	1.0	0.9483160710485935	1.0110679953953896	0.02438843836947896	-0.010667745010154106
Risky first	19.6	1.0	0.948549035341203	1.0077809925997296	0.02311299238900165	-0.0073160509487479874
Risky first	21.0	1.0	0.9487177909528429	1.0045057227137337	0.022123411001124225	-0.004111376422981872
Risky first	22.4	1.0	0.9487018760576303	1.001422646325942	0.02138704883351179	-0.001165838423420551
Risky first	23.799999999999997	1.0	0.9482423394159111	0.9984922053800438	0.020906666468538285	0.0015428763301553738
Risky first	25.2	1.0	0.9470803053655388	0.9955706030828044	0.020691302706317413	0.004107839605324126
Risky first	26.599999999999998	1.0	0.9452582812680774	0.9926628772226571	0.02069558478038894	0.006578006609938791
Risky first	28.0	1.0	0.9428685953729722	0.9898202008565004	0.02087071826687633	0.008978865776369527
Risky first	7.0	1.2	0.7839126758625221	0.9382396742980138	0.11527602917831434	0.041364425511815184
Risky first	8.4	1.2	0.8114301841890209	0.9705270313462839	0.10158054006404714	0.009966164250038823
Risky first	9.8	1.2	0.8375747912337025	0.9912249292389496	0.08657969527455789	-0.012340187295390659
Risky first	11.2	1.2	0.8600039321264324	1.0035960560622055	0.0728168227399859	-0.024910708778817736
Risky first	12.6	1.2	0.8771986049919395	1.0099441193904053	0.06173029525217936	-0.02985887213917493
Risky first	14.0	1.2	0.8890880354025558	1.0120668198196636	0.05344095976454937	-0.029649649530214983
Risky first	15.399999999999999	1.2	0.8966418689992377	1.0115648048101458	0.04743164475171652	-0.02641318223928124
Risky first	16.799999999999997	1.2	0.9010770214867736	1.0097576002303883	0.043082866466750504	-0.021749065525210387
Risky first	18.2	1.2	0.9034374419744557	1.00754807960967	0.03990259481950784	-0.016735653630985725
Risky first	19.6	1.2	0.9044381705773636	1.0053968362804275	0.03756790492156417	-0.011989353527662394
Risky first	21.0	1.2	0.9044854400736817	1.0033973923004316	0.035865211396059624	-0.007751716262788921
Risky first	22.4	1.2	0.9037961181451296	1.0015143808141622	0.03464560107053363	-0.003982833670352459
Risky first	23.799999999999997	1.2	0.9023173106079939	0.999659648619898	0.0338203057186612	-0.0005274269433594991
Risky first	25.2	1.2	0.8998642387019209	0.9977269714477968	0.03333457774539611	0.0027816136891947174
Risky first	26.599999999999998	1.2	0.8965259533502686	0.9957363307284333	0.03311576541061221	0.005995403318790227
Risky first	28.0	1.2	0.8924426854391729	0.9937406719850312	0.03309503522179578	0.00912965534389476
Risky first	7.0	1.4	0.6605422113925083	0.9558996229980635	0.16081783153568702	0.026261220885082537
Risky first	8.4	1.4	0.6931115619651773	0.9804022912636554	0.13875304583947687	-0.001534694026505301
Risky first	9.8	1.4	0.7316426321647256	0.994758324259793	0.11786377514573192	-0.019754246610946158
Risky first	11.2	1.4	0.7673144085564174	1.0029237799604225	0.10046064668628042	-0.02995360933988267
Risky first	12.6	1.4	0.7955516862164727	1.0070576641322933	0.08670514872856258	-0.033869465605771865
Risky first	14.0	1.4	0.8154573459576007	1.00856990322332	0.07612346307616118	-0.03328658652005301
Risky first	15.399999999999999	1.4	0.8281799898897453	1.0086000883510255	0.06806597760259663	-0.030013078641360602
Risky first	16.799999999999997	1.4	0.8355187400224933	1.007956084646029	0.06191577122793971	-0.025580463996657476
Risky first	18.2	1.4	0.839194579772923	1.0070207789578218	0.0572084294846138	-0.020977825199645195
Risky first	19.6	1.4	0.84064324845735	1.00600600538693	0.05362256771275969	-0.016626087703548564
Risky first	21.0	1.4	0.8407171822944508	1.005025791920784	0.0509127362953257	-0.012633622171700942
Risky first	22.4	1.4	0.8397516317121079	1.0040773255888646	0.04888817772487386	-0.008939808685776929
Risky first	23.799999999999997	1.4	0.8377200216889137	1.0030744597047703	0.04740212403507863	-0.005390982421315638
Risky first	25.2	1.4	0.8344634345385681	1.0019139958789793	0.04633207344903106	-0.0018282419767458036
Risky first	26.599999999999998	1.4	0.8301373216633398	1.0006192487900945	0.04555164609232523	0.001773790306744183
Risky first	28.0	1.4	0.8249807753008979	0.999246999983623	0.044937439069396366	0.0053834749606294086
Risky first	7.0	1.6	0.5266960422269336	0.9657672542091642	0.1758217438263364	0.025928948314617117
Risky first	8.4	1.6	0.5714652400418129	0.983733046732844	0.1523188442633375	0.004371225571615511
Risky first	9.8	1.6	0.6209738791775865	0.9939678218867849	0.1341928481979388	-0.010660787355828316
Risky first	11.2	1.6	0.6654672336354626	1.0002331144944896	0.11901643636921373	-0.020334742972730857
Risky first	12.6	1.6	0.7005706529655735	1.0041539887673245	0.10609452005959796	-0.02561529061366208
Risky first	14.0	1.6	0.7254718601264099	1.0065359270069028	0.09517169332941125	-0.027509604248869945
Risky first	15.399999999999999	1.6	0.741585742123298	1.0078389991003758	0.08603921193882802	-0.027126877892484247
Risky first	16.799999999999997	1.6	0.7513453979503818	1.008355516294868	0.07851900971247444	-0.025408841991675812
Risky first	18.2	1.6	0.756997127397504	1.0084454172246518	0.07248150352783367	-0.02304912245594548
Risky first	19.6	1.6	0.760011091226912	1.0083619939562019	0.06773472744518459	-0.020426085766755975
Risky first	21.0	1.6	0.761210613166062	1.008219789990501	0.06405253455221209	-0.017659952315735583
Risky first	22.4	1.6	0.7609678739257023	1.0080187604727104	0.061189917151551934	-0.014722263171088046
Risky first	23.799999999999997	1.6	0.7593681253577023	1.0076771076889075	0.05889366988159931	-0.011537252204549708
Risky first	25.2	1.6	0.7564314896546829	1.0070970787645848	0.05693083064658393	-0.008081350252582609
Risky first	26.599999999999998	1.6	0.7525171652971074	1.0063079285674283	0.05512348511978631	-0.004495600149285184
Risky first	28.0	1.6	0.7480541808439183	1.005372911662607	0.053362626384749125	-0.0009712941377241213
Risky first	7.0	1.8	0.4155100628866954	0.9703233768171292	0.16171078707781908	0.03403470972358774
Risky first	8.4	1.8	0.46510815287264595	0.983579799980473	0.1476243029308016	0.018632242566685497
Risky first	9.8	1.8	0.5164539628422578	0.9916884864875389	0.13648748525414847	0.006640102893879507
Risky first	11.2	1.8	0.5623065779150043	0.9977463907872945	0.12593437475433938	-0.0033065107368625
Risky first	12.6	1.8	0.5989717255269338	1.0026132250335655	0.11563670223437139	-0.011317425266558101
