bin	observed_ips	observed_vertex	frac	probit_vertex	probit_vertex_lo	probit_vertex_hi	probit_ips	probit_ips_lo	probit_ips_hi	order	stake
20%	0.3036394557823129	0.3352535559678417	1.5561637953882852	0.3194877752471519	0.2876521985110191	0.351657931680275	0.34422196604750427	0.31178293182123845	0.37698423160143163	Risky first	Low stake
32%	0.424671201814059	0.39197278911564626	1.7830069236170203	0.4248956831207322	0.3956274996750509	0.4549778787397372	0.4446310079931163	0.41484763066708	0.4730121565745847	Risky first	Low stake
44%	0.5777210884353742	0.5308503401360545	2.0695427713472827	0.5562592735158347	0.5287810299860326	0.5864509880614369	0.5675435726204169	0.5418638422259366	0.593012592818599	Risky first	Low stake
56%	0.780952380952381	0.6809523809523809	2.3819630709426627	0.6745933740901141	0.6457151512729667	0.7055545921328608	0.678702592539886	0.6498548380087866	0.7062679638011929	Risky first	Low stake
68%	0.7426470588235294	0.8063725490196079	2.7067383771690494	0.7657837705598353	0.7374782104824925	0.7963024473040442	0.7633149588697273	0.732607846691182	0.7926577031882427	Risky first	Low stake
80%	0.8761904761904762	0.8714285714285714	3.17	0.8504802584841025	0.8237620179760158	0.8769881062946413	0.8436717706572466	0.8147854974265341	0.870792728911532	Risky first	Low stake
20%	0.1880952380952381	0.2	1.5791933916423713	0.2303791286383146	0.1976846376204535	0.2654693802322676	0.22108812532481245	0.1886837570072226	0.2496723222147659	Risky first	High stake
32%	0.2857142857142857	0.2976190476190476	1.8005539358600582	0.30676063894856814	0.2729584647060045	0.34084328292487415	0.299139584458568	0.2666534913297914	0.32579779595481695	Risky first	High stake
44%	0.39785714285714285	0.3851473922902494	2.0781050585647796	0.40835258669093627	0.38084470471662435	0.43788318154431766	0.4053147226864022	0.37597841592578274	0.4290788233506523	Risky first	High stake
56%	0.49166666666666664	0.526470588235294	2.396502419149478	0.5066814304906992	0.47957706798546784	0.5353873646198665	0.5083859508411207	0.48079789704379167	0.5328622440719325	Risky first	High stake
68%	0.6827731092436975	0.6424019607843137	2.7373402088107968	0.6242066978365696	0.5979869259102953	0.6554639626043758	0.6307780561989886	0.6005469229800161	0.6580780530578644	Risky first	High stake
80%	0.7364285714285714	0.7558163265306123	3.192060915275201	0.7285543333427141	0.6988949974459631	0.7589846750726622	0.7391474273547993	0.7063086276992334	0.7692641226772502	Risky first	High stake
20%	0.31755102040816324	0.2753968253968254	1.5569210526315789	0.2567003765738025	0.22666443968944924	0.2897251304867414	0.3682011021946222	0.33245993917226635	0.4104425923996573	Risky second	Low stake
32%	0.4646938775510204	0.3085714285714286	1.7817353123067408	0.37083550967282863	0.341513933408052	0.4024654268952596	0.4738913295185665	0.4425295130863899	0.5084381190008687	Risky second	Low stake
44%	0.6423314780457637	0.5510204081632653	2.0677052471338184	0.5226849942241414	0.4927445153221545	0.5505739021072354	0.5953829694649229	0.5649021607143709	0.6213650676059381	Risky second	Low stake
56%	0.7019047619047619	0.6690476190476191	2.3800136054421768	0.660765725430601	0.6281265738807584	0.6909530956383078	0.6979727041003884	0.6697539029844265	0.7249187498838338	Risky second	Low stake
68%	0.7929292929292929	0.7769607843137255	2.703671468587435	0.7616071571504327	0.725409915132463	0.7929853067771185	0.7775649671970691	0.745212827512926	0.8062411594891248	Risky second	Low stake
80%	0.8642857142857143	0.8857142857142857	3.17	0.8578530514555825	0.8283647372501273	0.882564253460507	0.8512075144324001	0.8190613384313231	0.8773184993500114	Risky second	Low stake
20%	0.35	0.2833333333333333	1.5791496598639456	0.3511330855369719	0.31079335040147177	0.3929917454521521	0.41050307516858114	0.3690383228060564	0.4552363976502665	Risky second	High stake
32%	0.5261904761904762	0.42142857142857143	1.800466472303207	0.4334349822535406	0.3988681532864239	0.4680930593679557	0.4900027093176948	0.4567368061947808	0.5267706949441421	Risky second	High stake
44%	0.5404761904761906	0.5414285714285714	2.0784852010979833	0.5310558493014396	0.5034495383314865	0.5596470787243072	0.5803211876069468	0.5530937822927424	0.6091282458011156	Risky second	High stake
56%	0.6627450980392157	0.667156862745098	2.396878660555131	0.6203380347301904	0.5933704315706306	0.6481542138132432	0.6610511371488684	0.6342982682280477	0.6869649997297491	Risky second	High stake
68%	0.7661064425770308	0.7220588235294118	2.7393837535014005	0.7163151132729588	0.6878959797494224	0.7458040559278829	0.7466104576861935	0.7213511693674314	0.7708545266716452	Risky second	High stake
80%	0.8273809523809523	0.789795918367347	3.192079468150897	0.79508296245246	0.7607719643349455	0.8234893545439218	0.8145890102815616	0.7871214871842136	0.8415913264959327	Risky second	High stake
