term	payoff	pct	lo	hi	p_increase
n1_evidence_sd	7.0	17.56907207769278	1.180025110083522	38.83722739133817	0.98245
n1_evidence_sd	7.882352941176471	13.593796960163097	1.6710336736894407	28.417618171858496	0.9881
n1_evidence_sd	8.764705882352942	10.60185863320959	1.8252149065511476	21.239232682962477	0.99245
n1_evidence_sd	9.647058823529411	8.338275716136167	1.809400875959592	16.142958829481042	0.99485
n1_evidence_sd	10.529411764705882	6.620203532862958	1.5208873065499091	12.621536206891058	0.99535
n1_evidence_sd	11.411764705882353	5.315767010032359	0.9971824853836936	10.304622238821167	0.99315
n1_evidence_sd	12.294117647058822	4.32875462343163	0.3906521446120432	8.678380742358232	0.98515
n1_evidence_sd	13.176470588235293	3.5878283419021435	-0.15558698347060917	7.663149201825877	0.96995
n1_evidence_sd	14.058823529411764	3.039002355641246	-0.606265389301	6.955456559904957	0.9499
n1_evidence_sd	14.941176470588236	2.640410145685107	-0.8988412376957006	6.3976872060254415	0.9295
n1_evidence_sd	15.823529411764707	2.3586507279717344	-1.0446723707423493	5.983816715096252	0.91315
n1_evidence_sd	16.705882352941174	2.1662238758931687	-1.0964190050734666	5.628839147298475	0.90445
n1_evidence_sd	17.588235294117645	2.0397243105876632	-1.0469615077311378	5.3191657861110855	0.902
n1_evidence_sd	18.470588235294116	1.9585765177377972	-0.9531689025033896	5.043696432008577	0.90635
n1_evidence_sd	19.352941176470587	1.904167684683779	-0.8335898813956335	4.819364123715086	0.91345
n1_evidence_sd	20.235294117647058	1.8593372082242179	-0.7424846922113428	4.604809893576562	0.92015
n1_evidence_sd	21.11764705882353	1.8131429185289034	-0.6573499230264542	4.427118337009506	0.92495
n1_evidence_sd	22.0	1.7646769882093987	-0.6131785840050432	4.249496414158429	0.92745
n1_evidence_sd	22.88235294117647	1.7140903538511116	-0.5884148630616065	4.126905047223237	0.92815
n1_evidence_sd	23.764705882352942	1.6615262406700821	-0.5752362579506883	3.9894537738407982	0.92815
n1_evidence_sd	24.647058823529413	1.607120490854463	-0.5911554822872345	3.8854625627840265	0.9263
n1_evidence_sd	25.52941176470588	1.5510019074106525	-0.6182744182209895	3.7832539189888728	0.9228
n1_evidence_sd	26.41176470588235	1.4932926059999303	-0.6490667775045935	3.701277872981747	0.9169
n1_evidence_sd	27.294117647058822	1.4341083688014264	-0.687129634078982	3.6089614115140223	0.91065
n1_evidence_sd	28.176470588235293	1.3735589957298184	-0.7377749021489144	3.533578605552119	0.9016
n1_evidence_sd	29.058823529411764	1.311748649406485	-0.7889455376975298	3.4608463870644868	0.89275
n1_evidence_sd	29.941176470588236	1.2487761911651443	-0.8294910281776171	3.4068608844156083	0.88045
n1_evidence_sd	30.823529411764707	1.1847355060953908	-0.8921566127770311	3.3363828763496173	0.86825
n1_evidence_sd	31.705882352941174	1.1197158157151057	-0.9641480625653833	3.273938097708339	0.85425
