roi	model	subject	cvr2	null	frac_beats_null	frac_gt0	frac_wins	cvr2_selany	n_voxels
NPCr2cm-cluster	0	1	-0.033007063	-0.025553513	0.3902439024390244	0.1268292682926829	0.354679802955665	-0.013180625	410
NPCr2cm-cluster	0	2	-0.040702436	-0.018311726	0.1407766990291262	0.0194174757281553	0.0793650793650793	-0.03421586	206
NPCr2cm-cluster	0	3	-0.04310665	-0.025454931	0.1616161616161616	0.0134680134680134	0.1904761904761904	-0.036919918	297
NPCr2cm-cluster	0	4	-0.025291719	-0.017272756	0.3439306358381503	0.2023121387283237	0.1946902654867256	-0.019092217	346
NPCr2cm-cluster	0	5	-0.034749504	-0.019549644	0.2491582491582491	0.0505050505050505	0.036144578313253	-0.031401515	297
NPCr2cm-cluster	0	6	-0.052792784	-0.027263809	0.0821917808219178	0.0034246575342465	0.0248962655601659	-0.05295027	292
NPCr2cm-cluster	0	7	-0.02445684	-0.01954164	0.4966216216216216	0.304054054054054	0.3653846153846153	-0.0100916475	296
NPCr2cm-cluster	0	9	-0.03763635	-0.021158263	0.1393442622950819	0.0273224043715847	0.1105527638190954	-0.030415617	366
NPCr2cm-cluster	0	10	-0.03898103	-0.018323997	0.1658986175115207	0.0599078341013824	0.0902255639097744	-0.03399742	217
NPCr2cm-cluster	0	11	-0.0066506895	-0.016579786	0.5191082802547771	0.3853503184713376	0.2509803921568627	0.0019760954	314
NPCr2cm-cluster	0	18	-0.033298355	-0.013662786	0.0985401459854014	0.0255474452554744	0.0137931034482758	-0.028363628	274
NPCr2cm-cluster	0	19	-0.022194847	-0.018291572	0.3692307692307692	0.2153846153846154	0.3055555555555556	-0.001689379	260
NPCr2cm-cluster	0	21	-0.042777326	-0.018388592	0.1242424242424242	0.0363636363636363	0.0975609756097561	-0.029132599	330
NPCr2cm-cluster	0	25	0.012530557	-0.018515525	0.7203389830508474	0.5169491525423728	0.1138613861386138	0.019515635	236
NPCr2cm-cluster	0	26	-0.03760856	-0.014466965	0.0881057268722467	0.0352422907488986	0.1463414634146341	-0.03435528	227
NPCr2cm-cluster	0	29	-0.02342603	-0.013258423	0.303951367781155	0.1185410334346504	0.1363636363636363	-0.017812349	329
NPCr2cm-cluster	0	30	-0.03232088	-0.013974894	0.1634349030470914	0.074792243767313	0.192	-0.019246545	361
NPCr2cm-cluster	0	31	-0.031129805	-0.017833188	0.2021857923497267	0.081967213114754	0.0535714285714285	-0.02332945	183
NPCr2cm-cluster	0	34	-0.037327584	-0.018405255	0.207070707070707	0.0959595959595959	0.1276595744680851	-0.02609683	198
NPCr2cm-cluster	0	35	-0.03562284	-0.017425178	0.1372549019607843	0.0392156862745098	0.0675675675675675	-0.029592937	255
NPCr2cm-cluster	0	36	-0.038317166	-0.020241205	0.0930232558139534	0.0199335548172757	0.0787878787878787	-0.033676747	301
NPCr2cm-cluster	0	37	-0.028499845	-0.014778427	0.1635802469135802	0.0925925925925925	0.1521739130434782	-0.014997078	324
NPCr2cm-cluster	0	45	-0.016434643	-0.016496936	0.4419889502762431	0.2541436464088398	0.1407407407407407	-0.0076160226	181
NPCr2cm-cluster	0	46	0.0022221056	-0.011759173	0.6142857142857143	0.5	0.2625	0.012853408	210
NPCr2cm-cluster	0	47	-0.035041537	-0.016585827	0.1388888888888889	0.0555555555555555	0.3823529411764705	-0.016079102	252
NPCr2cm-cluster	0	50	-0.039554656	-0.015944457	0.1439252336448598	0.0672897196261682	0.1003584229390681	-0.029599905	535
NPCr2cm-cluster	0	53	-0.02537546	-0.014570678	0.2371428571428571	0.1485714285714285	0.0904522613065326	-0.016575279	350
NPCr2cm-cluster	0	56	-0.0359197	-0.014214152	0.1180327868852459	0.0524590163934426	0.0700636942675159	-0.027714407	305
NPCr2cm-cluster	0	59	-0.005400602	-0.023620114	0.6131805157593123	0.4383954154727794	0.0637583892617449	0.0027656988	349
NPCr2cm-cluster	0	62	-0.020576	-0.0131498445	0.3129629629629629	0.1703703703703703	0.1107954545454545	-0.012968722	540
NPCr2cm-cluster	0	63	-0.010312059	-0.017810594	0.5723404255319149	0.3744680851063829	0.255050505050505	-0.00513915	470
NPCr2cm-cluster	0	67	-0.050677873	-0.01799972	0.0350877192982456	0.0105263157894736	0.021505376344086	-0.035494514	285
NPCr2cm-cluster	0	69	-0.022237469	-0.018577201	0.4137115839243498	0.2293144208037825	0.13	-0.011687582	423
NPCr2cm-cluster	0	72	-0.024331046	-0.015569218	0.3276699029126214	0.2135922330097087	0.0945454545454545	-0.012909603	412
NPCr2cm-cluster	0	74	-0.022834182	-0.017124655	0.3375959079283887	0.1687979539641943	0.1958041958041958	-0.01748434	391
NPCr2cm-cluster	1	1	-0.035294537	-0.025553513	0.3585365853658536	0.1853658536585365	0.2315270935960591	-0.008782723	410
NPCr2cm-cluster	1	2	-0.008409901	-0.018311726	0.4660194174757281	0.3592233009708738	0.3015873015873015	0.020614147	206
NPCr2cm-cluster	1	3	-0.01843217	-0.025454931	0.3299663299663299	0.2053872053872054	0.3061224489795918	0.037457805	297
NPCr2cm-cluster	1	4	0.0004937001	-0.017272756	0.4855491329479768	0.3583815028901734	0.3274336283185841	0.02201866	346
NPCr2cm-cluster	1	5	0.038721915	-0.019549644	0.7575757575757576	0.622895622895623	0.4939759036144578	0.057083894	297
NPCr2cm-cluster	1	6	0.03443847	-0.027263809	0.7054794520547946	0.5513698630136986	0.4190871369294606	0.054173704	292
NPCr2cm-cluster	1	7	-0.011261094	-0.01954164	0.5777027027027027	0.3716216216216216	0.25	0.0078061144	296
NPCr2cm-cluster	1	9	-0.050401658	-0.021158263	0.4098360655737705	0.2349726775956284	0.4271356783919598	-0.02193119	366
NPCr2cm-cluster	1	10	-0.00026054014	-0.018323997	0.5023041474654378	0.3594470046082949	0.4661654135338345	0.031319816	217
NPCr2cm-cluster	1	11	0.014247106	-0.016579786	0.6847133757961783	0.5605095541401274	0.2196078431372549	0.02670672	314
NPCr2cm-cluster	1	18	9.602548e-05	-0.013662786	0.4233576642335766	0.3467153284671533	0.3379310344827586	0.03967667	274
NPCr2cm-cluster	1	19	-0.015385698	-0.018291572	0.4153846153846154	0.2884615384615384	0.2847222222222222	0.014418755	260
NPCr2cm-cluster	1	21	-0.028995594	-0.018388592	0.3424242424242424	0.2181818181818181	0.3841463414634146	0.0014851424	330
NPCr2cm-cluster	1	25	0.05981739	-0.018515525	0.8008474576271186	0.673728813559322	0.4455445544554455	0.07702043	236
NPCr2cm-cluster	1	26	-0.036647063	-0.014466965	0.3524229074889868	0.2026431718061674	0.2682926829268293	-0.008762221	227
NPCr2cm-cluster	1	29	-0.0055491608	-0.013258423	0.5288753799392097	0.3799392097264438	0.4181818181818181	0.011146679	329
NPCr2cm-cluster	1	30	-0.029141646	-0.013974894	0.260387811634349	0.185595567867036	0.36	0.014619986	361
NPCr2cm-cluster	1	31	0.0069777016	-0.017833188	0.4754098360655737	0.3825136612021858	0.4732142857142857	0.04354947	183
NPCr2cm-cluster	1	34	-0.027794067	-0.018405255	0.308080808080808	0.1818181818181818	0.2765957446808511	-0.00032055203	198
NPCr2cm-cluster	1	35	0.0019318343	-0.017425178	0.4823529411764706	0.3450980392156862	0.4391891891891892	0.035562683	255
NPCr2cm-cluster	1	36	-0.018228555	-0.020241205	0.4019933554817276	0.2524916943521594	0.3878787878787879	0.012291942	301
NPCr2cm-cluster	1	37	-0.021895861	-0.014778427	0.3518518518518518	0.2469135802469135	0.4565217391304347	0.020090697	324
NPCr2cm-cluster	1	45	0.044770855	-0.016496936	0.7292817679558011	0.6022099447513812	0.5333333333333333	0.073909365	181
NPCr2cm-cluster	1	46	0.010931066	-0.011759173	0.680952380952381	0.5619047619047619	0.26875	0.02591834	210
NPCr2cm-cluster	1	47	-0.040347043	-0.016585827	0.1746031746031746	0.0912698412698412	0.2794117647058823	-0.010343955	252
NPCr2cm-cluster	1	50	-0.028392762	-0.015944457	0.3345794392523364	0.2523364485981308	0.2293906810035842	0.00037014484	535
NPCr2cm-cluster	1	53	-0.015847478	-0.014570678	0.4228571428571429	0.2657142857142857	0.2763819095477386	0.0075932993	350
NPCr2cm-cluster	1	56	-0.022672411	-0.014214152	0.3442622950819672	0.2393442622950819	0.3439490445859872	-0.0013543045	305
NPCr2cm-cluster	1	59	0.07230153	-0.023620114	0.8108882521489972	0.7106017191977078	0.4026845637583892	0.098112695	349
NPCr2cm-cluster	1	62	-0.0010890175	-0.0131498445	0.5185185185185185	0.412962962962963	0.3039772727272727	0.02206179	540
NPCr2cm-cluster	1	63	-0.00057524507	-0.017810594	0.7340425531914894	0.4829787234042553	0.2449494949494949	0.008747899	470
NPCr2cm-cluster	1	67	-0.037638027	-0.01799972	0.2421052631578947	0.1508771929824561	0.4731182795698925	0.011760132	285
NPCr2cm-cluster	1	69	0.0065651834	-0.018577201	0.5910165484633569	0.4326241134751773	0.33	0.030214075	423
NPCr2cm-cluster	1	72	0.0014609112	-0.015569218	0.5655339805825242	0.4854368932038835	0.3018181818181818	0.041045573	412
NPCr2cm-cluster	1	74	-0.0014723383	-0.017124655	0.5626598465473146	0.4373401534526854	0.2762237762237762	0.0148470085	391
NPCr2cm-cluster	2	1	-0.046503298	-0.025553513	0.2878048780487804	0.1512195121951219	0.0985221674876847	-0.017299786	410
NPCr2cm-cluster	2	2	-0.023108456	-0.018311726	0.4223300970873786	0.3446601941747573	0.0555555555555555	0.007936997	206
NPCr2cm-cluster	2	3	-0.031895287	-0.025454931	0.2626262626262626	0.202020202020202	0.0816326530612244	0.01552061	297
NPCr2cm-cluster	2	4	-0.012536232	-0.017272756	0.407514450867052	0.291907514450867	0.0884955752212389	0.011767595	346
NPCr2cm-cluster	2	5	0.02265467	-0.019549644	0.6296296296296297	0.5117845117845118	0.0843373493975903	0.041192688	297
NPCr2cm-cluster	2	6	0.026285537	-0.027263809	0.6883561643835616	0.4965753424657534	0.2157676348547718	0.04683496	292
NPCr2cm-cluster	2	7	-0.023406327	-0.01954164	0.4358108108108108	0.2871621621621621	0.0913461538461538	-0.0044147773	296
NPCr2cm-cluster	2	9	-0.04599454	-0.021158263	0.3114754098360656	0.1775956284153005	0.0854271356783919	-0.021881135	366
NPCr2cm-cluster	2	10	-0.0236691	-0.018323997	0.3732718894009216	0.2580645161290322	0.0451127819548872	0.011887153	217
NPCr2cm-cluster	2	11	-3.4282162e-05	-0.016579786	0.5859872611464968	0.4617834394904458	0.0470588235294117	0.013479863	314
NPCr2cm-cluster	2	18	-0.008627455	-0.013662786	0.3868613138686131	0.3138686131386861	0.1517241379310344	0.033240214	274
NPCr2cm-cluster	2	19	-0.028509088	-0.018291572	0.3615384615384615	0.2692307692307692	0.0555555555555555	0.0030646378	260
NPCr2cm-cluster	2	21	-0.042485	-0.018388592	0.2242424242424242	0.1545454545454545	0.0670731707317073	-0.011451895	330
NPCr2cm-cluster	2	25	0.04539521	-0.018515525	0.6991525423728814	0.6313559322033898	0.0693069306930693	0.0627721	236
NPCr2cm-cluster	2	26	-0.047518086	-0.014466965	0.2334801762114537	0.1541850220264317	0.032520325203252	-0.020104812	227
NPCr2cm-cluster	2	29	-0.019770449	-0.013258423	0.3799392097264438	0.2765957446808511	0.0727272727272727	-0.0022230302	329
NPCr2cm-cluster	2	30	-0.041496463	-0.013974894	0.1772853185595568	0.1329639889196676	0.048	-0.0024031173	361
NPCr2cm-cluster	2	31	-0.0066485847	-0.017833188	0.4426229508196721	0.3224043715846995	0.0267857142857142	0.031047745	183
NPCr2cm-cluster	2	34	-0.04390876	-0.018405255	0.2373737373737373	0.1616161616161616	0.0851063829787234	-0.010272068	198
NPCr2cm-cluster	2	35	-0.012365098	-0.017425178	0.3607843137254902	0.2666666666666666	0.0472972972972973	0.023125106	255
NPCr2cm-cluster	2	36	-0.04105321	-0.020241205	0.2524916943521594	0.1760797342192691	0.0545454545454545	-0.012110457	301
NPCr2cm-cluster	2	37	-0.0445456	-0.014778427	0.2037037037037037	0.1512345679012345	0.0507246376811594	-0.0050821155	324
NPCr2cm-cluster	2	45	0.030867673	-0.016496936	0.6408839779005525	0.5359116022099447	0.0592592592592592	0.059364628	181
NPCr2cm-cluster	2	46	0.0028593414	-0.011759173	0.5571428571428572	0.5047619047619047	0.09375	0.019942781	210
NPCr2cm-cluster	2	47	-0.0548648	-0.016585827	0.0793650793650793	0.0357142857142857	0.0441176470588235	-0.025789252	252
NPCr2cm-cluster	2	50	-0.0386617	-0.015944457	0.3345794392523364	0.2523364485981308	0.1756272401433691	-0.0035776186	535
NPCr2cm-cluster	2	53	-0.028875869	-0.014570678	0.3571428571428571	0.2371428571428571	0.1407035175879397	-0.0024862152	350
NPCr2cm-cluster	2	56	-0.030143024	-0.014214152	0.2918032786885245	0.1934426229508196	0.10828025477707	-0.0065189325	305
NPCr2cm-cluster	2	59	0.048700195	-0.023620114	0.7020057306590258	0.6160458452722063	0.0536912751677852	0.073339574	349
NPCr2cm-cluster	2	62	-0.014211135	-0.0131498445	0.4481481481481481	0.3666666666666666	0.065340909090909	0.012902865	540
NPCr2cm-cluster	2	63	-0.0064101634	-0.017810594	0.6042553191489362	0.4234042553191489	0.1843434343434343	0.002950236	470
NPCr2cm-cluster	2	67	-0.055652183	-0.01799972	0.2	0.1122807017543859	0.1075268817204301	-0.0029096603	285
NPCr2cm-cluster	2	69	-0.005302199	-0.018577201	0.5106382978723404	0.392434988179669	0.1	0.02088218	423
NPCr2cm-cluster	2	72	-0.0015841572	-0.015569218	0.4830097087378641	0.395631067961165	0.0654545454545454	0.03224483	412
NPCr2cm-cluster	2	74	-0.010516229	-0.017124655	0.5166240409207161	0.3734015345268542	0.0349650349650349	0.007630224	391
NPCr2cm-cluster	3	1	-0.03821079	-0.025553513	0.3512195121951219	0.1609756097560975	0.0985221674876847	-0.012627963	410
NPCr2cm-cluster	3	2	-0.0061545204	-0.018311726	0.4757281553398058	0.3932038834951456	0.246031746031746	0.025177276	206
NPCr2cm-cluster	3	3	-0.019672798	-0.025454931	0.3097643097643097	0.202020202020202	0.1496598639455782	0.028861698	297
NPCr2cm-cluster	3	4	-0.008000087	-0.017272756	0.4566473988439306	0.3236994219653179	0.1283185840707964	0.01637601	346
NPCr2cm-cluster	3	5	0.030005371	-0.019549644	0.6936026936026936	0.5656565656565656	0.0963855421686747	0.04757216	297
NPCr2cm-cluster	3	6	0.030396864	-0.027263809	0.702054794520548	0.5342465753424658	0.1161825726141078	0.0493008	292
NPCr2cm-cluster	3	7	-0.014749547	-0.01954164	0.527027027027027	0.3513513513513513	0.0865384615384615	0.0035193786	296
NPCr2cm-cluster	3	9	-0.024393303	-0.021158263	0.3579234972677595	0.2049180327868852	0.2110552763819095	0.004749102	366
NPCr2cm-cluster	3	10	-0.009485608	-0.018323997	0.4055299539170507	0.3225806451612903	0.1654135338345864	0.023025906	217
NPCr2cm-cluster	3	11	0.015774516	-0.016579786	0.6751592356687898	0.5668789808917197	0.2470588235294117	0.028765164	314
NPCr2cm-cluster	3	18	-0.0016953467	-0.013662786	0.437956204379562	0.364963503649635	0.2	0.038371585	274
NPCr2cm-cluster	3	19	-0.020053834	-0.018291572	0.4153846153846154	0.3038461538461538	0.1458333333333333	0.009332973	260
NPCr2cm-cluster	3	21	-0.031468254	-0.018388592	0.3272727272727272	0.2181818181818181	0.2073170731707317	0.0007317664	330
NPCr2cm-cluster	3	25	0.052970152	-0.018515525	0.7330508474576272	0.652542372881356	0.1336633663366336	0.06979297	236
NPCr2cm-cluster	3	26	-0.030519737	-0.014466965	0.3215859030837004	0.2511013215859031	0.2439024390243902	-0.005684988	227
NPCr2cm-cluster	3	29	-0.0121664265	-0.013258423	0.458966565349544	0.3100303951367781	0.1272727272727272	0.0036044382	329
NPCr2cm-cluster	3	30	-0.032656528	-0.013974894	0.224376731301939	0.1523545706371191	0.088	0.003926173	361
NPCr2cm-cluster	3	31	0.0047302716	-0.017833188	0.5081967213114754	0.3497267759562841	0.1785714285714285	0.04122935	183
NPCr2cm-cluster	3	34	-0.037175246	-0.018405255	0.2828282828282828	0.1515151515151515	0.1276595744680851	-0.011971239	198
NPCr2cm-cluster	3	35	-0.003768809	-0.017425178	0.4196078431372549	0.3176470588235294	0.1689189189189189	0.03053662	255
NPCr2cm-cluster	3	36	-0.027132155	-0.020241205	0.3421926910299003	0.2392026578073089	0.2242424242424242	0.0005488605	301
NPCr2cm-cluster	3	37	-0.03296385	-0.014778427	0.2376543209876543	0.1635802469135802	0.1014492753623188	0.0030324238	324
NPCr2cm-cluster	3	45	0.036929235	-0.016496936	0.6740331491712708	0.5524861878453039	0.1333333333333333	0.06492583	181
NPCr2cm-cluster	3	46	0.0068094376	-0.011759173	0.6190476190476191	0.5190476190476191	0.14375	0.022750022	210
NPCr2cm-cluster	3	47	-0.0447082	-0.016585827	0.1269841269841269	0.0476190476190476	0.1176470588235294	-0.018969858	252
NPCr2cm-cluster	3	50	-0.03002293	-0.015944457	0.3607476635514018	0.2523364485981308	0.1899641577060931	0.0005123384	535
NPCr2cm-cluster	3	53	-0.021823848	-0.014570678	0.3714285714285714	0.2542857142857143	0.2010050251256281	0.0018460829	350
NPCr2cm-cluster	3	56	-0.027935706	-0.014214152	0.3147540983606557	0.2229508196721311	0.1719745222929936	-0.004660414	305
NPCr2cm-cluster	3	59	0.060963344	-0.023620114	0.7478510028653295	0.6504297994269341	0.1946308724832214	0.086311325	349
NPCr2cm-cluster	3	62	-0.0042225444	-0.0131498445	0.5203703703703704	0.4092592592592592	0.2130681818181818	0.021770034	540
NPCr2cm-cluster	3	63	-0.003992598	-0.017810594	0.6340425531914894	0.4297872340425532	0.0808080808080808	0.004829107	470
NPCr2cm-cluster	3	67	-0.045148987	-0.01799972	0.2035087719298245	0.1333333333333333	0.1182795698924731	0.0041148504	285
NPCr2cm-cluster	3	69	0.00062481954	-0.018577201	0.5839243498817966	0.4042553191489361	0.1366666666666666	0.025412617	423
NPCr2cm-cluster	3	72	0.0043989187	-0.015569218	0.5339805825242718	0.4466019417475728	0.1563636363636363	0.03677911	412
NPCr2cm-cluster	3	74	-0.001244251	-0.017124655	0.6035805626598465	0.4347826086956521	0.1818181818181818	0.016111918	391
NPCr2cm-cluster	4	1	-0.043196086	-0.025553513	0.3365853658536585	0.1756097560975609	0.0689655172413793	-0.013601604	410
NPCr2cm-cluster	4	2	-0.009900346	-0.018311726	0.4660194174757281	0.3980582524271844	0.1825396825396825	0.022869466	206
NPCr2cm-cluster	4	3	-0.018192038	-0.025454931	0.2861952861952861	0.1952861952861952	0.1156462585034013	0.031978484	297
NPCr2cm-cluster	4	4	-0.0066325334	-0.017272756	0.4450867052023121	0.3265895953757225	0.0752212389380531	0.018108685	346
NPCr2cm-cluster	4	5	0.028080218	-0.019549644	0.6498316498316499	0.5387205387205387	0.072289156626506	0.04679748	297
NPCr2cm-cluster	4	6	0.023460845	-0.027263809	0.6815068493150684	0.4931506849315068	0.0871369294605809	0.041602667	292
NPCr2cm-cluster	4	7	-0.016057098	-0.01954164	0.4966216216216216	0.3479729729729729	0.1009615384615384	0.0030516596	296
NPCr2cm-cluster	4	9	-0.02639956	-0.021158263	0.3224043715846995	0.1857923497267759	0.0954773869346733	0.0036744352	366
NPCr2cm-cluster	4	10	-0.015331336	-0.018323997	0.4285714285714285	0.3271889400921659	0.0827067669172932	0.019300079	217
NPCr2cm-cluster	4	11	0.010530895	-0.016579786	0.6305732484076433	0.5095541401273885	0.0980392156862745	0.02319003	314
NPCr2cm-cluster	4	18	-0.0044862838	-0.013662786	0.4014598540145985	0.3175182481751825	0.1172413793103448	0.036535725	274
NPCr2cm-cluster	4	19	-0.02302771	-0.018291572	0.4	0.2807692307692307	0.0902777777777777	0.0071060266	260
NPCr2cm-cluster	4	21	-0.038753685	-0.018388592	0.2545454545454545	0.1727272727272727	0.0426829268292682	-0.0089123985	330
NPCr2cm-cluster	4	25	0.055182986	-0.018515525	0.7330508474576272	0.6652542372881356	0.1188118811881188	0.07281624	236
NPCr2cm-cluster	4	26	-0.03557676	-0.014466965	0.3127753303964757	0.198237885462555	0.1138211382113821	-0.010080321	227
NPCr2cm-cluster	4	29	-0.01720036	-0.013258423	0.4103343465045592	0.2765957446808511	0.109090909090909	-0.00087413157	329
NPCr2cm-cluster	4	30	-0.03535225	-0.013974894	0.2271468144044321	0.1551246537396121	0.144	0.006943219	361
NPCr2cm-cluster	4	31	-0.0003712425	-0.017833188	0.4644808743169399	0.3497267759562841	0.1517857142857142	0.037519686	183
NPCr2cm-cluster	4	34	-0.03851752	-0.018405255	0.2676767676767677	0.1565656565656565	0.1170212765957446	-0.007915861	198
NPCr2cm-cluster	4	35	-0.004257819	-0.017425178	0.4196078431372549	0.3019607843137254	0.2364864864864864	0.030852202	255
NPCr2cm-cluster	4	36	-0.025618048	-0.020241205	0.3455149501661129	0.2292358803986711	0.0969696969696969	0.0046904134	301
NPCr2cm-cluster	4	37	-0.032759435	-0.014778427	0.2530864197530864	0.191358024691358	0.1231884057971014	0.008249623	324
NPCr2cm-cluster	4	45	0.032755747	-0.016496936	0.6408839779005525	0.5303867403314917	0.0666666666666666	0.05976287	181
NPCr2cm-cluster	4	46	0.0047257785	-0.011759173	0.5857142857142857	0.5238095238095238	0.1	0.021227246	210
NPCr2cm-cluster	4	47	-0.050230317	-0.016585827	0.1071428571428571	0.0317460317460317	0.0735294117647058	-0.024574213	252
NPCr2cm-cluster	4	50	-0.031751946	-0.015944457	0.3308411214953271	0.2317757009345794	0.1362007168458781	-0.0005706383	535
NPCr2cm-cluster	4	53	-0.025347393	-0.014570678	0.3485714285714286	0.2171428571428571	0.1155778894472361	-0.00045797243	350
NPCr2cm-cluster	4	56	-0.023889601	-0.014214152	0.3377049180327869	0.2196721311475409	0.1528662420382165	-0.0034465333	305
NPCr2cm-cluster	4	59	0.0667927	-0.023620114	0.7621776504297995	0.6590257879656161	0.1174496644295302	0.0934806	349
NPCr2cm-cluster	4	62	-0.00811902	-0.0131498445	0.4851851851851851	0.3962962962962963	0.1136363636363636	0.01762836	540
NPCr2cm-cluster	4	63	-0.004917774	-0.017810594	0.6148936170212767	0.4148936170212766	0.1136363636363636	0.004909677	470
NPCr2cm-cluster	4	67	-0.048220165	-0.01799972	0.1964912280701754	0.1298245614035087	0.0967741935483871	0.0036554313	285
NPCr2cm-cluster	4	69	0.0028858904	-0.018577201	0.5721040189125296	0.4184397163120567	0.1433333333333333	0.027977133	423
NPCr2cm-cluster	4	72	0.0061522606	-0.015569218	0.5606796116504854	0.4490291262135922	0.1563636363636363	0.03961041	412
NPCr2cm-cluster	4	74	-0.0027723024	-0.017124655	0.5882352941176471	0.4398976982097187	0.1783216783216783	0.015704846	391
NPCr2cm-cluster	5	1	-0.039826695	-0.025553513	0.3439024390243902	0.173170731707317	0.1477832512315271	-0.010905657	410
NPCr2cm-cluster	5	2	-0.012264501	-0.018311726	0.4611650485436893	0.3640776699029126	0.1349206349206349	0.015859459	206
NPCr2cm-cluster	5	3	-0.01473736	-0.025454931	0.3164983164983165	0.1952861952861952	0.1564625850340136	0.036641728	297
NPCr2cm-cluster	5	4	-0.007829092	-0.017272756	0.4364161849710982	0.3179190751445087	0.1858407079646017	0.013987077	346
NPCr2cm-cluster	5	5	0.03303493	-0.019549644	0.734006734006734	0.5858585858585859	0.216867469879518	0.050677355	297
NPCr2cm-cluster	5	6	0.02700755	-0.027263809	0.6917808219178082	0.5136986301369864	0.1369294605809128	0.046408486	292
NPCr2cm-cluster	5	7	-0.01485414	-0.01954164	0.5168918918918919	0.3479729729729729	0.1057692307692307	0.0046573956	296
NPCr2cm-cluster	5	9	-0.034116067	-0.021158263	0.3278688524590163	0.1994535519125683	0.0703517587939698	-0.010214073	366
NPCr2cm-cluster	5	10	-0.008327173	-0.018323997	0.4792626728110599	0.3225806451612903	0.150375939849624	0.022915274	217
NPCr2cm-cluster	5	11	0.0142351445	-0.016579786	0.6815286624203821	0.5636942675159236	0.1372549019607843	0.028374018	314
NPCr2cm-cluster	5	18	-0.004081431	-0.013662786	0.3941605839416058	0.3467153284671533	0.1793103448275862	0.036744475	274
NPCr2cm-cluster	5	19	-0.018772172	-0.018291572	0.4153846153846154	0.2923076923076923	0.1180555555555555	0.013037584	260
NPCr2cm-cluster	5	21	-0.033797335	-0.018388592	0.3121212121212121	0.209090909090909	0.2012195121951219	-0.00046950887	330
NPCr2cm-cluster	5	25	0.05581198	-0.018515525	0.7542372881355932	0.6822033898305084	0.1188118811881188	0.07314922	236
NPCr2cm-cluster	5	26	-0.05599189	-0.014466965	0.3083700440528634	0.2070484581497797	0.1951219512195122	-0.044557866	227
NPCr2cm-cluster	5	29	-0.010280779	-0.013258423	0.5106382978723404	0.3282674772036474	0.1363636363636363	0.0052959663	329
NPCr2cm-cluster	5	30	-0.03056232	-0.013974894	0.2437673130193905	0.1800554016620498	0.168	0.00925032	361
NPCr2cm-cluster	5	31	0.0020196517	-0.017833188	0.4808743169398907	0.360655737704918	0.1160714285714285	0.03821906	183
