label	space	form	placement	memory_model	channel	condition	x	lo	mid	hi	p_gt0
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	6.999999999999999	0.5465307724053685	0.970709220406616	1.4750473335597445	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	7.515760138376834	0.7912703168623085	1.1973296033198686	1.6826500330393634	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	8.069521493944878	1.0307133366870398	1.4233053617831282	1.8903510859080084	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	8.664083997137997	1.2660813270094209	1.6505570976737918	2.1055305533815556	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	9.302453877319769	1.5019521532192308	1.8778434002094764	2.3190986848214967	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	9.987858862892702	1.7362470991988608	2.1040315955825655	2.5372790006975205	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	10.723764501351818	1.9664559063300489	2.331677495535621	2.757077119922551	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	11.513891681800072	2.1948891595725777	2.5587006615328436	2.982895936824639	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	12.36223544852308	2.4194289124353316	2.7857549966080697	3.207690614345761	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	13.2730852007484	2.6397793368356703	3.013315455434007	3.4375671363542493	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	14.25104638072347	2.8596036853704665	3.2407015757010074	3.6745312555860297	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	15.301063759771552	3.075318844612232	3.468072635846412	3.9119366395901074	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	16.428446440064768	3.2880557258065557	3.696293967469244	4.153961251578759	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	17.638894698528226	3.4987463677569237	3.922265902272974	4.394827877467974	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	18.93852880860355	3.704426673112756	4.148358675754599	4.638229846620699	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	20.33391998560055	3.9065710957319912	4.374749083754431	4.881637882644347	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	21.832123612102944	4.112857977455551	4.600130336735154	5.135207656889172	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	23.440714911422702	4.317107115481219	4.825961681894798	5.38695212931559	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	25.16782724947517	4.521625451450819	5.052733379516584	5.64266275976808	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	27.0221932587371	4.723461419030316	5.2796088590066645	5.895492181779598	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	29.01318899221878	4.925135153057187	5.505876377325032	6.150638303764561	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	31.150881330701633	5.125110290870191	5.730988331995008	6.403150546131138	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	33.44607888294205	5.325042530536109	5.957758459199081	6.655829292508844	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	35.910386636203285	5.522271545976745	6.1844108596529335	6.913650020650333	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	38.55626463343953	5.720484257709013	6.410449385746919	7.164698283243933	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	41.397090973816184	5.920699703787472	6.636215135019879	7.424210438419178	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	44.44722945510957	6.118566373668672	6.861895688549902	7.682048364211175	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	47.722102200000165	6.314707512389974	7.088588051854596	7.940285188025372	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	51.23826763347237	6.513551881799655	7.314746380589249	8.200650636351346	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	55.01350420559078	6.707269354696952	7.541597844527496	8.460166340857162	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	59.0669002829722	6.900332874877603	7.768111184741262	8.719892348672836	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	63.4189506634631	7.093411260981129	7.993758453897556	8.979411158719302	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	68.0916602020204	7.28432995242253	8.220958463573071	9.239950296969605	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	73.10865507174931	7.4796521432701795	8.446900266110525	9.502471891875665	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	78.49530222265639	7.674134121219288	8.67286671243928	9.761385547865038	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	84.27883764212618	7.865864164758261	8.898485227313108	10.02060440595178	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	90.48850406563211	8.058229311887539	9.124352171941922	10.27986045722428	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	97.1556988339754	8.251761489271287	9.349654708417916	10.544455064039502	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	104.31413264464813	8.446031213805279	9.576182484187168	10.805323127657912	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	ips	111.99999999999996	8.639728324015396	9.802292353895616	11.066883307025495	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	6.999999999999999	0.5465307724053685	0.970709220406616	1.4750473335597445	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	7.515760138376834	0.7912703168623085	1.1973296033198686	1.6826500330393634	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	8.069521493944878	1.0307133366870398	1.4233053617831282	1.8903510859080084	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	8.664083997137997	1.2660813270094209	1.6505570976737918	2.1055305533815556	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	9.302453877319769	1.5019521532192308	1.8778434002094764	2.3190986848214967	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	9.987858862892702	1.7362470991988608	2.1040315955825655	2.5372790006975205	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	10.723764501351818	1.9664559063300489	2.331677495535621	2.757077119922551	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	11.513891681800072	2.1948891595725777	2.5587006615328436	2.982895936824639	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	12.36223544852308	2.4194289124353316	2.7857549966080697	3.207690614345761	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	13.2730852007484	2.6397793368356703	3.013315455434007	3.4375671363542493	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	14.25104638072347	2.8596036853704665	3.2407015757010074	3.6745312555860297	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	15.301063759771552	3.075318844612232	3.468072635846412	3.9119366395901074	
chf-affine-mem	chf	affine	mem	shared_perceptual_noise	perc	vertex	16.428446440064768	3.2880557258065557	3.696293967469244	4.153961251578759	
