order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5531854149953442	0.5171141762925267	0.5923217907577705	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.5528868648894965	0.5146689505148152	0.5889873845870087	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5199369012357734	0.4897168950514815	0.5532281515477004	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.527573084608644	0.4943460326714418	0.561407028042477	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.516682057416268	0.47833752942963464	0.553983709273183	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.5017555073065909	0.4640040799413865	0.5379367033894897	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5405771338519458	0.4985781960312035	0.5778041423906086	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.527091676702579	0.49389249368008764	0.5691356339984159	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.6221347519230978	0.5859139272934054	0.6523617391135081	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.601807997265892	0.5678457697273487	0.6381527872712084	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.6365010817086005	0.596046336078291	0.6715849960398832	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6040276106934002	0.5720044239386345	0.6410255753018911	42.217878391198916	0.5966871724766462	0.04575468210792034
