order	n_safe	ratio	p_vertex	cause	leverage	effect	noise_vertex	noise_ips	ratio_vertex	ratio_ips
Risky first	7.0	1.0	0.942852937066109	1.0498838171037337	0.1164978536986178	-0.03666380331733843	0.8069476958451767	0.829971633756478	0.7363069152850535	0.7730367147793474
Risky first	7.913043478260869	1.0	0.9418251226964066	1.0423734757248482	0.11928221959596837	-0.03243058463472237	0.8274144608078945	0.8427382658812002	0.7511089981278303	0.782936097026715
Risky first	8.826086956521738	1.0	0.9405585938820717	1.0359379041547416	0.12196465241904075	-0.028204499130996208	0.8422553139073498	0.8510207611974707	0.7628504938255861	0.7902657417570874
Risky first	9.73913043478261	1.0	0.9397723303899683	1.030703325814244	0.12348797253856918	-0.024060536664930465	0.852030556165453	0.8554386927870711	0.7717584837271368	0.795454035902918
Risky first	10.652173913043478	1.0	0.9397852425199286	1.0266192144272897	0.12352996484257446	-0.020203385108199745	0.8575742999947089	0.8567248080319169	0.7782880507703451	0.7990054672799983
Risky first	11.565217391304348	1.0	0.9405669972147513	1.0235267802802521	0.12227065307255143	-0.01679276205761049	0.8598016482095916	0.8556006462351363	0.7829695329119596	0.801390285078911
Risky first	12.478260869565217	1.0	0.9419082395717573	1.0212317783089164	0.1200899047809211	-0.013895474057382673	0.859559311894808	0.8526977677292904	0.78629998847936	0.8029945355190573
Risky first	13.391304347826086	1.0	0.9435719543663682	1.0195500134798612	0.11737574550186398	-0.01150952297482366	0.8575500718935445	0.8485267160732899	0.7886922061966941	0.804111149459301
Risky first	14.304347826086957	1.0	0.9453696985963155	1.0183267756635725	0.11444108726850154	-0.009596938189433746	0.8543163611193867	0.8434789511921568	0.7904645541717856	0.8049512207260978
Risky first	15.217391304347826	1.0	0.9471783833923261	1.017440332198504	0.11150417785184537	-0.008105319223824181	0.8502570110301517	0.8378443754091224	0.7918512624047763	0.8056614114729204
Risky first	16.130434782608695	1.0	0.9489282547027388	1.0167983376610772	0.10870030589778228	-0.006978808124051938	0.8456558916336132	0.8318326574601358	0.793019120863218	0.8063405238271689
Risky first	17.043478260869563	1.0	0.9505836840765527	1.0163323330716818	0.10610461292026441	-0.006163099783944137	0.8407103076606393	0.8255926771831367	0.7940835836102099	0.8070528211844866
Risky first	17.956521739130434	1.0	0.9521269666068745	1.0159925760745787	0.10375443985237669	-0.005607730180563486	0.8355544284841797	0.8192282425054367	0.7951218224051834	0.8078378686385559
Risky first	18.869565217391305	1.0	0.9535479111132683	1.0157438731571145	0.10166609213705535	-0.005267171103768287	0.8302770140558803	0.8128100316344689	0.7961824624813622	0.8087174581805877
Risky first	19.782608695652172	1.0	0.9548386270121666	1.0155624331395918	0.099845094073623	-0.005101326295150033	0.8249342271390018	0.8063843613158231	0.7972925276941755	0.8097003393491122
