model	safe_cov	rung_cov	stake_cov	slope_cov	pooled	pooled_frac	delta_covered	level_covered	sign_match	n_clear	rmse	median_width	mean_second	obs_second
cspl5-perc	8/10	11/12	4/6	6/6	29/34	0.8529411764705882	8/10	18/20	5	8	0.04141469798994591	0.1240730519480518	0.0075235714285714	0.052891774891774844
cspl5-percpmu	9/10	11/12	6/6	6/6	32/34	0.9411764705882353	9/10	18/20	7	8	0.030918433157798485	0.12606006493506475	0.02931277056277052	0.052891774891774844
cspl5-percmem	9/10	11/12	4/6	6/6	30/34	0.8823529411764706	9/10	18/20	6	8	0.03955192004920877	0.12262878787878781	0.010597142857142819	0.052891774891774844
cspl5-n1n2	8/10	11/12	4/6	6/6	29/34	0.8529411764705882	8/10	18/20	7	8	0.036327521720952875	0.12844444444444436	0.012804761904761841	0.052891774891774844
