	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale	name	max_rhat	min_ess	divergences	bauer_commit	converged
flexible2_noisefix_perception	0	-4157.651639897151	247.6264524078947	0.0	0.7453120221193494	47.60426798138458	0.0	True	log	Flexible PMC (cTBS on perceptual noise only)	1.0	745.0	86	e05f73a	True
flexible2_noisefix	1	-4159.693768147248	266.34266000889784	2.0421282500979494	2.6168096001651422e-11	47.69268873557037	3.9203259466724845	True	log	Flexible PMC (cTBS on perceptual and memory noise)	1.01	353.0	28	e05f73a	False
flexible1_noisefix	2	-4184.606097170723	254.18245679117763	26.95445727357261	0.25468797784937386	48.47579818100791	10.66028000916552	True	log	Flexible PMC (cTBS on first- and second-option noise)	1.0	3696.0	10	e05f73a	True
flexible2_noisefix_memory	3	-4217.518629434529	250.51355229051296	59.86698953737881	0.0	47.38414938233933	12.217940404470555	True	log	Flexible PMC (cTBS on memory noise only)	1.01	386.0	739	e05f73a	False
flexible1_noisefix_first	4	-4221.972703000729	221.3924987522796	64.32106310357882	0.0	48.26238480328615	13.356581961368	True	log	Flexible PMC (cTBS on first-presented option only)	1.0	2550.0	15	e05f73a	True
flexible1_noisefix_second	5	-4227.51769416166	222.5379793723232	69.86605426450978	0.0	48.16539653159992	13.07053712204871	True	log	Flexible PMC (cTBS on second-presented option only)	1.0	946.0	26	e05f73a	True
flexible1_noisefix_null	6	-4271.757501728624	164.17579530714374	114.10586183147424	0.0	47.73487528699704	15.792291377374832	True	log	Flexible PMC null model	1.0	1259.0	0	e05f73a	True
flexible2_noisefix_null	7	-4273.208315868183	192.50019298807456	115.55667597103219	5.108580225510195e-12	46.82623004103542	14.378453080804887	True	log	Flexible PMC null model	1.02	109.0	664	e05f73a	False
