label	subject	which	kind	condition	value	varies
log-power-n1n2	1	risky	mu	ips	11.075766257928422	0
log-power-n1n2	1	risky	mu	vertex	11.075766257928422	0
log-power-n1n2	2	risky	mu	ips	36.70928534169238	0
log-power-n1n2	2	risky	mu	vertex	36.70928534169238	0
log-power-n1n2	3	risky	mu	ips	40.30237703236618	0
log-power-n1n2	3	risky	mu	vertex	40.30237703236618	0
log-power-n1n2	4	risky	mu	ips	12.483019054059454	0
log-power-n1n2	4	risky	mu	vertex	12.483019054059454	0
log-power-n1n2	5	risky	mu	ips	41.94710279093224	0
log-power-n1n2	5	risky	mu	vertex	41.94710279093224	0
log-power-n1n2	6	risky	mu	ips	11.135948125825976	0
log-power-n1n2	6	risky	mu	vertex	11.135948125825976	0
log-power-n1n2	7	risky	mu	ips	43.7770895278867	0
log-power-n1n2	7	risky	mu	vertex	43.7770895278867	0
log-power-n1n2	9	risky	mu	ips	9.63582392771509	0
log-power-n1n2	9	risky	mu	vertex	9.63582392771509	0
log-power-n1n2	10	risky	mu	ips	44.59114679197158	0
log-power-n1n2	10	risky	mu	vertex	44.59114679197158	0
log-power-n1n2	11	risky	mu	ips	64.56344509690751	0
log-power-n1n2	11	risky	mu	vertex	64.56344509690751	0
log-power-n1n2	18	risky	mu	ips	70.82019081862812	0
log-power-n1n2	18	risky	mu	vertex	70.82019081862812	0
log-power-n1n2	19	risky	mu	ips	12.276161350170575	0
log-power-n1n2	19	risky	mu	vertex	12.276161350170575	0
log-power-n1n2	21	risky	mu	ips	18.04128298616395	0
log-power-n1n2	21	risky	mu	vertex	18.04128298616395	0
log-power-n1n2	25	risky	mu	ips	113.867302209911	0
log-power-n1n2	25	risky	mu	vertex	113.867302209911	0
log-power-n1n2	26	risky	mu	ips	26.59395917576079	0
log-power-n1n2	26	risky	mu	vertex	26.59395917576079	0
log-power-n1n2	29	risky	mu	ips	11.680683222405031	0
log-power-n1n2	29	risky	mu	vertex	11.680683222405031	0
log-power-n1n2	30	risky	mu	ips	11.098751590653604	0
log-power-n1n2	30	risky	mu	vertex	11.098751590653604	0
log-power-n1n2	31	risky	mu	ips	23.279254267270957	0
log-power-n1n2	31	risky	mu	vertex	23.279254267270957	0
log-power-n1n2	34	risky	mu	ips	12.877861307221272	0
log-power-n1n2	34	risky	mu	vertex	12.877861307221272	0
log-power-n1n2	35	risky	mu	ips	13.829219278209402	0
log-power-n1n2	35	risky	mu	vertex	13.829219278209402	0
log-power-n1n2	36	risky	mu	ips	19.9639905094997	0
log-power-n1n2	36	risky	mu	vertex	19.9639905094997	0
log-power-n1n2	37	risky	mu	ips	20.200094010669584	0
log-power-n1n2	37	risky	mu	vertex	20.200094010669584	0
log-power-n1n2	45	risky	mu	ips	7.609897769554113	0
log-power-n1n2	45	risky	mu	vertex	7.609897769554113	0
log-power-n1n2	46	risky	mu	ips	15.283326740010413	0
log-power-n1n2	46	risky	mu	vertex	15.283326740010413	0
log-power-n1n2	47	risky	mu	ips	52.47591250211659	0
