term	spline	regressor	mean	lo	hi	p_gt0
n1_evidence_sd	1	Intercept	1.0046697774797702	0.6325284133157446	1.416236180491304	1.0
n1_evidence_sd	2	Intercept	2.1424382911288395	1.7966049464204177	2.4851313228272374	1.0
n1_evidence_sd	3	Intercept	4.513524638204155	4.07991052795259	4.946941131636788	1.0
n1_evidence_sd	4	Intercept	4.885060088164312	4.261436326979175	5.51621141483731	1.0
n1_evidence_sd	5	Intercept	5.764057352994455	5.174878830214153	6.355722316967902	1.0
n2_evidence_sd	1	Intercept	1.4349388360447566	0.9739827896108708	1.9310726523801474	1.0
n2_evidence_sd	2	Intercept	1.9975520907909798	1.7000729278009534	2.2829340827623557	1.0
n2_evidence_sd	3	Intercept	4.420097183631279	3.970542171931529	4.880576399942486	1.0
n2_evidence_sd	4	Intercept	4.940518514427131	4.340456924256371	5.538928720599262	1.0
n2_evidence_sd	5	Intercept	5.740153204405162	5.158607470252885	6.334763788333522	1.0
