term	payoff	delta	lo	hi	p_increase
n1_evidence_sd	7	0.2832777151239544	0.08831402857847508	0.5093104173639006	0.99695
n1_evidence_sd	10	0.26110369174792714	0.1293249314834848	0.4115891038450067	0.99995
n1_evidence_sd	14	0.2408865698188483	0.10771260099938511	0.3892571159607522	0.99995
n1_evidence_sd	20	0.25443882067833945	0.11836039371250559	0.40169889224595634	0.9999
n1_evidence_sd	28	0.2781715237269004	0.13052366447451133	0.4335111502733761	0.9999
n1_evidence_sd	56	0.2797726512846907	0.07980580891803939	0.47956749826012607	0.99715
n1_evidence_sd	112	0.2735096746172545	-0.20829419323905066	0.7357733298309411	0.869
n2_evidence_sd	7	0.19808768473286253	-0.04017030991432157	0.463525747241734	0.9497
n2_evidence_sd	10	0.17136582149297694	0.03594490547147115	0.3239812073145906	0.9936
n2_evidence_sd	14	0.15917086260878385	0.03386640462157137	0.29198922493144586	0.9939
n2_evidence_sd	20	0.1772280064805086	0.048510664576150046	0.3121976241388106	0.99675
n2_evidence_sd	28	0.21451880065585505	0.07608122885711431	0.35979550660392046	0.99875
n2_evidence_sd	56	0.34084019361698464	0.14539690565384336	0.5396057782296096	0.9998
n2_evidence_sd	112	0.3309760831808761	-0.14221256614210956	0.7870240290932837	0.91835
