order	stake	pse_logfrac	pse_frac
Risky second	low	0.726773537862343	2.06839622790872
Risky second	high	0.864780376966772	2.374484537210732
Risky first	low	0.6776918785290492	1.9693270364552586
Risky first	high	0.9978374647079487	2.7124097995944956
