order	n_safe	ratio_bin	ratio_mid	vertex	ips	delta	sem	n_subjects	n_trials
Risky first	7.0	0	1.3890373415553272	0.3685897435897436	0.28846153846153844	-0.08012820512820513	0.08288092184444902	26	213
Risky first	7.0	1	1.9005575232847962	0.6317204301075269	0.6639784946236559	0.032258064516129024	0.07696814452180598	31	236
Risky first	7.0	2	2.4567628430682618	0.6637931034482759	0.721264367816092	0.057471264367816084	0.07068448190182898	29	178
Risky first	7.0	3	3.410245557576606	0.8806818181818182	0.8787878787878788	-0.0018939393939393972	0.02802164856059859	22	203
Risky first	10.0	0	1.3890373415553272	0.33717948717948715	0.39743589743589747	0.060256410256410264	0.0778549326153737	26	206
Risky first	10.0	1	1.9005575232847962	0.5258064516129033	0.4881720430107527	-0.03763440860215053	0.06277135949968077	31	218
Risky first	10.0	2	2.4567628430682618	0.6639784946236559	0.7204301075268816	0.056451612903225805	0.06319205814245074	31	198
Risky first	10.0	3	3.410245557576606	0.7629132231404959	0.793560606060606	0.030647382920110197	0.06007796052513945	22	205
Risky first	14.0	0	1.3890373415553272	0.28044871794871795	0.29967948717948717	0.019230769230769232	0.058114551686180384	26	215
Risky first	14.0	1	1.9005575232847962	0.4344086021505376	0.478494623655914	0.04408602150537635	0.07915529398447511	31	221
Risky first	14.0	2	2.4567628430682618	0.6129032258064516	0.6290322580645161	0.016129032258064516	0.05605767996674788	31	195
Risky first	14.0	3	3.410245557576606	0.7159090909090909	0.7026515151515151	-0.013257575757575761	0.07923671445524141	22	202
Risky first	20.0	0	1.3890373415553272	0.25	0.2623834498834499	0.01238344988344988	0.07617819065049271	26	206
Risky first	20.0	1	1.9005575232847962	0.40053763440860213	0.4596774193548387	0.05913978494623656	0.04271854142137003	31	199
Risky first	20.0	2	2.4567628430682618	0.510752688172043	0.5811827956989247	0.07043010752688172	0.058855622294210784	31	222
Risky first	20.0	3	3.410245557576606	0.649621212121212	0.5847107438016529	-0.06491046831955923	0.06980958444369195	22	206
Risky first	28.0	0	1.3890373415553272	0.235	0.225	-0.01	0.07205964607595983	25	204
Risky first	28.0	1	1.9005575232847962	0.3817204301075269	0.41666666666666663	0.03494623655913979	0.04807746411760396	31	210
Risky first	28.0	2	2.4567628430682618	0.46505376344086025	0.5591397849462365	0.09408602150537634	0.06382168065635795	31	219
Risky first	28.0	3	3.410245557576606	0.44253246753246755	0.6136363636363636	0.1711038961038961	0.07782739858857553	22	201
Risky second	7.0	0	1.3890373415553272	0.13782051282051283	0.38782051282051283	0.25	0.08451091063936073	26	214
Risky second	7.0	1	1.9005575232847962	0.47526881720430103	0.575268817204301	0.1	0.07123672820700841	31	238
Risky second	7.0	2	2.4567628430682618	0.7155172413793104	0.7844827586206896	0.06896551724137931	0.06896551724137932	29	180
Risky second	7.0	3	3.410245557576606	0.8996212121212122	0.8371212121212122	-0.0625	0.04714603182133483	22	203
Risky second	10.0	0	1.3890373415553272	0.2798076923076923	0.35673076923076924	0.07692307692307693	0.06726702067882832	26	202
Risky second	10.0	1	1.9005575232847962	0.5	0.5370967741935483	0.037096774193548385	0.06067969097568997	31	221
Risky second	10.0	2	2.4567628430682618	0.6720430107526881	0.7365591397849462	0.06451612903225806	0.05792995160021927	31	198
Risky second	10.0	3	3.410245557576606	0.7954545454545454	0.7670454545454546	-0.028409090909090908	0.06390533798593642	22	207
Risky second	14.0	0	1.3890373415553272	0.36217948717948717	0.40865384615384615	0.04647435897435897	0.0613386513109123	26	214
Risky second	14.0	1	1.9005575232847962	0.46236559139784944	0.6559139784946236	0.1935483870967742	0.06753324513998052	31	224
Risky second	14.0	2	2.4567628430682618	0.7231182795698925	0.7553763440860215	0.03225806451612903	0.061063530600002934	31	196
Risky second	14.0	3	3.410245557576606	0.7727272727272727	0.7897727272727273	0.017045454545454544	0.060103719457041335	22	203
Risky second	20.0	0	1.3890373415553272	0.35096153846153844	0.4372086247086247	0.08624708624708624	0.07854693178077002	26	207
Risky second	20.0	1	1.9005575232847962	0.5779569892473119	0.6155913978494624	0.037634408602150546	0.0768867331749289	31	199
Risky second	20.0	2	2.4567628430682618	0.6155913978494624	0.7016129032258065	0.08602150537634409	0.04834227314551392	31	224
Risky second	20.0	3	3.410245557576606	0.6439393939393939	0.731060606060606	0.08712121212121214	0.0740657039195074	22	208
Risky second	28.0	0	1.3890373415553272	0.385	0.4083333333333334	0.023333333333333334	0.06817223557801008	25	204
Risky second	28.0	1	1.9005575232847962	0.4247311827956989	0.5833333333333333	0.15860215053763438	0.06271377284540723	31	212
Risky second	28.0	2	2.4567628430682618	0.6801075268817204	0.6182795698924731	-0.061827956989247305	0.05505614354174134	31	220
Risky second	28.0	3	3.410245557576606	0.6401515151515151	0.6477272727272727	0.0075757575757575794	0.07905866995926406	22	204
