model	safe_cov	rung_cov	stake_cov	slope_cov	pooled	pooled_frac	delta_covered	level_covered	sign_match	n_clear	rmse	median_width	mean_second	obs_second
percpmu	9/10	11/12	6/6	6/6	32/34	0.9411764705882353	9/10	18/20	7	8	0.033697339564166935	0.1256358225108224	0.02490259740259734	0.052891774891774844
percmempmu	9/10	11/12	6/6	6/6	32/34	0.9411764705882353	9/10	18/20	7	8	0.03309304904987649	0.1232521645021644	0.02692428571428568	0.052891774891774844
percmem	9/10	11/12	4/6	6/6	30/34	0.8823529411764706	9/10	18/20	6	8	0.040317642090106284	0.12135173160173146	0.01107441558441554	0.052891774891774844
perc	8/10	11/12	4/6	6/6	29/34	0.8529411764705882	8/10	18/20	4	8	0.0430780811659604	0.11794913419913405	0.00622742424242424	0.052891774891774844
spmu	9/10	11/12	6/6	5/6	31/34	0.9117647058823529	9/10	18/20	7	8	0.03239061319084169	0.1202337662337661	0.028573225108225058	0.052891774891774844
mem	8/10	10/12	4/6	6/6	28/34	0.8235294117647058	8/10	18/20	6	8	0.04173135101205315	0.11669155844155835	0.01014753246753242	0.052891774891774844
null	8/10	11/12	4/6	4/6	27/34	0.7941176470588235	8/10	16/20	4	8	0.04536941592846219	0.11426677489177481	0.00045709956709956	0.052891774891774844
