roi	subject	model	win_prop	n_total	n_non_noise
NPC12r	1	m0	0.3230769230769231	601	65
NPC12r	1	m1	0.24615384615384617	601	65
NPC12r	1	m2	0.4307692307692308	601	65
NPC12r	2	m0	0.0	489	10
NPC12r	2	m1	0.2	489	10
NPC12r	2	m2	0.8	489	10
NPC12r	3	m0	0.75	339	4
NPC12r	3	m1	0.25	339	4
NPC12r	3	m2	0.0	339	4
NPC12r	4	m0	0.2	523	40
NPC12r	4	m1	0.425	523	40
NPC12r	4	m2	0.375	523	40
NPC12r	5	m0	0.0	373	10
NPC12r	5	m1	0.5	373	10
NPC12r	5	m2	0.5	373	10
NPC12r	7	m0	0.22580645161290322	424	31
NPC12r	7	m1	0.22580645161290322	424	31
NPC12r	7	m2	0.5483870967741935	424	31
NPC12r	9	m0	0.25	573	4
NPC12r	9	m1	0.5	573	4
NPC12r	9	m2	0.25	573	4
NPC12r	10	m0	0.13793103448275862	454	29
NPC12r	10	m1	0.4482758620689655	454	29
NPC12r	10	m2	0.41379310344827586	454	29
NPC12r	11	m0	0.2546583850931677	442	161
NPC12r	11	m1	0.11180124223602485	442	161
NPC12r	11	m2	0.6335403726708074	442	161
NPC12r	18	m0	0.022727272727272728	477	44
NPC12r	18	m1	0.2727272727272727	477	44
NPC12r	18	m2	0.7045454545454546	477	44
NPC12r	19	m0	0.35443037974683544	526	79
NPC12r	19	m1	0.3037974683544304	526	79
NPC12r	19	m2	0.34177215189873417	526	79
NPC12r	21	m0	0.21428571428571427	483	28
NPC12r	21	m1	0.17857142857142858	483	28
NPC12r	21	m2	0.6071428571428571	483	28
NPC12r	25	m0	0.09359605911330049	580	203
NPC12r	25	m1	0.6995073891625616	580	203
NPC12r	25	m2	0.20689655172413793	580	203
NPC12r	26	m0	0.0	399	1
NPC12r	26	m1	1.0	399	1
NPC12r	26	m2	0.0	399	1
NPC12r	29	m0	0.3968253968253968	511	63
NPC12r	29	m1	0.3968253968253968	511	63
NPC12r	29	m2	0.20634920634920634	511	63
NPC12r	30	m0	0.27586206896551724	554	29
NPC12r	30	m1	0.4827586206896552	554	29
NPC12r	30	m2	0.2413793103448276	554	29
NPC12r	31	m0	0.0625	462	48
NPC12r	31	m1	0.3541666666666667	462	48
NPC12r	31	m2	0.5833333333333334	462	48
NPC12r	34	m0	0.08163265306122448	495	49
NPC12r	34	m1	0.20408163265306123	495	49
NPC12r	34	m2	0.7142857142857143	495	49
NPC12r	35	m0	0.0	551	8
NPC12r	35	m1	1.0	551	8
NPC12r	35	m2	0.0	551	8
NPC12r	36	m0	0.0	397	3
NPC12r	36	m1	0.3333333333333333	397	3
NPC12r	36	m2	0.6666666666666666	397	3
NPC12r	37	m0	0.4666666666666667	532	30
NPC12r	37	m1	0.26666666666666666	532	30
NPC12r	37	m2	0.26666666666666666	532	30
NPC12r	45	m0	0.07874015748031496	544	127
NPC12r	45	m1	0.5196850393700787	544	127
NPC12r	45	m2	0.4015748031496063	544	127
NPC12r	46	m0	0.29936305732484075	510	157
NPC12r	46	m1	0.2802547770700637	510	157
NPC12r	46	m2	0.42038216560509556	510	157
NPC12r	47	m0	0.0	525	1
NPC12r	47	m1	1.0	525	1
NPC12r	47	m2	0.0	525	1
NPC12r	50	m0	0.11538461538461539	609	26
NPC12r	50	m1	0.5	609	26
NPC12r	50	m2	0.38461538461538464	609	26
NPC12r	53	m0	0.28846153846153844	453	52
NPC12r	53	m1	0.23076923076923078	453	52
NPC12r	53	m2	0.4807692307692308	453	52
NPC12r	56	m0	0.20833333333333334	657	24
NPC12r	56	m1	0.3333333333333333	657	24
NPC12r	56	m2	0.4583333333333333	657	24
NPC12r	59	m0	0.0898876404494382	459	178
NPC12r	59	m1	0.3651685393258427	459	178
NPC12r	59	m2	0.5449438202247191	459	178
NPC12r	62	m0	0.136986301369863	613	73
NPC12r	62	m1	0.3150684931506849	613	73
NPC12r	62	m2	0.547945205479452	613	73
NPC12r	63	m0	0.3409090909090909	587	132
NPC12r	63	m1	0.09090909090909091	587	132
NPC12r	63	m2	0.5681818181818182	587	132
NPC12r	67	m0	0.0	416	5
NPC12r	67	m1	0.4	416	5
NPC12r	67	m2	0.6	416	5
NPC12r	69	m0	0.15384615384615385	491	78
NPC12r	69	m1	0.3717948717948718	491	78
NPC12r	69	m2	0.47435897435897434	491	78
NPC12r	72	m0	0.1702127659574468	526	94
NPC12r	72	m1	0.2553191489361702	526	94
NPC12r	72	m2	0.574468085106383	526	94
NPC12r	74	m0	0.32	419	50
NPC12r	74	m1	0.36	419	50
NPC12r	74	m2	0.32	419	50
NPCl	1	m0	0.1935483870967742	774	62
NPCl	1	m1	0.25806451612903225	774	62
NPCl	1	m2	0.5483870967741935	774	62
NPCl	2	m0	0.0	696	3
NPCl	2	m1	0.0	696	3
NPCl	2	m2	1.0	696	3
NPCl	3	m0	0.0	564	2
NPCl	3	m1	1.0	564	2
NPCl	3	m2	0.0	564	2
NPCl	4	m0	0.2923076923076923	640	65
NPCl	4	m1	0.3076923076923077	640	65
NPCl	4	m2	0.4	640	65
NPCl	5	m0	0.07142857142857142	534	28
NPCl	5	m1	0.21428571428571427	534	28
NPCl	5	m2	0.7142857142857143	534	28
NPCl	6	m0	0.0	578	5
NPCl	6	m1	0.0	578	5
NPCl	6	m2	1.0	578	5
NPCl	7	m0	0.13636363636363635	654	22
NPCl	7	m1	0.5454545454545454	654	22
NPCl	7	m2	0.3181818181818182	654	22
NPCl	9	m0	0.3333333333333333	728	3
NPCl	9	m1	0.0	728	3
NPCl	9	m2	0.6666666666666666	728	3
NPCl	10	m0	0.06422018348623854	642	109
NPCl	10	m1	0.46788990825688076	642	109
NPCl	10	m2	0.46788990825688076	642	109
NPCl	11	m0	0.26495726495726496	706	117
NPCl	11	m1	0.23931623931623933	706	117
NPCl	11	m2	0.49572649572649574	706	117
NPCl	18	m0	0.0641025641025641	799	78
NPCl	18	m1	0.2692307692307692	799	78
NPCl	18	m2	0.6666666666666666	799	78
NPCl	19	m0	0.17391304347826086	866	46
NPCl	19	m1	0.32608695652173914	866	46
NPCl	19	m2	0.5	866	46
NPCl	21	m0	0.0	706	7
NPCl	21	m1	0.0	706	7
NPCl	21	m2	1.0	706	7
NPCl	25	m0	0.2837370242214533	818	289
NPCl	25	m1	0.38408304498269896	818	289
NPCl	25	m2	0.33217993079584773	818	289
NPCl	26	m0	0.25	679	4
NPCl	26	m1	0.25	679	4
NPCl	26	m2	0.5	679	4
NPCl	29	m0	0.25	739	48
NPCl	29	m1	0.5	739	48
NPCl	29	m2	0.25	739	48
NPCl	30	m0	0.2571428571428571	772	35
NPCl	30	m1	0.42857142857142855	772	35
NPCl	30	m2	0.3142857142857143	772	35
NPCl	31	m0	0.0967741935483871	523	31
NPCl	31	m1	0.2903225806451613	523	31
NPCl	31	m2	0.6129032258064516	523	31
NPCl	34	m0	0.017857142857142856	694	56
NPCl	34	m1	0.4642857142857143	694	56
NPCl	34	m2	0.5178571428571429	694	56
NPCl	35	m0	0.125	840	8
NPCl	35	m1	0.25	840	8
NPCl	35	m2	0.625	840	8
NPCl	37	m0	0.36363636363636365	754	11
NPCl	37	m1	0.45454545454545453	754	11
NPCl	37	m2	0.18181818181818182	754	11
NPCl	45	m0	0.09941520467836257	785	171
NPCl	45	m1	0.43859649122807015	785	171
NPCl	45	m2	0.4619883040935672	785	171
NPCl	46	m0	0.43243243243243246	632	148
NPCl	46	m1	0.30405405405405406	632	148
NPCl	46	m2	0.2635135135135135	632	148
NPCl	50	m0	0.0	843	6
NPCl	50	m1	0.5	843	6
NPCl	50	m2	0.5	843	6
NPCl	53	m0	0.14965986394557823	538	147
NPCl	53	m1	0.19047619047619047	538	147
NPCl	53	m2	0.6598639455782312	538	147
NPCl	56	m0	0.0	1131	30
NPCl	56	m1	0.36666666666666664	1131	30
