term	spline	regressor	mean	lo	hi	p_gt0
memory_noise_sd	1	Intercept	-0.224136546075148	-0.5834213748920064	0.03598060104172676	0.04805
memory_noise_sd	1	stimulation_condition[T.vertex]	-0.1704885537188999	-0.49152986860390757	0.14195822697379049	0.1246
memory_noise_sd	2	Intercept	0.14784529563894175	0.014820813906388652	0.3194417686805675	0.98675
memory_noise_sd	2	stimulation_condition[T.vertex]	-0.05102506860127445	-0.2276798513735404	0.1090964568464664	0.2794
memory_noise_sd	3	Intercept	0.1696673247071666	-0.18528088677417257	0.5146860316956359	0.8368
memory_noise_sd	3	stimulation_condition[T.vertex]	-0.1309160022540255	-0.5595742348928029	0.2977005217152627	0.2758
memory_noise_sd	4	Intercept	-0.21359218470422656	-0.7413711641361934	0.30323068554989524	0.20925
memory_noise_sd	4	stimulation_condition[T.vertex]	0.3501380202532966	-0.2993329314728403	1.0159680739783028	0.8513
memory_noise_sd	5	Intercept	0.0025295758932329746	-0.36495896188419746	0.38948420143908435	0.4951
memory_noise_sd	5	stimulation_condition[T.vertex]	0.019606900514300463	-0.4794589418907428	0.5302089856427281	0.5312
perceptual_noise_sd	1	Intercept	1.2358065584414923	0.6114195453308122	2.0426784084014526	1.0
perceptual_noise_sd	1	stimulation_condition[T.vertex]	-0.20721227224938046	-0.5582300157760067	0.051835177475123	0.06135
perceptual_noise_sd	2	Intercept	1.8893948256743125	1.4517727180181752	2.368498878551536	1.0
perceptual_noise_sd	2	stimulation_condition[T.vertex]	-0.14197319793741744	-0.35574127803356226	0.040908092275679396	0.06485
perceptual_noise_sd	3	Intercept	4.362385486258941	3.8737302070345203	4.8804786854138165	1.0
perceptual_noise_sd	3	stimulation_condition[T.vertex]	-0.2576632243152893	-0.6495360953682505	0.11038133449424552	0.0889
perceptual_noise_sd	4	Intercept	4.7603122221629395	3.984861546773881	5.616717039303534	1.0
perceptual_noise_sd	4	stimulation_condition[T.vertex]	-0.49015643737334497	-1.00672951752976	0.006872648087996258	0.02645
perceptual_noise_sd	5	Intercept	5.760908681430855	5.079002011812452	6.478068987726924	1.0
perceptual_noise_sd	5	stimulation_condition[T.vertex]	-0.2498277918427495	-0.7398688603800786	0.24315141259231907	0.1592
