group	order	stake	slope	lo	hi	n_sub	p_gt0
Never stimulated	Risky second	low	2.450032410925929	1.8606394166957652	3.304069718257523	38	
Never stimulated	Risky second	high	1.4743860485657838	1.126216214482254	1.9165847416684165	38	
Never stimulated	Risky first	low	2.4080525924072056	1.8907212471195363	3.032663308863545	38	
Never stimulated	Risky first	high	2.149087407831818	1.5820493381690517	2.712217363509002	38	
Never stimulated	Risky second	low-minus-high	0.9756463623601452	0.5489098390499657	1.56213298333211	38	1.0
Never stimulated	Risky first	low-minus-high	0.25896518457538775	-0.29652586821580845	0.8288885060209146	38	0.815
Stimulated later	Risky second	low	2.8338528549792747	2.4511005568903808	3.3213946220515562	35	
Stimulated later	Risky second	high	1.853163109221206	1.520312843688353	2.21520241057026	35	
Stimulated later	Risky first	low	2.8386856778024225	2.4471847622761196	3.2733888105355056	35	
Stimulated later	Risky first	high	1.8996612369271761	1.5784480394421563	2.249264999821145	35	
Stimulated later	Risky second	low-minus-high	0.9806897457580688	0.4968130788986376	1.5402890703983578	35	1.0
Stimulated later	Risky first	low-minus-high	0.9390244408752464	0.4212332900036844	1.3963681701429018	35	1.0
All	Risky second	low	2.622844842015093	2.213455726302923	3.0342602204204505	73	
All	Risky second	high	1.6520805526019704	1.351390131224006	1.9653267527267555	73	
All	Risky first	low	2.598765076072232	2.262751056227284	2.977728942469981	73	
All	Risky first	high	2.0257705419470726	1.70781709443585	2.328413785451811	73	
All	Risky second	low-minus-high	0.9707642894131225	0.5915213522897645	1.4185437444216955	73	1.0
All	Risky first	low-minus-high	0.5729945341251592	0.20421428919952006	0.9682235241360612	73	1.0
