statistic	parameter	vertex	ips	t	p2	p1	n
[1] amplitude	amplitude	1.301486611366272	1.0416440963745117	-1.992814842874572	0.05435778427101393	0.027178892135506966	35
[2] preferred numerosity	mu	2.312542676925659	2.422592878341675	1.0087871384604647	0.3202024351970015	0.16010121759850074	35
[3] dispersion (log sd)	sd	0.7732585072517395	0.908286452293396	1.2755649864071466	0.2107558799416004	0.1053779399708002	35
[4] explained variance	r2	0.06807823479175568	0.04932768642902374	-2.064646821188328	0.046650971853117895	0.023325485926558948	35
[5] proportion cvR2 > 0	prop_cvr2_pos	0.11120967458550611	0.07524162527360079	-1.9880193120378735	0.05490974102210093	0.027454870511050465	35
