subject	session	stimulation_condition	n_trials	p_risky	p_risky_rfirst	p_risky_rsecond	p_risky_lowsafe	p_risky_highsafe	consistency	indifference	consistency_rfirst	indifference_rfirst	consistency_rsecond	indifference_rsecond
1	2	vertex	119	0.5294117647058824	0.5	0.559322033898305	0.49295774647887325	0.5833333333333334	5.741649013702723	0.8061635920047798	4.607750329703947	0.8317898897967207	6.789296968487613	0.7843256120613099
1	3	ips	120	0.625	0.5833333333333334	0.6666666666666666	0.6527777777777778	0.5833333333333334	5.705527727680199	0.716618698719043	6.269360326812518	0.7597840674083721	4.937612438281323	0.6612232885554228
2	2	vertex	112	0.5982142857142857	0.6296296296296297	0.5689655172413793	0.6153846153846154	0.574468085106383	2.9813069170351683	0.637880064069755	2.3897512624026946	0.554913646304012	3.58469839478562	0.6923724803819727
2	3	ips	120	0.625	0.5	0.75	0.6805555555555556	0.5416666666666666	2.402090920831348	0.5482974894854803	4.095754964365522	0.8046779161776287	1.2445106830034667	-0.12446472171850372
3	2	vertex	120	0.5916666666666667	0.6666666666666666	0.5166666666666667	0.5694444444444444	0.625	7.964956304321669	0.6146358536379912	8.993966392535128	0.5620905106612473	7.113233318919341	0.6703735753887667
3	3	ips	120	0.6416666666666667	0.65	0.6333333333333333	0.625	0.6666666666666666	7.035376048220016	0.5693736642257128	7.169151380269558	0.5635024603691312	6.417602869878095	0.5709489912968603
4	2	ips	120	0.4166666666666667	0.3	0.5333333333333333	0.5	0.2916666666666667	2.812220191695518	0.9247684612648284	2.358540233860251	1.1797056501234526	3.52289195856835	0.7446949859943165
4	3	vertex	114	0.4824561403508772	0.38181818181818183	0.576271186440678	0.5294117647058824	0.41304347826086957	2.8035187296279567	0.8150334422265245	1.5705321652059618	1.0988059505249486	4.2429933125939705	0.7013913307134523
5	2	vertex	120	0.7666666666666667	0.85	0.6833333333333333	0.8194444444444444	0.6875	4.15696994088007	0.5756191907897567	2.096403276604553	0.047577183830329724	5.776557363315025	0.7314851983915449
5	3	ips	120	0.8	0.8333333333333334	0.7666666666666667	0.8194444444444444	0.7708333333333334	4.684147717281825	0.5554395234579175	4.256151089436028	0.47245799947817285	4.789549939689712	0.6076941931281631
6	2	ips	120	0.4166666666666667	0.3333333333333333	0.5	0.5555555555555556	0.20833333333333334	3.3246805815612226	0.9148561389031331	2.7614837099794394	1.0963287040280174	4.2711420887273945	0.767904688213574
6	3	vertex	120	0.35	0.23333333333333334	0.4666666666666667	0.4722222222222222	0.16666666666666666	2.9481135399780984	1.0517495253820492	2.752070324072967	1.322063761342315	3.59758659592437	0.824685991565082
7	2	ips	117	0.6837606837606838	0.6724137931034483	0.6949152542372882	0.6956521739130435	0.6666666666666666	1.3082018550817591	0.01570815080463994	2.211212625988138	0.26898576688831255	0.422309826893836	-1.3319173882572573
7	3	vertex	119	0.680672268907563	0.6779661016949152	0.6833333333333333	0.6901408450704225	0.6666666666666666	3.9247971481134383	0.3928397335268493	4.583887830971818	0.4212072470194902	3.224117699840189	0.3504030053969181
9	2	ips	120	0.4583333333333333	0.31666666666666665	0.6	0.6111111111111112	0.22916666666666666	3.5112001426682853	1.0883232194071761	1.7646903641320968	1.4869696604690403	6.556332501817864	0.937534379727513
9	3	vertex	120	0.25	0.18333333333333332	0.31666666666666665	0.4166666666666667	0.0	1.0540534555205574	2.090263895002805	1.7406886657507654	1.921910028793039	0.6009157907960769	2.319488707446603
10	2	ips	120	0.75	0.7833333333333333	0.7166666666666667	0.8611111111111112	0.5833333333333334	3.447838764035653	0.351348115041058	3.621181448032118	0.30837958055405273	3.1931506265345737	0.38635665693948756
10	3	vertex	120	0.7166666666666667	0.75	0.6833333333333333	0.6666666666666666	0.7916666666666666	3.5957741571474733	0.4154444612479122	4.004699153216886	0.3902592792079091	3.148068409512474	0.43746502123763037
11	2	vertex	119	0.6218487394957983	0.6833333333333333	0.559322033898305	0.6619718309859155	0.5625	6.158150643500244	0.386094030334576	5.506028354484921	0.31449739176798236	6.791514872042279	0.4488206399404445
11	3	ips	120	0.5583333333333333	0.5666666666666667	0.55	0.5277777777777778	0.6041666666666666	6.46802966226598	0.45354043750342027	5.214765688938365	0.43975704500401813	7.711851489960185	0.4637388368401398
18	2	ips	115	0.591304347826087	0.5084745762711864	0.6785714285714286	0.5362318840579711	0.6739130434782609	6.528219793957222	0.25883448434229006	6.091633531617604	0.3170477574278224	6.5029739508583555	0.1931790190007431
18	3	vertex	120	0.5916666666666667	0.5833333333333334	0.6	0.4583333333333333	0.7916666666666666	8.652969931109746	0.2751190159867161	10.015065146312931	0.2841131814236928	5.967283374512585	0.2515366129825423
19	2	vertex	119	0.48739495798319327	0.4067796610169492	0.5666666666666667	0.6666666666666666	0.2127659574468085	2.86199971160322	1.1413950002973463	2.6882887952914043	1.2681928947323886	2.9942935757126534	1.029376930318825
19	3	ips	120	0.45	0.45	0.45	0.6527777777777778	0.14583333333333334	0.48013132632997624	1.5439107730568384	0.07307239418930557	3.8715408263543076	0.8682153722431246	1.3576556029021485
21	2	ips	120	0.5083333333333333	0.48333333333333334	0.5333333333333333	0.625	0.3333333333333333	1.7654254035024435	0.6588908113209018	1.9643011216187996	0.7219201712242969	1.573719558890212	0.5847530183849038
21	3	vertex	120	0.425	0.38333333333333336	0.4666666666666667	0.4861111111111111	0.3333333333333333	3.1634852572065433	0.8243350000275241	3.6164699668600524	0.8958577266476282	2.834471146315966	0.7468829809825351
25	2	vertex	120	0.6583333333333333	0.65	0.6666666666666666	0.5694444444444444	0.7916666666666666	10.38397805262582	0.32543985209031795	8.259451017076573	0.31997067574025845	11.544758108080712	0.32422321765662404
25	3	ips	118	0.635593220338983	0.4482758620689655	0.8166666666666667	0.5571428571428572	0.75	5.437269110843651	0.29800815865450514	5.621981766769749	0.45553055491705513	6.839760879408594	0.15428101987669393
26	2	ips	120	0.6166666666666667	0.5	0.7333333333333333	0.5555555555555556	0.7083333333333334	5.717806389766115	0.2660572306994286	5.836989001702824	0.3986663814397789	7.027199277055382	0.1419936289902305
26	3	vertex	120	0.525	0.48333333333333334	0.5666666666666667	0.4722222222222222	0.6041666666666666	5.726521629006101	0.37048573952747327	7.543579862562051	0.4157011527709869	4.390489788585539	0.3156469371420446
29	2	vertex	119	0.2605042016806723	0.22033898305084745	0.3	0.39436619718309857	0.0625	2.4352913651456642	1.313483026228728	3.224151241075378	1.3118475546577615	1.9043844635339737	1.3073406479844427
29	3	ips	119	0.5294117647058824	0.4666666666666667	0.5932203389830508	0.6338028169014085	0.375	2.243087948302907	0.7396911257832144	2.5656227727927843	0.8698092272339374	2.0090217339928422	0.5831216106562577
30	2	vertex	119	0.6218487394957983	0.5	0.7457627118644068	0.6901408450704225	0.5208333333333334	2.701660585329778	0.6309206595417078	3.606048074638786	0.8383821827425942	2.0405226039269433	0.2744086478759913
30	3	ips	120	0.8666666666666667	0.8166666666666667	0.9166666666666666	0.7916666666666666	0.9791666666666666	3.3452093437108017	0.20193636946887425	3.28694828164986	0.3181345385766247	3.4047484717213585	0.04593782697332609
31	2	vertex	120	0.6333333333333333	0.6	0.6666666666666666	0.6111111111111112	0.6666666666666666	3.2635702959865105	0.5268580811688316	3.1485076928974216	0.5691269694818523	3.246088125457045	0.4776652228315187
31	3	ips	119	0.7310924369747899	0.65	0.8135593220338984	0.6901408450704225	0.7916666666666666	6.052154700105886	0.5043366795840685	8.500773149490978	0.5982218813566738	3.1189803671414795	0.2110024604540401
34	2	vertex	120	0.5416666666666666	0.45	0.6333333333333333	0.625	0.4166666666666667	4.655456261076808	0.8779125867023413	5.508742814602902	0.9761584756455561	4.1247502444057185	0.7612836031221151
34	3	ips	120	0.5833333333333334	0.43333333333333335	0.7333333333333333	0.7777777777777778	0.2916666666666667	1.5198597364037212	0.6962079672083349	1.3990567446365227	1.122195587465382	1.9941735535507077	0.3907239674210957
35	2	ips	120	0.31666666666666665	0.3	0.3333333333333333	0.05555555555555555	0.7083333333333334	2.90957199127028	1.2327129133869035	1.705531450551837	1.459530587178263	3.9896572891924484	1.145848800221722
35	3	vertex	119	0.4789915966386555	0.4576271186440678	0.5	0.19718309859154928	0.8958333333333334	3.477121833530308	0.9807233139113896	3.6771598637133205	1.006891683660635	3.142890739455238	0.9526917849304075
36	2	vertex	120	0.6	0.5833333333333334	0.6166666666666667	0.5833333333333334	0.625	3.5567977633052053	0.6004499091896107	2.784989089877626	0.6016892856983885	4.373584432177366	0.5960126176200132
36	3	ips	120	0.575	0.5333333333333333	0.6166666666666667	0.5416666666666666	0.625	5.72639675899085	0.6583194521334989	6.960390846314348	0.705302868347237	4.619990855042012	0.600137387881523
37	2	ips	120	0.4166666666666667	0.35	0.48333333333333334	0.4722222222222222	0.3333333333333333	4.2121382722964045	0.57009875932989	3.153581491522622	0.6921061669206837	5.339321175613095	0.49128850657373185
37	3	vertex	120	0.4583333333333333	0.35	0.5666666666666667	0.5	0.3958333333333333	4.899081316410671	0.5178586097640485	5.03024500888846	0.6300087402289748	5.190159433504094	0.40877808543010774
45	2	ips	119	0.5294117647058824	0.5423728813559322	0.5166666666666667	0.6111111111111112	0.40425531914893614	5.089866144228818	1.2265377017572556	7.316745056138312	1.2240171579355044	2.3687005919634307	1.2235601622289296
45	3	vertex	116	0.8879310344827587	0.8928571428571429	0.8833333333333333	0.8873239436619719	0.8888888888888888	6.126066300680089	0.8924292902109039	9.838076207801773	1.0014527120034058	1.4742345449504448	-0.12577941671349993
46	2	vertex	120	0.5416666666666666	0.5333333333333333	0.55	0.5416666666666666	0.5416666666666666	4.752165676185626	0.8102844440801505	4.461717854439313	0.8190757484238214	4.9127631408704895	0.801122337017285
46	3	ips	119	0.6218487394957983	0.6610169491525424	0.5833333333333334	0.5915492957746479	0.6666666666666666	3.1599557431257574	0.6749868027896612	3.054392161569229	0.6077678912128839	3.2188157506080204	0.7345295156605727
47	2	ips	119	0.5966386554621849	0.6333333333333333	0.559322033898305	0.5774647887323944	0.625	5.930721098734998	0.425972099014159	6.053348336040229	0.36670137968667615	5.865266298534549	0.4864580134328972
47	3	vertex	117	0.6324786324786325	0.6379310344827587	0.6271186440677966	0.6231884057971014	0.6458333333333334	3.1759641451534675	0.33011982567531495	2.773076505310934	0.30024661557172533	3.5695494218055366	0.35324226356746996
50	2	ips	120	0.5166666666666667	0.4666666666666667	0.5666666666666667	0.6944444444444444	0.25	4.429104481850701	1.247107342865797	3.6326691742171078	1.300244410957872	4.5379300253593495	1.2015252630260271
50	3	vertex	120	0.7166666666666667	0.7666666666666667	0.6666666666666666	0.9722222222222222	0.3333333333333333	1.3117493096620763	0.5533683546214747	1.1054960092324706	0.18467747434655601	1.2679333124680663	0.7146231176688692
