subject	session	stimulation_condition	n_trials	p_risky	p_risky_rfirst	p_risky_rsecond	p_risky_lowsafe	p_risky_highsafe	consistency	indifference	consistency_rfirst	indifference_rfirst	consistency_rsecond	indifference_rsecond
53	2	vertex	119	0.5966386554621849	0.4666666666666667	0.7288135593220338	0.6619718309859155	0.5	2.559929658608612	0.7383611568095644	2.2969162282896542	0.977505267567002	3.40211091629565	0.5556498648248706
53	3	ips	120	0.6416666666666667	0.5666666666666667	0.7166666666666667	0.625	0.6666666666666666	2.8980593527113157	0.669550590301554	2.9988317203642385	0.8021009509956601	2.9169043423460326	0.5307365726606902
56	2	ips	119	0.6386554621848739	0.55	0.7288135593220338	0.6197183098591549	0.6666666666666666	4.207250824454003	0.6141738110897145	4.314030710165372	0.7174096479208333	4.277086350110436	0.5031739343357531
56	3	vertex	120	0.7083333333333334	0.6833333333333333	0.7333333333333333	0.75	0.6458333333333334	4.51939005624133	0.5422254849665535	2.961300882536607	0.49215339343544257	6.36160534357898	0.5626867566215141
59	2	vertex	120	0.25833333333333336	0.26666666666666666	0.25	0.4027777777777778	0.041666666666666664	2.888338287060612	1.3160379412410004	3.3125058795634796	1.2633796502431607	2.4335317936915084	1.3932627155115722
59	3	ips	119	0.226890756302521	0.21666666666666667	0.23728813559322035	0.2676056338028169	0.16666666666666666	3.124462820513546	1.362394024202722	4.430983395074073	1.2941609614242149	2.1288063887250104	1.4904187154341275
62	2	vertex	113	0.7876106194690266	0.8301886792452831	0.75	0.7941176470588235	0.7777777777777778	6.450156751692543	0.45455553618392647	7.717899520609838	0.435697910864346	5.2951076958867676	0.4636241558322565
62	3	ips	119	0.9243697478991597	0.9166666666666666	0.9322033898305084	0.971830985915493	0.8541666666666666	5.7448764131789485	0.20706610472813736	10.05803734845383	0.3650554591631631	1.6763352836054195	-0.8691927981001601
63	2	vertex	119	0.5462184873949579	0.559322033898305	0.5333333333333333	0.5915492957746479	0.4791666666666667	5.567400671036943	0.6574773372783173	7.003697967316917	0.6511617717776701	4.193722563815637	0.6632170498796831
63	3	ips	112	0.5714285714285714	0.45454545454545453	0.6842105263157895	0.6363636363636364	0.4782608695652174	3.41487061012355	0.6092562576880269	3.353297753881798	0.7595158977681554	3.643739359806494	0.468044668534602
67	2	ips	119	0.680672268907563	0.7457627118644068	0.6166666666666667	0.7464788732394366	0.5833333333333334	3.382081396531107	0.7257991728722417	2.9938394105791275	0.5796788053165742	3.7775758833905573	0.8373572730047237
67	3	vertex	120	0.35833333333333334	0.4166666666666667	0.3	0.5416666666666666	0.08333333333333333	2.3422044034657756	1.2651669425982885	1.0888875078732214	1.308981924334503	4.151620451077882	1.252627317361208
69	2	ips	120	0.65	0.6833333333333333	0.6166666666666667	0.6666666666666666	0.625	2.865294801890062	0.3403626349100727	1.1193392874943313	-0.12306828027018117	4.615794966401608	0.4505924867826371
69	3	vertex	120	0.6583333333333333	0.7166666666666667	0.6	0.6111111111111112	0.7291666666666666	3.48747649993577	0.3642452153726338	2.7477320343415643	0.21259425804396942	4.122433332508776	0.45939342025152735
72	2	ips	120	0.44166666666666665	0.4166666666666667	0.4666666666666667	0.4583333333333333	0.4166666666666667	5.906016904297078	0.5410856856888532	6.082444975986034	0.5626940823853234	5.469759131359045	0.5197520802886334
72	3	vertex	119	0.2773109243697479	0.1864406779661017	0.36666666666666664	0.3380281690140845	0.1875	7.214507440203032	0.6787292457397683	9.113684020823978	0.7461041585666904	6.468475651567602	0.6046823758278121
74	2	ips	120	0.2833333333333333	0.35	0.21666666666666667	0.375	0.14583333333333334	3.462152475901793	1.127604670677867	4.257397144859733	0.9828302293176665	2.8157564492612264	1.3270078130237937
74	3	vertex	120	0.25833333333333336	0.3	0.21666666666666667	0.2361111111111111	0.2916666666666667	2.9927731034153915	1.2098477021453304	1.9493030673827838	1.2372955647522619	5.486921866884819	1.1938079628301768
