label	choice_noise	prior_corr	prior_pair	space	form	placement	draws	chains	n_anchors	divergences	max_rhat_group	min_ess_group	worst_group_par	max_rhat_subject	min_ess_subject	worst_subject_par	anchor_corr_posterior	anchor_corr_pair	anchor_corr_design	ok_group
chf-affine-mem	raw_evidence_sd	0.48225713396855874	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	affine	mem	3000	4	2	18	1.0	2725.0	chf_mem_affine_sd7_sd[Intercept]	1.0	2972.0	chf_mem_affine_sd7[45, Intercept]	-0.32907897840847544	chf_mem_affine_sd7 ~ chf_mem_affine_sd112	0.5954241144782656	True
chf-affine-n1	raw_evidence_sd	0.5648191633945012	chf_risky_prior_mu_mu ~ chf_safe_prior_mu_mu	chf	affine	n1	3000	4	2	10	1.17	17.0	chf_n2_affine_sd112_sd[Intercept]	1.4	9.0	chf_n2_affine_sd112[34, Intercept]	-0.35557612781412623	chf_n1_affine_sd7 ~ chf_n1_affine_sd112	0.5954241144782656	False
chf-affine-n1n2	raw_evidence_sd	0.5149590869908127	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	affine	n1n2	3000	4	2	37	1.05	66.0	chf_n2_affine_sd112_sd[Intercept]	1.08	32.0	chf_safe_prior_mu[34, Intercept]	-0.34446847246191503	chf_n1_affine_sd7 ~ chf_n1_affine_sd112	0.5954241144782656	False
chf-affine-n2	raw_evidence_sd	0.5090839192293333	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	affine	n2	3000	4	2	10	1.02	216.0	chf_n2_affine_sd112_sd[Intercept]	1.03	74.0	chf_n2_affine_sd112[34, Intercept]	-0.18730499698035158	chf_n1_affine_sd7 ~ chf_n1_affine_sd112	0.5954241144782656	False
chf-affine-null	raw_evidence_sd	0.6663992759205515	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	affine	null	3000	4	2	9	1.18	15.0	chf_perc_affine_sd7_sd[Intercept]	1.53	7.0	chf_perc_affine_sd7[35, Intercept]	-0.33392753839057426	chf_perc_affine_sd7 ~ chf_perc_affine_sd112	0.5954241144782656	False
chf-affine-nullind	raw_evidence_sd	0.544575616621326	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	affine	nullind	3000	4	2	15	1.03	149.0	chf_safe_prior_mu_mu[Intercept]	1.07	48.0	chf_safe_prior_mu[69, Intercept]	-0.22382284294255334	chf_n2_affine_sd7 ~ chf_n2_affine_sd112	0.5954241144782656	False
chf-affine-perc	raw_evidence_sd	0.657587869256947	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	affine	perc	3000	4	2	6	1.0	1529.0	chf_risky_prior_sd_sd[Intercept]	1.0	1540.0	chf_perc_affine_sd112[30, stimulation_condition[T.vertex]]	-0.2799422349624729	chf_perc_affine_sd7 ~ chf_perc_affine_sd112	0.5954241144782656	True
chf-affine-percmem	raw_evidence_sd	0.6579016644702287	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	affine	percmem	3000	4	2	3	1.0	1444.0	chf_risky_prior_sd_sd[Intercept]	1.0	1378.0	chf_perc_affine_sd112[30, stimulation_condition[T.vertex]]	-0.30028398736272927	chf_perc_affine_sd7 ~ chf_perc_affine_sd112	0.5954241144782656	True
chf-spl5-mem	raw_evidence_sd	0.3545138015118299	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	mem	3000	4	5	6	1.0	2805.0	chf_perc_spl5_sd20_sd[Intercept]	1.0	3509.0	chf_mem_spl5_sd112[9, Intercept]	-0.170503211787135	chf_perc_spl5_sd30 ~ chf_perc_spl5_sd112	0.39767980442684403	True
chf-spl5-n1	raw_evidence_sd	0.5258456832696081	chf_risky_prior_sd_mu ~ chf_safe_prior_sd_mu	chf	spl5	n1	3000	4	5	8	1.0	1634.0	chf_n1_spl5_sd20_sd[stimulation_condition[T.vertex]]	1.0	1918.0	chf_n1_spl5_sd20[9, stimulation_condition[T.vertex]]	0.21114925724359837	chf_n1_spl5_sd20 ~ chf_n1_spl5_sd30	0.39767980442684403	True
