label	parameter	kind	n	r	lo	hi	p_gt0	p_lt0	r_posterior_mean_only
log-power-n1n2.mapjitter.klw	log_n1_power_sd112	pearson	35	-0.014970784171115855	-0.232316232139429	0.19820670293581663	0.44745833333333335	0.5525416666666667	-0.02012559453694529
log-power-n1n2.mapjitter.klw	log_n1_power_sd112	spearman	35	-0.020448179271708684	-0.23445378151260504	0.19775910364145657	0.42625	0.5726666666666667	-0.02012559453694529
log-power-n1n2.mapjitter.klw	log_n1_power_sd7	pearson	35	0.27958128651232017	-0.016474148003920063	0.5164364317409618	0.969125	0.030875	0.44374629760060574
log-power-n1n2.mapjitter.klw	log_n1_power_sd7	spearman	35	0.2991596638655462	-0.0016806722689075631	0.5366946778711484	0.9745833333333334	0.025375	0.44374629760060574
log-power-n1n2.mapjitter.klw	log_n2_power_sd112	pearson	35	-0.18147613926069273	-0.39883905054833413	0.05795765029060827	0.06666666666666667	0.9333333333333333	-0.2631141056069111
log-power-n1n2.mapjitter.klw	log_n2_power_sd112	spearman	35	-0.19943977591036416	-0.4266176470588235	0.050980392156862744	0.058666666666666666	0.940875	-0.2631141056069111
log-power-n1n2.mapjitter.klw	log_n2_power_sd7	pearson	35	0.05173077308865487	-0.24849726331887462	0.33665297329823873	0.6332083333333334	0.3667916666666667	0.10854242424085535
log-power-n1n2.mapjitter.klw	log_n2_power_sd7	spearman	35	0.06134453781512605	-0.24369747899159663	0.35126750700280046	0.6551666666666667	0.3440416666666667	0.10854242424085535
