subject	model	mask	n_voxels	d_mu_mean	d_mu_median	d_sd_mean	d_sd_median	d_amplitude_mean	d_amplitude_median	d_baseline_mean	d_baseline_median
1	m0	NPC12r_all	601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	m0	NPC12r_m0cv_pos	41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	m1	NPC12r_all	601	0.0	0.0	0.0	0.0	-0.247727632522583	-0.08502152562141418	0.0	0.0
1	m1	NPC12r_m0cv_pos	41	0.0	0.0	0.0	0.0	-0.5904430150985718	-0.3572582006454468	0.0	0.0
1	m2	NPC12r_all	601	-0.11893060803413391	-0.03893899917602539	0.2704469859600067	0.18172979354858398	0.059099383652210236	-0.06885890662670135	-0.047235045582056046	-0.03213971108198166
1	m2	NPC12r_m0cv_pos	41	-1.3098504543304443	-0.3567088842391968	0.9049786925315857	0.8049915432929993	0.6246340274810791	0.2915356755256653	-0.12243542075157166	-0.04030966758728027
2	m0	NPC12r_all	489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	m1	NPC12r_all	489	0.0	0.0	0.0	0.0	-0.1452026218175888	-0.16234202682971954	0.0	0.0
2	m2	NPC12r_all	489	0.42494186758995056	0.4778003692626953	-0.210884228348732	-0.14341393113136292	0.06593488156795502	0.03892911598086357	0.024050885811448097	-0.019744835793972015
3	m0	NPC12r_all	339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	m1	NPC12r_all	339	0.0	0.0	0.0	0.0	-0.32302042841911316	-0.053144991397857666	0.0	0.0
3	m2	NPC12r_all	339	0.27663978934288025	0.2849156856536865	0.24832302331924438	0.0919584333896637	-0.16863512992858887	-0.09904799610376358	-0.2949274480342865	-0.039365410804748535
4	m0	NPC12r_all	523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	m0	NPC12r_m0cv_pos	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	m1	NPC12r_all	523	0.0	0.0	0.0	0.0	0.38385680317878723	0.19674882292747498	0.0	0.0
4	m1	NPC12r_m0cv_pos	12	0.0	0.0	0.0	0.0	0.21993297338485718	0.06025431305170059	0.0	0.0
4	m2	NPC12r_all	523	0.42311257123947144	0.3006610870361328	0.17033088207244873	-0.008357323706150055	0.045485496520996094	-0.02636745572090149	0.029917262494564056	0.12302901595830917
4	m2	NPC12r_m0cv_pos	12	0.32064828276634216	0.2628138065338135	0.061124593019485474	0.1596321314573288	0.3214769661426544	-0.07592932879924774	-0.0584753192961216	0.06078248471021652
5	m0	NPC12r_all	373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	m1	NPC12r_all	373	0.0	0.0	0.0	0.0	-0.663945734500885	-0.3763285279273987	0.0	0.0
5	m2	NPC12r_all	373	-0.9651342630386353	-0.5417122840881348	-0.40533462166786194	-0.1852463185787201	-0.0800151377916336	-0.0847155749797821	-0.3411496877670288	-0.12347137928009033
6	m0	NPC12r_all	368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	m1	NPC12r_all	368	0.0	0.0	0.0	0.0	-0.5637582540512085	-0.4247478246688843	0.0	0.0
6	m2	NPC12r_all	368	0.47128942608833313	0.535628080368042	-1.0588778257369995	-0.5108354687690735	0.26025891304016113	0.18272490799427032	-0.518928050994873	-0.3067740797996521
7	m0	NPC12r_all	424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	m0	NPC12r_m0cv_pos	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	m1	NPC12r_all	424	0.0	0.0	0.0	0.0	-0.49483367800712585	-0.3204941749572754	0.0	0.0
7	m1	NPC12r_m0cv_pos	11	0.0	0.0	0.0	0.0	-0.33136311173439026	-0.1868792176246643	0.0	0.0
7	m2	NPC12r_all	424	0.20454154908657074	0.1176764965057373	-0.9469165205955505	-0.4734451174736023	-0.4548669457435608	-0.14070545136928558	0.10704772919416428	-0.029751643538475037
