subject	term	payoff	d_nu	lo	hi	p_pos
1	perceptual	7.0	0.2772554390503853	-0.21592023770180918	0.8146093278255186	0.8788
2	perceptual	7.0	0.16487637467863284	-0.26926657407118343	0.6039929353396635	0.79655
3	perceptual	7.0	0.09365753795041644	-0.6249577814497401	0.6800815828345196	0.65245
4	perceptual	7.0	0.006909750075841825	-0.6731721409118295	0.537109998571153	0.54985
5	perceptual	7.0	-0.01027076231501998	-0.8196216725726523	0.6054079339279954	0.53585
6	perceptual	7.0	0.3126338216582308	-0.20290023595883072	0.8726947425047736	0.89755
7	perceptual	7.0	0.32365745180520644	-0.08023934535205292	0.8002783043388453	0.94525
9	perceptual	7.0	0.4878707403732511	0.024277661500673085	1.1107587872371643	0.9799
10	perceptual	7.0	0.23882066803854474	-0.36482823679933757	0.8341696383248594	0.8111
11	perceptual	7.0	-0.0952405860207527	-0.9072280165641671	0.4943460882092859	0.43465
18	perceptual	7.0	0.27690448607101764	-0.14041242139426416	0.7493167406760627	0.91395
19	perceptual	7.0	0.19883369935352901	-0.43607606019024137	0.7882890714640556	0.77285
21	perceptual	7.0	0.32895288500892195	-0.1307095635029118	0.8627422883558143	0.92315
25	perceptual	7.0	0.032877224742844054	-0.4858379020908611	0.480683514272147	0.58
26	perceptual	7.0	0.1981925899748119	-0.36054781262789065	0.7383589620276326	0.7914
29	perceptual	7.0	0.3954265504238083	-0.005175721738663234	0.9068670665965962	0.97325
30	perceptual	7.0	0.34882577263160536	-0.027658215544156074	0.8243939950066251	0.9652
31	perceptual	7.0	0.20020748136049002	-0.31662027748244415	0.700730993926549	0.8023
34	perceptual	7.0	0.2483524302457301	-0.2648041128776802	0.7699810275876737	0.8535
35	perceptual	7.0	0.18731439081536716	-0.516429925922094	0.7962229529664312	0.76785
36	perceptual	7.0	0.11910134886625215	-0.5064416905162562	0.6764288425405468	0.68865
37	perceptual	7.0	0.22346710697776376	-0.3286808204928291	0.75414521923427	0.8188
45	perceptual	7.0	0.002357190011203736	-0.7666501743606321	0.5710144235373977	0.5534
46	perceptual	7.0	0.2931234724291531	-0.1789482539010635	0.8478981079630352	0.8983
47	perceptual	7.0	-0.015616403742073516	-0.6750062690981975	0.5313456969250766	0.5088
50	perceptual	7.0	-0.06533155155396424	-0.9555925584957392	0.572428617020043	0.48685
53	perceptual	7.0	0.09522238874142541	-0.5162111433981822	0.6073964090169084	0.6663
56	perceptual	7.0	-0.1482373226017773	-0.8790931086314933	0.4045563639069201	0.35015
59	perceptual	7.0	0.21071598357419763	-0.3759491404073958	0.786734521910967	0.79775
62	perceptual	7.0	0.3903032741933424	-0.09790041416476329	0.9722824769374736	0.9464
63	perceptual	7.0	-0.0003265893139655181	-0.7182087268733867	0.5766778310215429	0.53635
67	perceptual	7.0	0.3348066178892306	-0.14008454832821954	0.8798352503772495	0.92305
69	perceptual	7.0	0.05631971604278572	-0.6187938348689107	0.5954129117951532	0.6111
72	perceptual	7.0	0.40756491574676007	-0.07251170747962651	0.9938461788792876	0.9534
74	perceptual	7.0	0.36777982920683716	-0.12963648081771123	0.9496998813033588	0.93235
1	perceptual	10.0	0.23456154728903092	-0.057857688704009556	0.5447434298534315	0.94725
2	perceptual	10.0	0.07968346171345522	-0.17843152875071214	0.34126354732601316	0.7402
3	perceptual	10.0	0.10940304263061357	-0.2425952155129472	0.42936403890753944	0.76255
4	perceptual	10.0	0.054175537552508014	-0.2860864063087202	0.3517408214409254	0.65205
5	perceptual	10.0	0.052468430950956144	-0.33672634237475574	0.38215525061582545	0.6419
6	perceptual	10.0	0.26081462744820866	-0.02634829722467093	0.5686051236729178	0.96345
7	perceptual	10.0	0.14315988601499186	-0.10331147517377848	0.41320818752401617	0.86615
9	perceptual	10.0	0.4854015419874471	0.19757299679303647	0.8345282716092972	0.9997
10	perceptual	10.0	0.09938933283730393	-0.2109079207935485	0.4056089656204329	0.7502
11	perceptual	10.0	0.0007324848983155139	-0.375882036286141	0.3158241027503439	0.52835
18	perceptual	10.0	0.10348270896699426	-0.14553633969623248	0.3721944825841849	0.79325
19	perceptual	10.0	0.1786118265276968	-0.13754740426033388	0.4956621198538857	0.88005
21	perceptual	10.0	0.26659890075423415	0.011866952850435616	0.557353294286974	0.97935
25	perceptual	10.0	0.03617994705355069	-0.2526693612133183	0.30936112803547955	0.61315
26	perceptual	10.0	0.1777496999766252	-0.11119491227327813	0.46683374370117653	0.8971
29	perceptual	10.0	0.3878726086117547	0.14280400835857465	0.67944768163117	0.99925
30	perceptual	10.0	0.43242689123207817	0.19446737812293613	0.7187672364183815	0.9999
31	perceptual	10.0	0.20481325912619577	-0.07672237730413066	0.48662417613915526	0.92995
34	perceptual	10.0	0.16086815982275626	-0.11426579638575778	0.4384489929486395	0.88355
35	perceptual	10.0	0.11520582958840696	-0.27149831176330147	0.47399248345651973	0.7569
36	perceptual	10.0	0.16272646806752666	-0.15820423557879265	0.4757287781952833	0.85405
37	perceptual	10.0	0.14803830774124485	-0.135329011818213	0.4280166107073571	0.864
45	perceptual	10.0	-0.08137811184387503	-0.491681773097983	0.282692436116524	0.3478
46	perceptual	10.0	0.2790458546969716	-0.006499684081341196	0.5984640106021317	0.97235
47	perceptual	10.0	0.08032037162484376	-0.24926605373442115	0.38573195704662483	0.7028
50	perceptual	10.0	-0.06972440737105032	-0.5031149906165625	0.29362793328492925	0.3823
53	perceptual	10.0	0.19040527383714953	-0.117904146335621	0.47719709930825205	0.9022
56	perceptual	10.0	-0.0390346770705745	-0.4139141550390688	0.2814719600494906	0.4312
59	perceptual	10.0	0.2664970409796884	-0.05601110261227184	0.6027774861663932	0.9483
62	perceptual	10.0	0.24711398396811604	-0.027370021305503756	0.5574997289572949	0.96145
63	perceptual	10.0	0.06993063789217185	-0.281036070403372	0.3771904974788811	0.6871
67	perceptual	10.0	0.4252069658561842	0.16066284813310003	0.7289105206963591	0.99855
69	perceptual	10.0	0.010803218719605885	-0.32352565181846504	0.2978080338378155	0.55095
72	perceptual	10.0	0.42767134501807597	0.15093481895023628	0.7483182313236908	0.9976
74	perceptual	10.0	0.13596363408116394	-0.18579612746808533	0.4704560829457082	0.8042
1	perceptual	14.0	0.19735823023397792	-0.06243339257726016	0.45291606426713366	0.93675
2	perceptual	14.0	0.011617111266936445	-0.23575989060261124	0.24566501097621357	0.5474
3	perceptual	14.0	0.12770952750859546	-0.13941947284308942	0.388957852510366	0.83285
4	perceptual	14.0	0.09826174164861624	-0.15813910505369216	0.3474408341675259	0.78195
5	perceptual	14.0	0.10392397938454974	-0.15941559879084055	0.36192401154175347	0.7858
6	perceptual	14.0	0.23045482306221293	-0.027900719071615683	0.49371472369706987	0.9615
7	perceptual	14.0	0.009575064142190032	-0.23934157138196277	0.24445644744898326	0.54245
9	perceptual	14.0	0.46384440645653696	0.17646113145079018	0.7892209011027185	0.9995
10	perceptual	14.0	0.01926124068587582	-0.23692545166639503	0.25648940216809135	0.56735
11	perceptual	14.0	0.07276929194218265	-0.19231872402907044	0.33432947952877634	0.7123
18	perceptual	14.0	-0.0233202613795918	-0.29249639229249363	0.22783665034960618	0.43575
19	perceptual	14.0	0.170649948615812	-0.08995070751090725	0.43303439989313014	0.9055
21	perceptual	14.0	0.21777328816352873	-0.013779015479306028	0.45537368362478664	0.96735
25	perceptual	14.0	0.050181582450640055	-0.20545595866265048	0.2982654900678508	0.6567
26	perceptual	14.0	0.16602286307665468	-0.07052591681283436	0.4129158738331233	0.91415
29	perceptual	14.0	0.36227055172004263	0.13633194332539555	0.6047835992531071	0.99905
30	perceptual	14.0	0.47774332213300386	0.2520683485352139	0.725412774671621	0.99995
31	perceptual	14.0	0.20796086062118396	-0.028613590136531097	0.45138355068954045	0.95755
34	perceptual	14.0	0.1022250920801271	-0.13571514567974904	0.3337091707418343	0.8093
