term	scale	hi_x	p_larger_at_7	e7	ehi
perceptual	absolute	28	0.43395	0.19808768473286253	0.215354897165824
perceptual	absolute	56	0.1408	0.19808768473286253	0.34242462675880264
perceptual	absolute	112	0.29065	0.19808768473286253	0.3309760831808761
perceptual	relative	28	0.76145	0.13553318164582343	0.07444799711257533
perceptual	relative	56	0.71815	0.13553318164582343	0.08638906004956814
perceptual	relative	112	0.78545	0.13553318164582343	0.06307964020303826
memory	absolute	28	0.61335	0.057128561558391584	0.034059480738811286
memory	absolute	56	0.8656	0.057128561558391584	-0.033117376860302944
memory	absolute	112	0.6997	0.057128561558391584	-0.031850647105436294
memory	relative	28	0.6661	0.13675853734106563	0.047744888781311445
memory	relative	56	0.8491	0.13675853734106563	-0.04342107054235024
memory	relative	112	0.72585	0.13675853734106563	-0.017426843783919087
