order	stake_bin	sbin	stim	mean	lo	hi	frac	stake	observed	observed_sem
Risky first	0	1	ips	0.35328995633884047	0.3246604980635046	0.3887997213079862	1.543049371263657	12.667230248654299	0.3314285714285714	0.053595170587072825
Risky first	0	1	vertex	0.3009477211117347	0.27215787039871825	0.3316103673384111	1.543049371263657	12.667230248654299	0.34714285714285714	0.050276944104066
Risky first	0	2	ips	0.46815959264107965	0.44030513348291817	0.5039224697113375	1.7609374797538062	12.667230248654299	0.3985714285714286	0.052042194637387615
Risky first	0	2	vertex	0.4173052633923875	0.3861459093241324	0.4514653167765186	1.7609374797538062	12.667230248654299	0.44285714285714284	0.05377567662080205
Risky first	0	3	ips	0.5981656979188114	0.5709161908210217	0.629258160721512	2.0311476278823215	12.667230248654299	0.6428571428571429	0.03873758175333146
Risky first	0	3	vertex	0.5527150875209766	0.525061939225273	0.5851874528727509	2.0311476278823215	12.667230248654299	0.5047619047619047	0.05089567251865117
Risky first	0	4	ips	0.7185956838278276	0.6910163544843124	0.7450946302953522	2.3462060252672496	12.667230248654299	0.7047619047619048	0.06394504610133371
Risky first	0	4	vertex	0.6834312895855219	0.6544198269065074	0.710137211219255	2.3462060252672496	12.667230248654299	0.6928571428571428	0.05611232280383258
Risky first	0	5	ips	0.8322750852290443	0.8095223994896351	0.85525112813488	2.7351260504201678	12.667230248654299	0.75	0.060633906259083235
Risky first	0	5	vertex	0.8197434106147401	0.790827286776407	0.8440421041879329	2.7351260504201678	12.667230248654299	0.8676470588235294	0.04381955143509752
Risky first	0	6	ips	0.8840975692097564	0.8649976277803727	0.9024360822515074	3.15625	12.667230248654299	0.9666666666666667	0.03333333333333333
Risky first	0	6	vertex	0.8869393435761165	0.8649572958475833	0.9050117771797894	3.15625	12.667230248654299	0.9193548387096774	0.040803582711850056
Risky first	1	1	ips	0.25689042254332056	0.23112347195115043	0.2829554588037539	1.5674927113702626	23.082450358562475	0.20952380952380953	0.041753610769268514
Risky first	1	1	vertex	0.23846200424422762	0.21252965985311817	0.2638173468972045	1.5674927113702626	23.082450358562475	0.22142857142857142	0.05346784258545471
Risky first	1	2	ips	0.3505988087918094	0.32159468021564175	0.3782296611696356	1.7910058309037902	23.082450358562475	0.35714285714285715	0.05254621243987725
Risky first	1	2	vertex	0.331476726152314	0.3025683962624879	0.3567757699772837	1.7910058309037902	23.082450358562475	0.3333333333333333	0.05067241600875502
Risky first	1	3	ips	0.4868367809230908	0.4562490102579898	0.5141358790863652	2.0592585034013604	23.082450358562475	0.4642857142857143	0.06246247372822903
Risky first	1	3	vertex	0.46326949409633	0.4332334696552127	0.4923834104594233	2.0592585034013604	23.082450358562475	0.4761904761904762	0.0710541071376111
Risky first	1	4	ips	0.6113060414924507	0.5824621516341671	0.6409171205179183	2.3616890184645287	23.082450358562475	0.5333333333333333	0.06590956654172457
Risky first	1	4	vertex	0.5906602849037356	0.5629039265388062	0.6200236645465927	2.3616890184645287	23.082450358562475	0.5809523809523809	0.06350023290113246
Risky first	1	5	ips	0.7371510402014654	0.7113638435350829	0.7584592620622135	2.7272886297376093	23.082450358562475	0.7214285714285714	0.04440482761464338
Risky first	1	5	vertex	0.7165622350055384	0.689891133680467	0.7379059238631207	2.7272886297376093	23.082450358562475	0.75	0.04634140348476125
Risky first	1	6	ips	0.825983884428814	0.8015396816161271	0.8467625094578373	3.1824101068999027	23.082450358562475	0.7928571428571428	0.03900780234078027
Risky first	1	6	vertex	0.8241475957527242	0.7968323996214023	0.8443034262988646	3.1824101068999027	23.082450358562475	0.8142857142857143	0.0438949963923374
Risky first	2	1	ips	0.2134732873628044	0.18209235240501895	0.24381097510524488	1.579591836734694	42.217878391198916	0.19117647058823528	0.05591049108643445
Risky first	2	1	vertex	0.18786091973211697	0.15617321767087053	0.21618500791419087	1.579591836734694	42.217878391198916	0.17142857142857143	0.04996997898258322
Risky first	2	2	ips	0.29197802357125985	0.25744753788862046	0.3237240985089478	1.8020408163265305	42.217878391198916	0.2714285714285714	0.05554488359549828
Risky first	2	2	vertex	0.26306921384735626	0.23298466123349332	0.2934506838855404	1.8020408163265305	42.217878391198916	0.2642857142857143	0.06395808201081236
Risky first	2	3	ips	0.39595916745631543	0.3710941189351418	0.4235481082079286	2.0668658892128278	42.217878391198916	0.37857142857142856	0.05263181588371511
Risky first	2	3	vertex	0.3723765232557577	0.3444492264650365	0.39866914147380456	2.0668658892128278	42.217878391198916	0.3761904761904762	0.06057337963490913
Risky first	2	4	ips	0.5139946718255909	0.486176395694753	0.5390834735600085	2.380932944606414	42.217878391198916	0.4928571428571429	0.05658869951116518
Risky first	2	4	vertex	0.4835727142201333	0.4603298565253227	0.5082008488036133	2.380932944606414	42.217878391198916	0.5023809523809524	0.05862628662349314
Risky first	2	5	ips	0.6185994384548841	0.5871134894789832	0.6450535382923545	2.7504956268221576	42.217878391198916	0.6714285714285714	0.058172332554029295
Risky first	2	5	vertex	0.586947788813378	0.5580513626916717	0.6105656380373846	2.7504956268221576	42.217878391198916	0.5880952380952381	0.050780883666248236
Risky first	2	6	ips	0.7198843443433955	0.6906823396614461	0.7484306408471355	3.1945102040816327	42.217878391198916	0.7261904761904763	0.05525294401020985
Risky first	2	6	vertex	0.6876347966255552	0.6577571251591564	0.7145241621899894	3.1945102040816327	42.217878391198916	0.7476190476190476	0.05220239492604152
Risky second	0	1	ips	0.31729737987245415	0.28164644488176344	0.35132470293032486	1.5435539064110493	12.667230248654299	0.27666666666666667	0.046843402827100804
Risky second	0	1	vertex	0.26619916693245016	0.23881704328544384	0.29731156598024056	1.5435539064110493	12.667230248654299	0.25476190476190474	0.050434949591754284
Risky second	0	2	ips	0.42633567099253855	0.39007175565147295	0.4594560464822389	1.7600919987042438	12.667230248654299	0.4438095238095238	0.06294991456200726
Risky second	0	2	vertex	0.3764201507631735	0.34673894988207893	0.40932047449911774	1.7600919987042438	12.667230248654299	0.2916666666666667	0.05537728165950604
Risky second	0	3	ips	0.5604861381470622	0.5266427422552521	0.5940496200382777	2.0312147716229347	12.667230248654299	0.5714285714285714	0.05849246573208354
Risky second	0	3	vertex	0.5187130489320356	0.4909442923620956	0.5506031676937705	2.0312147716229347	12.667230248654299	0.4952380952380952	0.04620808812639462
Risky second	0	4	ips	0.6847523321293622	0.654349737877275	0.7159780490927968	2.3463867832847423	12.667230248654299	0.7309523809523809	0.04998665955152348
Risky second	0	4	vertex	0.6597349996490718	0.634289953298849	0.6867794886784501	2.3463867832847423	12.667230248654299	0.6785714285714286	0.061126872959764066
Risky second	0	5	ips	0.788779483030887	0.7565618320811495	0.8157125838237782	2.7358543417366943	12.667230248654299	0.7941176470588235	0.06014557154653471
Risky second	0	5	vertex	0.7812957337090876	0.7524662309757258	0.8084968012305335	2.7358543417366943	12.667230248654299	0.8039215686274509	0.05287842058535232
Risky second	0	6	ips	0.8553089286003516	0.8273755476797069	0.8789129196717297	3.15625	12.667230248654299	0.8870967741935484	0.0446592680802047
Risky second	0	6	vertex	0.8648016123838189	0.8351156512618878	0.8881641522885014	3.15625	12.667230248654299	0.8870967741935484	0.038168256665158815
Risky second	1	1	ips	0.3592079086429436	0.3287078244910424	0.39209245380292157	1.5677949465500485	23.082450358562475	0.369047619047619	0.0541556996315965
Risky second	1	1	vertex	0.3364593613175777	0.3086532299030878	0.36674161042439596	1.5677949465500485	23.082450358562475	0.3	0.057795641137146164
Risky second	1	2	ips	0.4718271114008185	0.44271033911783747	0.5004424005535032	1.791103012633625	23.082450358562475	0.5404761904761906	0.05565284265478471
Risky second	1	2	vertex	0.45044223621356166	0.42382808024450586	0.4806687034629625	1.791103012633625	23.082450358562475	0.4357142857142857	0.04951747966442686
Risky second	1	3	ips	0.5972585735717778	0.5701216607931325	0.6245126624281523	2.0589455782312927	23.082450358562475	0.6619047619047619	0.05602608531354739
Risky second	1	3	vertex	0.5771700946889224	0.5492052593815947	0.6092556832297498	2.0589455782312927	23.082450358562475	0.5285714285714286	0.0604355936877744
Risky second	1	4	ips	0.7073103827441841	0.6820907312487656	0.7333636224524939	2.361068999028183	23.082450358562475	0.7666666666666666	0.047313445145151595
Risky second	1	4	vertex	0.6924628227926442	0.664400666675301	0.7211726613454164	2.361068999028183	23.082450358562475	0.7285714285714285	0.051624277490445944
Risky second	1	5	ips	0.7831458855455257	0.7573516810516684	0.8084223920290791	2.7277162293488826	23.082450358562475	0.8	0.04324058162374396
Risky second	1	5	vertex	0.7701587528322652	0.7471905550952341	0.7901669543134494	2.7277162293488826	23.082450358562475	0.7523809523809524	0.043008602580860304
Risky second	1	6	ips	0.8526818857125629	0.8307995949405822	0.874310871508698	3.1825850340136057	23.082450358562475	0.8714285714285714	0.037477484236937406
Risky second	1	6	vertex	0.8532825732294165	0.8296027318919551	0.8723227864837914	3.1825850340136057	23.082450358562475	0.8785714285714286	0.031375049920326845
Risky second	2	1	ips	0.329885425251055	0.2939417002883205	0.36207632454238353	1.579591836734694	42.217878391198916	0.36764705882352944	0.0608496859668894
Risky second	2	1	vertex	0.2996459918579848	0.26924246211125225	0.3350362550020373	1.579591836734694	42.217878391198916	0.3088235294117647	0.06680480079491437
Risky second	2	2	ips	0.4201090510310072	0.38662690355777474	0.45155329907679487	1.8018775510204081	42.217878391198916	0.4666666666666666	0.06791547446153344
