order	stake	n_trials	n_sub	slope	slope_lo	slope_hi	rnp	rnp_lo	rnp_hi	intercept	intercept_lo	intercept_hi
Risky first	high	2125	73	1.95400754527095	1.6143390124582808	2.3424291866883387	2.748805399786435	2.4572891987481054	3.11115079314271	-1.9752367212439048	-2.3274797303392982	-1.6567405458213789
Risky first	low	2206	73	2.3745540444508486	2.0405370234165683	2.7124825667914445	1.967335012831528	1.804363860530496	2.1534793299290445	-1.6071574903476669	-1.863866789549655	-1.336748211898432
Risky second	high	2120	73	1.695731063646087	1.4462267098008206	1.9903672139962822	2.392389334419602	2.131041300797347	2.707675222140672	-1.4808827287381008	-1.7401786821086775	-1.236918615556612
Risky second	low	2211	73	2.7885433383516975	2.46821479713494	3.1136756033439217	2.0768865334699647	1.9206909556039582	2.2646088836937137	-2.0375466264325084	-2.277672665456243	-1.8024755950213764
