order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5675412137422753	0.5334045375726049	0.6057023455315141	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.565499607785698	0.5315481778038169	0.5980855602208985	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5241620392973776	0.49381518189412926	0.5563929575019801	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.5358201694074759	0.5009230395507486	0.5672699363637002	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.4893057226399331	0.4556709576972735	0.5230101579706843	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.50389462113394	0.47018733218965414	0.5341598917078794	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5321428799270904	0.49386811183803664	0.5709206376330437	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.5254316293981708	0.4896918595189272	0.57051067875316	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.5960407426128346	0.5600779605303047	0.629977287565744	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.5855431799194957	0.5526454583428267	0.6169337738285107	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.6473570842691143	0.6197145406807062	0.6734228916446962	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6404811080732133	0.601185311764259	0.676560587073745	42.217878391198916	0.5966871724766462	0.04575468210792034
