label	space	form	placement	channel	parameter	subject	sigma_ips	sigma_vertex
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	30	0.34152180213048666	0.34152180213048666
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	31	0.1994869966842022	0.1994869966842022
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	34	0.3023761178314576	0.3023761178314576
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	35	0.18420440317144476	0.18420440317144476
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	36	0.2258070937241879	0.2258070937241879
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	37	0.23587189777921355	0.23587189777921355
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	45	0.18331698724716777	0.18331698724716777
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	46	0.23443245739861626	0.23443245739861626
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	47	0.22826824126290873	0.22826824126290873
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	50	0.3037663686242493	0.3037663686242493
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	53	0.3391822799857316	0.3391822799857316
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	56	0.19966199901720705	0.19966199901720705
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	59	0.3955622992633067	0.3955622992633067
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	62	0.25706793524591676	0.25706793524591676
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	63	0.2540897924647515	0.2540897924647515
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	67	0.231329898523906	0.231329898523906
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	69	0.2856292342783115	0.2856292342783115
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	72	0.2281491066567454	0.2281491066567454
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	74	0.3038197651718387	0.3038197651718387
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	1	0.10329301343460469	0.12759856069725736
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	2	0.1108143446569248	0.06499255343317291
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	3	0.10241941145657191	0.10122128709140969
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	4	0.1052195250604625	0.07944826050370984
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	5	0.12545325655111336	0.11695367590060256
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	6	0.10068479069768721	0.09044238713973365
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	7	0.09829378922221396	0.05542295649054026
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	9	0.07867611415091115	0.041767330589739624
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	10	0.13071826312134768	0.1267651112296727
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	11	0.08628351378410759	0.07428235916118953
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	18	0.08769845001230149	0.042953134325673596
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	19	0.09686424821376019	0.08621656349638866
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	21	0.11229813437186502	0.07154237875105447
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	25	0.08790071677475932	0.04033915547094614
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	26	0.10695482273206897	0.05708342114854882
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	29	0.10694455916331	0.10027172399518969
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	30	0.11111773098276446	0.0746687954852256
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	31	0.11482947166629147	0.09583501834528825
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	34	0.10680416464742756	0.09865808079517718
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	35	0.09800144109735816	0.05124026586104032
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	36	0.11410637808682142	0.08423800910711844
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	37	0.11559655676568434	0.09750176875596508
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	45	0.11132668518718891	0.04619931094757402
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	46	0.101463097869267	0.07761178168322638
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	47	0.10819849164696621	0.14998560980662565
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	50	0.11225056996210049	0.043675194434487655
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	53	0.10799110723599346	0.07436269931383704
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	56	0.10428487686478424	0.0764945694362388
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	59	0.11887697321217786	0.055590288294873294
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	62	0.10553491788532979	0.04796173283116661
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	63	0.11162267666881893	0.08016140910764731
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	67	0.10959708500902886	0.11370147690691937
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	69	0.13144959336135523	0.1669836549679849
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	72	0.11155141845536944	0.05304049140195023
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd7	74	0.11527679572137998	0.12974717934745889
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	1	0.04320227198697138	0.034855318965998645
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	2	0.04286524226070408	0.02463979835609908
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	3	0.04775273858942695	0.02697303616621969
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	4	0.22577171027949	0.2148105518933932
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	5	0.09837334190651095	0.17089430524052138
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	6	0.137603974943436	0.2105378375830716
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	7	0.05711003149976321	0.03662366567597566
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	9	0.5039742330532595	1.7129364647939629
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	10	0.1281389342183428	0.12208752764543877
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	11	0.056463545317131	0.059164779101101246
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	18	0.041542618263512444	0.040023481971674345
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	19	0.079781855153417	0.05546515952654313
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	21	0.050539369671394475	0.03444074399772895
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	25	0.031036304456894117	0.015527833495683629
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	26	0.08443417685257865	0.035704062588305434
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	29	0.04209435000151155	0.0599512884288239
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	30	0.06092616476190267	0.10618108227379593
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	31	0.07167430470593665	0.0665098058325695
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	34	0.10572086434495263	0.05736706758185368
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	35	0.06385351507261453	0.021590972769067865
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	36	0.07984196183508535	0.10367843205941658
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	37	0.09263987472826396	0.08164654985409052
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	45	0.1849602142610359	0.038717596026794684
log-affine-mem.klw	log	affine	mem	mem	log_mem_affine_sd112	46	0.049858106664964257	0.04432072498837044
