order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5596164171250638	0.52120778056039	0.5925786166141097	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.5627562803111675	0.5328736288773883	0.5946810749818269	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5265187427443067	0.49341932482721956	0.5618782969328082	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.536451176547174	0.5064324166668263	0.5682644273020213	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.5013014316093263	0.4626225032277663	0.5365987506645401	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.5142013797863644	0.47280790992633104	0.5590908834028029	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5411130624179497	0.503343239050006	0.5771018563725331	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.5301194626175829	0.49229564441406554	0.5675322966507177	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.5959842828040307	0.5641592445590676	0.6294293197342733	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.5790696931723247	0.544072757651705	0.6122016024910762	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.6415981316928685	0.599447325022513	0.671621949896386	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6270499886078834	0.59140003417635	0.6619004898610162	42.217878391198916	0.5966871724766462	0.04575468210792034
