order	n_safe	channel	delta	lo	hi
Risky first	7.0	bias_only	0.014257957529446886	-0.025139376922565827	0.04821890945197854
Risky first	10.0	bias_only	0.007496333668293704	-0.028837219890919138	0.039221702707419995
Risky first	14.0	bias_only	-0.009353607472159008	-0.05051268098953734	0.031439466555391905
Risky first	20.0	bias_only	-0.0005683496819482233	-0.034951113543051734	0.029934897770970595
Risky first	28.0	bias_only	0.03573959649965751	-0.003097558556665885	0.07063809511495792
Risky second	7.0	bias_only	0.04930376226223653	0.000846820921991989	0.08943706007224383
Risky second	10.0	bias_only	0.06516823581495815	0.018635861861802182	0.10159732029998618
Risky second	14.0	bias_only	0.049423684074186805	0.013312412512600059	0.08697245563479739
Risky second	20.0	bias_only	0.04249527595459841	0.00979080195514385	0.07968483939822661
Risky second	28.0	bias_only	0.039896913406129005	-0.004406053515876546	0.08135541669074339
Risky first	7.0	bias_risky_percept_only	-0.03816603234788768	-0.06155149221744715	-0.018957647683026446
Risky first	10.0	bias_risky_percept_only	-0.0830816687477187	-0.12406680956073494	-0.04949371341112046
Risky first	14.0	bias_risky_percept_only	-0.11868503772695306	-0.18481903049961626	-0.06525850551509625
Risky first	20.0	bias_risky_percept_only	-0.13643319659029465	-0.2222911029085468	-0.06434244466986407
Risky first	28.0	bias_risky_percept_only	-0.13641938156169706	-0.2347688304128213	-0.03155797666944362
Risky second	7.0	bias_risky_percept_only	-0.03238412030689411	-0.05433273959041974	-0.013154540232895343
Risky second	10.0	bias_risky_percept_only	-0.07340662850934034	-0.12093606853800307	-0.02903473571954946
Risky second	14.0	bias_risky_percept_only	-0.11520194679679495	-0.18431598534528149	-0.044369938052901375
Risky second	20.0	bias_risky_percept_only	-0.16559545168984297	-0.25161452280775803	-0.08044082511567757
Risky second	28.0	bias_risky_percept_only	-0.19838364814754672	-0.30343528279728077	-0.10397509613278659
Risky first	7.0	bias_safe_percept_only	0.04567782157940255	0.007381883246431643	0.08353405165904763
Risky first	10.0	bias_safe_percept_only	0.08296887392896171	0.03645707322252498	0.1273091886229775
Risky first	14.0	bias_safe_percept_only	0.10914545214233788	0.050405349957739334	0.17881593900205428
Risky first	20.0	bias_safe_percept_only	0.14625898138660282	0.06199348166836557	0.2415885339509542
Risky first	28.0	bias_safe_percept_only	0.18378672399043225	0.06570247664556611	0.2874143214101228
Risky second	7.0	bias_safe_percept_only	0.07520054803268675	0.021511809967033477	0.11797735584726649
Risky second	10.0	bias_safe_percept_only	0.12538511300981228	0.07740626763795612	0.16987458380396217
Risky second	14.0	bias_safe_percept_only	0.1431595427338186	0.0858180172693488	0.19225855778125212
Risky second	20.0	bias_safe_percept_only	0.18232913481852095	0.11223905710927445	0.24781288001851512
Risky second	28.0	bias_safe_percept_only	0.21193002329123856	0.12194324996617686	0.3054242436895873
Risky first	7.0	full	0.014878498016658121	-0.026608180153123544	0.05013728373336617
Risky first	10.0	full	0.009116438503063644	-0.027770016451525714	0.04240772462672544
Risky first	14.0	full	-0.00869151001560192	-0.04986894506554332	0.03239611901023092
Risky first	20.0	full	-0.0009841256489515988	-0.034823146729567885	0.029931793886870364
Risky first	28.0	full	0.035336217725805606	-0.00379032750933392	0.07082955325564595
Risky second	7.0	full	0.04807794811808068	7.466884675829897e-05	0.0889290294572785
Risky second	10.0	full	0.06770444750845214	0.01943111661318263	0.1039229170785269
Risky second	14.0	full	0.05396449454978085	0.016551754390180737	0.0918985508815156
Risky second	20.0	full	0.04643277936494893	0.01209609054026663	0.08519782952997645
Risky second	28.0	full	0.041898258916633485	-0.0031343241810434866	0.08293986403186536
Risky first	7.0	noise_only	0.0007711199611193389	-0.0015984781736650452	0.0035329396458144355
Risky first	10.0	noise_only	0.0007971590800717181	-0.0009028355699384579	0.0023947592528549854
Risky first	14.0	noise_only	-0.00047544280192626104	-0.0022768879659679545	0.0009707563699737246
Risky first	20.0	noise_only	-0.0016963581051202498	-0.003419191994975244	-0.00028114064172651934
Risky first	28.0	noise_only	-0.0016236190797609385	-0.0030454905102033658	-0.0003633726677905529
Risky second	7.0	noise_only	4.220294580575138e-05	-0.002061211088785978	0.0019380040344916774
Risky second	10.0	noise_only	0.0011519486463622461	-3.132403920844591e-05	0.002530137932127784
Risky second	14.0	noise_only	0.001963871783597945	0.00012370970534971313	0.003850078634447378
Risky second	20.0	noise_only	0.0014656900310670749	-0.000311451597396117	0.0033123883865631932
Risky second	28.0	noise_only	0.0008992717693597121	-0.0005381478040779421	0.002420140589475425
