neural	behav	n	r	ci_lo	ci_hi	loo_min	loo_max	rho	boot_frac_same_sign
d_amp_median	d_consistency_rsecond	35	0.5333267111196176	0.36980600617023235	0.6718508166654595	0.5027482535010621	0.5560624545933265	0.592436974789916	1.0
d_r_En1	d_indifference_rsecond	35	0.42660807668461104	0.04685904345449653	0.6989482765924087	0.298490610545485	0.5160786286245852	0.3224089635854342	0.9851
