label	which	kind	condition	lo	mid	hi	varies	p_gt0
log-affine-mem.klw	risky	mu	ips	14.449565613498532	19.125058324707446	24.816231414790852	0	
log-affine-mem.klw	risky	mu	vertex	14.449565613498532	19.125058324707446	24.816231414790852	0	
log-affine-mem.klw	risky	sd	ips	0.5023778522873734	0.5808900436847473	0.6826391518409796	0	
log-affine-mem.klw	risky	sd	vertex	0.5023778522873734	0.5808900436847473	0.6826391518409796	0	
log-affine-mem.klw	safe	mu	ips	6.092240133068907	11.857304666307199	22.376761076748558	0	
log-affine-mem.klw	safe	mu	vertex	6.092240133068907	11.857304666307199	22.376761076748558	0	
log-affine-mem.klw	safe	sd	ips	0.6201190583420441	0.8077932849697922	1.088811828415316	0	
log-affine-mem.klw	safe	sd	vertex	0.6201190583420441	0.8077932849697922	1.088811828415316	0	
log-affine-n1.klw	risky	mu	ips	15.580764096162133	20.585757081561404	27.19475879107939	0	
log-affine-n1.klw	risky	mu	vertex	15.580764096162133	20.585757081561404	27.19475879107939	0	
log-affine-n1.klw	risky	sd	ips	0.49269290249146214	0.576630054381094	0.6824872229922877	0	
log-affine-n1.klw	risky	sd	vertex	0.49269290249146214	0.576630054381094	0.6824872229922877	0	
log-affine-n1.klw	safe	mu	ips	6.595005360307195	12.883708914961169	26.26095619161066	0	
log-affine-n1.klw	safe	mu	vertex	6.595005360307195	12.883708914961169	26.26095619161066	0	
log-affine-n1.klw	safe	sd	ips	0.6038254863415893	0.7861110877165409	1.0673095874056642	0	
log-affine-n1.klw	safe	sd	vertex	0.6038254863415893	0.7861110877165409	1.0673095874056642	0	
log-affine-n1n2.klw	risky	mu	ips	15.222346175175467	20.135816881525187	27.134762284405685	0	
log-affine-n1n2.klw	risky	mu	vertex	15.222346175175467	20.135816881525187	27.134762284405685	0	
log-affine-n1n2.klw	risky	sd	ips	0.4513852603573565	0.5296712475392547	0.6261941590481849	0	
log-affine-n1n2.klw	risky	sd	vertex	0.4513852603573565	0.5296712475392547	0.6261941590481849	0	
log-affine-n1n2.klw	safe	mu	ips	6.64566052058367	11.416302208966083	19.541081678852745	0	
log-affine-n1n2.klw	safe	mu	vertex	6.64566052058367	11.416302208966083	19.541081678852745	0	
log-affine-n1n2.klw	safe	sd	ips	0.5588032047519851	0.7298612493788709	1.0063929673591983	0	
log-affine-n1n2.klw	safe	sd	vertex	0.5588032047519851	0.7298612493788709	1.0063929673591983	0	
log-affine-n1n2.pathfinder.klw	risky	mu	ips	15.161044445915644	20.31003042610659	27.815742657311848	0	
log-affine-n1n2.pathfinder.klw	risky	mu	vertex	15.161044445915644	20.31003042610659	27.815742657311848	0	
log-affine-n1n2.pathfinder.klw	risky	sd	ips	0.45014245735422814	0.5286000678184146	0.6291561133668601	0	
log-affine-n1n2.pathfinder.klw	risky	sd	vertex	0.45014245735422814	0.5286000678184146	0.6291561133668601	0	
log-affine-n1n2.pathfinder.klw	safe	mu	ips	6.825714920580323	11.606254173191152	19.99012060571545	0	
log-affine-n1n2.pathfinder.klw	safe	mu	vertex	6.825714920580323	11.606254173191152	19.99012060571545	0	
