term	stimulation	payoff	nu	lo	hi	p_pos
memory_noise_sd	ips	7.0	0.038429428673093374	0.0038650063473510804	0.14115948867580805	
memory_noise_sd	ips	7.882352941176471	0.04512405663616231	0.00767904025824318	0.13581397559570102	
memory_noise_sd	ips	8.764705882352942	0.05336790411636157	0.013603662374618998	0.13571404894555247	
memory_noise_sd	ips	9.647058823529411	0.06287087117401903	0.02103591945522119	0.13858950158541816	
memory_noise_sd	ips	10.529411764705882	0.07317188234386321	0.029128185842115715	0.14582757404349664	
memory_noise_sd	ips	11.411764705882353	0.08367398269242529	0.036547677248904765	0.15745121247391475	
memory_noise_sd	ips	12.294117647058822	0.09372779514189576	0.042694790874234695	0.16976713611687594	
memory_noise_sd	ips	13.176470588235293	0.10273688251549874	0.047616648857199614	0.18376779775148996	
memory_noise_sd	ips	14.058823529411764	0.11025061462571366	0.05130374005339009	0.19569746747633668	
memory_noise_sd	ips	14.941176470588236	0.11601919078732685	0.05396854265160742	0.20463275772647777	
memory_noise_sd	ips	15.823529411764707	0.12000342339761494	0.056702168645426314	0.20978642503146053	
memory_noise_sd	ips	16.705882352941174	0.12234749811700808	0.058943630687125985	0.21141708871470338	
memory_noise_sd	ips	17.588235294117645	0.1233304561668685	0.06098790400726159	0.20935476373619605	
memory_noise_sd	ips	18.470588235294116	0.12331228789603851	0.06265632805690716	0.2055009657602175	
memory_noise_sd	ips	19.352941176470587	0.12268663784160543	0.06410779666856595	0.20090530875341106	
memory_noise_sd	ips	20.235294117647058	0.12184597415273411	0.0653000388484814	0.19590959455809895	
memory_noise_sd	ips	21.11764705882353	0.1210441755706376	0.06646660887834865	0.19181864163614423	
memory_noise_sd	ips	22.0	0.12029920044351211	0.06744336738648835	0.18838414610368165	
memory_noise_sd	ips	22.88235294117647	0.11960448705325073	0.06854703630847721	0.18522957018974287	
memory_noise_sd	ips	23.764705882352942	0.11895410109895793	0.06924701743774589	0.1822105507867823	
memory_noise_sd	ips	24.647058823529413	0.11834268955994508	0.06974992319618586	0.17953466492082712	
memory_noise_sd	ips	25.52941176470588	0.11776543790249297	0.07015414728268063	0.17750478101490183	
memory_noise_sd	ips	26.41176470588235	0.11721803031523775	0.07051397365153252	0.17570152264928499	
