term	payoff	delta	lo	hi	p_increase
memory_noise_sd	7	0.08385845118017148	0.012284297485544713	0.16469741357390622	0.9888
memory_noise_sd	10	0.048643649483626816	0.009889638029539283	0.09439263608163256	0.99345
memory_noise_sd	14	0.023533211705234567	-0.010015486074207514	0.06007206501398957	0.9169
memory_noise_sd	20	0.019630311163344086	-0.008524023767509414	0.050113740211360044	0.91755
memory_noise_sd	28	0.02056571774509983	-0.0074535337288794325	0.049961905992874756	0.928
memory_noise_sd	56	-0.013161165039785828	-0.06839767190154791	0.03924989009650634	0.3107
memory_noise_sd	112	-0.0878188837991195	-0.34836605436619666	0.12757484026322916	0.22575
perceptual_noise_sd	7	0.0	0.0	0.0	0.0
perceptual_noise_sd	10	0.0	0.0	0.0	0.0
perceptual_noise_sd	14	0.0	0.0	0.0	0.0
perceptual_noise_sd	20	0.0	0.0	0.0	0.0
perceptual_noise_sd	28	0.0	0.0	0.0	0.0
perceptual_noise_sd	56	0.0	0.0	0.0	0.0
perceptual_noise_sd	112	0.0	0.0	0.0	0.0
