term	payoff	delta	lo	hi	p_increase
memory_noise_sd	7	0.0	0.0	0.0	0.0
memory_noise_sd	10	0.0	0.0	0.0	0.0
memory_noise_sd	14	0.0	0.0	0.0	0.0
memory_noise_sd	20	0.0	0.0	0.0	0.0
memory_noise_sd	28	0.0	0.0	0.0	0.0
memory_noise_sd	56	0.0	0.0	0.0	0.0
memory_noise_sd	112	0.0	0.0	0.0	0.0
perceptual_noise_sd	7	-0.10684190635974519	-0.7562515648534579	0.5194784596309694	0.37525
perceptual_noise_sd	10	0.24796945544465074	-0.21839195514546988	0.7113350238868944	0.8536
perceptual_noise_sd	14	0.49013639724655916	-0.09162476778485093	1.0795516473129105	0.94875
perceptual_noise_sd	20	0.5024489127016296	-0.029897772426351988	1.0386469119540185	0.9671
perceptual_noise_sd	28	0.254855403629365	-0.27349301701837425	0.7776265096611088	0.8316
perceptual_noise_sd	56	-1.7836633228142862	-2.6015168806797546	-0.9699443902765044	0.0
perceptual_noise_sd	112	-4.986491809325724	-6.757300896905233	-3.201657808480159	0.0
