bin	observed_ips	observed_vertex	frac	probit_vertex	probit_vertex_lo	probit_vertex_hi	probit_ips	probit_ips_lo	probit_ips_hi	order	stake
20%	0.3036394557823129	0.3352535559678417	1.5561637953882852	0.3181558693871384	0.28599800855870544	0.35221457869549677	0.3277676571364495	0.2923818351783979	0.362502609250172	Risky first	Low stake
32%	0.424671201814059	0.39197278911564626	1.7830069236170203	0.4275045384113275	0.3975593688367201	0.45933755658499453	0.4377314131354582	0.4065046399269785	0.47104720362686475	Risky first	Low stake
44%	0.5777210884353742	0.5308503401360545	2.0695427713472827	0.5594068432113322	0.5309677140110853	0.5876628927664703	0.5708523048072434	0.5412045178506015	0.602645051517885	Risky first	Low stake
56%	0.780952380952381	0.6809523809523809	2.3819630709426627	0.675192741868097	0.6466005402606939	0.7051653117090305	0.6878099912721624	0.6573730534757267	0.7209669834483838	Risky first	Low stake
68%	0.7426470588235294	0.8063725490196079	2.7067383771690494	0.7665826119574456	0.7323582149103534	0.7973031105132103	0.774194802178824	0.7425699552051901	0.8067468177067424	Risky first	Low stake
80%	0.8761904761904762	0.8714285714285714	3.17	0.8464206824831674	0.8135412353450023	0.8762377543664848	0.8494161552109424	0.8199801869140805	0.8785034979534682	Risky first	Low stake
20%	0.1880952380952381	0.2	1.5791933916423713	0.2284262365017829	0.19531056841895536	0.26268752874527096	0.2030680019117436	0.16942397891199296	0.23937179485880986	Risky first	High stake
32%	0.2857142857142857	0.2976190476190476	1.8005539358600582	0.306134144813198	0.27345973346992375	0.34068458016636216	0.2888135356685355	0.2549134309777919	0.3239380675298099	Risky first	High stake
44%	0.39785714285714285	0.3851473922902494	2.0781050585647796	0.4113305256315467	0.38281531566039595	0.44146380143622627	0.40634190192132036	0.37555856924756326	0.4367209553512664	Risky first	High stake
56%	0.49166666666666664	0.526470588235294	2.396502419149478	0.5112539035484361	0.48323699255445557	0.5390199440171854	0.5156146277565031	0.48786267530225474	0.5439388981308427	Risky first	High stake
68%	0.6827731092436975	0.6424019607843137	2.7373402088107968	0.6252248502808364	0.5956316908408138	0.6570739353367369	0.6410246287717482	0.6117386093533502	0.6746008434679325	Risky first	High stake
80%	0.7364285714285714	0.7558163265306123	3.192060915275201	0.7248827864714126	0.6895754771208302	0.7643250713762585	0.7438541415942069	0.7125814537744624	0.7805396391399663	Risky first	High stake
20%	0.31755102040816324	0.2753968253968254	1.5569210526315789	0.2607704894584262	0.2281251427395823	0.288775381977845	0.3592871837097259	0.31805159871740823	0.3994820711439336	Risky second	Low stake
32%	0.4646938775510204	0.3085714285714286	1.7817353123067408	0.3727823946921505	0.3430072320919842	0.4014733367220212	0.47171547607054537	0.43657721651111514	0.5052577231430084	Risky second	Low stake
44%	0.6423314780457637	0.5510204081632653	2.0677052471338184	0.5222391170410333	0.49537577265565425	0.5518998532982143	0.6006959635436657	0.56869928161026	0.6319716500735898	Risky second	Low stake
56%	0.7019047619047619	0.6690476190476191	2.3800136054421768	0.6581732652025858	0.6296882181234247	0.688351039135199	0.7058790368397934	0.6719536385427786	0.7376862615656804	Risky second	Low stake
68%	0.7929292929292929	0.7769607843137255	2.703671468587435	0.7582187479537754	0.727146730953958	0.7901172701990156	0.7829332121088277	0.7509491748982139	0.8153125053687372	Risky second	Low stake
80%	0.8642857142857143	0.8857142857142857	3.17	0.853187343106426	0.8233945226786036	0.8810079648594443	0.8523862468065224	0.817791455598418	0.8826872645333954	Risky second	Low stake
20%	0.35	0.2833333333333333	1.5791496598639456	0.3470997916124074	0.30092641023368044	0.3939877192816233	0.38462670642465757	0.33789679586317095	0.430110202091362	Risky second	High stake
32%	0.5261904761904762	0.42142857142857143	1.800466472303207	0.4344805788129531	0.3946009927182508	0.473105298182492	0.4776692882127483	0.4405173674039638	0.5152506519614438	Risky second	High stake
44%	0.5404761904761906	0.5414285714285714	2.0784852010979833	0.537648257431517	0.5078050812811231	0.568777269179782	0.5820569191038907	0.5507688520608528	0.6102482076696386	Risky second	High stake
56%	0.6627450980392157	0.667156862745098	2.396878660555131	0.6257379615179448	0.5974837427978085	0.6550373972470265	0.6679961366480963	0.6405749387801977	0.6946975180301814	Risky second	High stake
68%	0.7661064425770308	0.7220588235294118	2.7393837535014005	0.7163238706498245	0.6878867741059053	0.7444223460666914	0.7566830966484726	0.7260464311711554	0.7856197543990268	Risky second	High stake
80%	0.8273809523809523	0.789795918367347	3.192079468150897	0.7851961099037805	0.7560263264501192	0.8139430667478349	0.8179169213620505	0.7854449984915157	0.8480168597960205	Risky second	High stake
