order	stake_bin	sbin	stim	mean	lo	hi	frac	stake	observed	observed_sem
Risky first	0	1	ips	0.3425339240592866	0.30695920127288256	0.3698878489474042	1.543049371263657	12.667230248654299	0.3314285714285714	0.053595170587072825
Risky first	0	1	vertex	0.31547894393043646	0.28146390751083883	0.35009554036874335	1.543049371263657	12.667230248654299	0.34714285714285714	0.050276944104066
Risky first	0	2	ips	0.4529843796769571	0.41720616651017844	0.4835038662883617	1.7609374797538062	12.667230248654299	0.3985714285714286	0.052042194637387615
Risky first	0	2	vertex	0.4343185261807001	0.39931011313258596	0.4689307355593056	1.7609374797538062	12.667230248654299	0.44285714285714284	0.05377567662080205
Risky first	0	3	ips	0.5791856918242239	0.5456668428154506	0.610584743549523	2.0311476278823215	12.667230248654299	0.6428571428571429	0.03873758175333146
Risky first	0	3	vertex	0.5699483935987569	0.5351903996196237	0.6051513564353664	2.0311476278823215	12.667230248654299	0.5047619047619047	0.05089567251865117
Risky first	0	4	ips	0.6996507851823148	0.668325813569721	0.7264455634506557	2.3462060252672496	12.667230248654299	0.7047619047619048	0.06394504610133371
Risky first	0	4	vertex	0.6993328361282891	0.6683761129810178	0.7305306673194467	2.3462060252672496	12.667230248654299	0.6928571428571428	0.05611232280383258
Risky first	0	5	ips	0.8172996685988625	0.784538555439096	0.8435288520251638	2.7351260504201678	12.667230248654299	0.75	0.060633906259083235
Risky first	0	5	vertex	0.8289999005482319	0.8005351416998169	0.8568552842256053	2.7351260504201678	12.667230248654299	0.8676470588235294	0.04381955143509752
Risky first	0	6	ips	0.8732165088005073	0.8452831393289018	0.8986836555432688	3.15625	12.667230248654299	0.9666666666666667	0.03333333333333333
Risky first	0	6	vertex	0.8929225814553405	0.8707914338550173	0.9149943015783107	3.15625	12.667230248654299	0.9193548387096774	0.040803582711850056
Risky first	1	1	ips	0.24416809313093346	0.21744121472450237	0.27740904513415776	1.5674927113702626	23.082450358562475	0.20952380952380953	0.041753610769268514
Risky first	1	1	vertex	0.2525778520487424	0.2274344029039721	0.28041667943307974	1.5674927113702626	23.082450358562475	0.22142857142857142	0.05346784258545471
Risky first	1	2	ips	0.33531503262927453	0.3061693540256605	0.3711578483778083	1.7910058309037902	23.082450358562475	0.35714285714285715	0.05254621243987725
Risky first	1	2	vertex	0.3478737225043605	0.32013320593624	0.37544681950541386	1.7910058309037902	23.082450358562475	0.3333333333333333	0.05067241600875502
Risky first	1	3	ips	0.4685270978484129	0.43899842420516183	0.509537074765278	2.0592585034013604	23.082450358562475	0.4642857142857143	0.06246247372822903
Risky first	1	3	vertex	0.480115936185136	0.4487819555838534	0.5065194578439014	2.0592585034013604	23.082450358562475	0.4761904761904762	0.0710541071376111
Risky first	1	4	ips	0.5930286184366116	0.5655343128232487	0.6293024521237597	2.3616890184645287	23.082450358562475	0.5333333333333333	0.06590956654172457
Risky first	1	4	vertex	0.6086303330009298	0.5785995207496899	0.6377607351811425	2.3616890184645287	23.082450358562475	0.5809523809523809	0.06350023290113246
Risky first	1	5	ips	0.721903466852709	0.6981491721321459	0.7487864295242423	2.7272886297376093	23.082450358562475	0.7214285714285714	0.04440482761464338
Risky first	1	5	vertex	0.7333987760679519	0.7077453644200997	0.7619226525354501	2.7272886297376093	23.082450358562475	0.75	0.04634140348476125
Risky first	1	6	ips	0.815463866455719	0.7938397991795905	0.8403289248745894	3.1824101068999027	23.082450358562475	0.7928571428571428	0.03900780234078027
Risky first	1	6	vertex	0.8377909484982444	0.8137835517226653	0.8622926726273539	3.1824101068999027	23.082450358562475	0.8142857142857143	0.0438949963923374
