model	safe_cov	stake_cov	slope_cov	pooled	pooled_frac	delta_covered	level_covered	sign_match	n_clear	rmse	median_width	mean_second	obs_second
null	8/10	4/6	--	12/16	0.75	8/10	16/20	4	8	0.04536941592846219	0.11426677489177481	0.00045709956709956	0.052891774891774844
perc	8/10	4/6	6/6	18/22	0.8181818181818182	8/10	18/20	4	8	0.0430780811659604	0.11794913419913405	0.00622742424242424	0.052891774891774844
percmem	9/10	4/6	6/6	19/22	0.8636363636363636	9/10	18/20	6	8	0.040317642090106284	0.12135173160173146	0.01107441558441554	0.052891774891774844
percpmu	9/10	6/6	6/6	21/22	0.9545454545454546	9/10	18/20	7	8	0.033697339564166935	0.1256358225108224	0.02490259740259734	0.052891774891774844
n1n2	8/10	5/6	6/6	19/22	0.8636363636363636	8/10	16/20	6	8	0.03792475631158675	0.12057142857142839	0.014132186147186098	0.052891774891774844
