model	var	subject	mean	lo	hi	p_gt0
flexible1_noisefix_prior	risky_prior_mu	1	0.27500486065617047	-0.8481861957205797	1.386397753247119	0.69415
flexible1_noisefix_prior	risky_prior_mu	2	0.2564264451409521	-0.8827512853637575	1.3632293123214754	0.67825
flexible1_noisefix_prior	risky_prior_mu	3	0.28137305810220126	-0.8462639275537411	1.3856682111627447	0.69615
flexible1_noisefix_prior	risky_prior_mu	4	0.17925936558036482	-0.9946308008652969	1.2659209614631057	0.63465
flexible1_noisefix_prior	risky_prior_mu	5	0.24016546193080057	-0.8881016938335916	1.3321392450924667	0.67055
flexible1_noisefix_prior	risky_prior_mu	6	0.31203176633644997	-0.8003824567372101	1.434424862395858	0.714
flexible1_noisefix_prior	risky_prior_mu	7	0.22926526543458103	-0.9181083416074262	1.3302183996486872	0.66445
flexible1_noisefix_prior	risky_prior_mu	9	0.4809463819682248	-0.6483803982087973	1.759340260041131	0.7861
flexible1_noisefix_prior	risky_prior_mu	10	0.2805676053343633	-0.8509256029348711	1.395856031702376	0.69665
flexible1_noisefix_prior	risky_prior_mu	11	0.14716689670772462	-1.0824703193091874	1.2604911357175197	0.6108
flexible1_noisefix_prior	risky_prior_mu	18	0.2057703489401571	-1.0016125560139622	1.3255069468401468	0.64975
flexible1_noisefix_prior	risky_prior_mu	19	0.20992575901171034	-0.9285189746227325	1.3023442370708747	0.6546
flexible1_noisefix_prior	risky_prior_mu	21	0.299357230325835	-0.8214881290134968	1.4144310574543957	0.7091
flexible1_noisefix_prior	risky_prior_mu	25	0.15732463735729452	-1.0907430653119135	1.2855126975375457	0.61745
flexible1_noisefix_prior	risky_prior_mu	26	0.294605073741443	-0.8582681891243	1.453203099765812	0.6981
flexible1_noisefix_prior	risky_prior_mu	29	0.5362925613917864	-0.6229087175433882	1.8654301832369653	0.80915
flexible1_noisefix_prior	risky_prior_mu	30	0.474765364452242	-0.6636151506148069	1.7508753714442813	0.7812
flexible1_noisefix_prior	risky_prior_mu	31	0.34837103639287004	-0.7663332072449468	1.4984611004194823	0.72905
flexible1_noisefix_prior	risky_prior_mu	34	0.23492650457738032	-0.9052111790915627	1.3449288802552175	0.66575
flexible1_noisefix_prior	risky_prior_mu	35	0.12199795991888988	-1.2115902350190055	1.2680337051311827	0.6012
flexible1_noisefix_prior	risky_prior_mu	36	0.22583270197413113	-0.9234360580169331	1.3372920113035265	0.6632
flexible1_noisefix_prior	risky_prior_mu	37	0.17394972617148288	-1.0181411075518214	1.2939194568584715	0.62835
flexible1_noisefix_prior	risky_prior_mu	45	-0.009938476670150248	-1.462568921460383	1.171966816344428	0.5233
flexible1_noisefix_prior	risky_prior_mu	46	0.29794015392990386	-0.8299747357284805	1.4125268493738763	0.706
flexible1_noisefix_prior	risky_prior_mu	47	0.2753208343293351	-0.8791866955812015	1.412918697828621	0.68845
flexible1_noisefix_prior	risky_prior_mu	50	-0.03905180641682937	-1.4528424762166283	1.1305683872515158	0.50105
flexible1_noisefix_prior	risky_prior_mu	53	0.29092600447891154	-0.8206763981012496	1.38803824841303	0.7004
flexible1_noisefix_prior	risky_prior_mu	56	0.17745524963680787	-1.0530485347799048	1.2993981914029942	0.632
flexible1_noisefix_prior	risky_prior_mu	59	0.22031506347213062	-0.9504628819291957	1.3275676916812802	0.6581
flexible1_noisefix_prior	risky_prior_mu	62	0.3459048230796884	-0.7856681072531427	1.5033550167825023	0.726
flexible1_noisefix_prior	risky_prior_mu	63	0.24757015138736443	-0.8997216517541323	1.3467938003879594	0.6758
flexible1_noisefix_prior	risky_prior_mu	67	0.5587996084040157	-0.6105083470601506	1.9152586604282136	0.81395
flexible1_noisefix_prior	risky_prior_mu	69	0.2928284351989978	-0.8360517840316815	1.3875649740907652	0.7072
flexible1_noisefix_prior	risky_prior_mu	72	0.3160839106265056	-0.838482211345799	1.4895730458081062	0.7067
flexible1_noisefix_prior	risky_prior_mu	74	0.33394165907229734	-0.7889198503204293	1.4370726214820986	0.7281
flexible1_noisefix_prior	risky_prior_mu	-1	0.26419777833176994	-0.7340787200825665	1.2409818774384402	0.7041
flexible1_noisefix_prior	safe_prior_mu	1	-0.0918422694011554	-0.8604527334297234	0.6434934499144478	0.40855
flexible1_noisefix_prior	safe_prior_mu	2	0.08040441356738436	-0.7084862523070755	0.8565785906938054	0.58255
flexible1_noisefix_prior	safe_prior_mu	3	0.055010618143255384	-0.6797340687840586	0.7745755459330863	0.5652
flexible1_noisefix_prior	safe_prior_mu	4	0.29355360059372726	-0.4830781006727665	1.0573097868739456	0.77475
flexible1_noisefix_prior	safe_prior_mu	5	-0.03288771098936651	-0.8244966290565365	0.7344476099446706	0.4741
flexible1_noisefix_prior	safe_prior_mu	6	-0.0950849361869283	-0.948089566853464	0.6984489757715573	0.41615
flexible1_noisefix_prior	safe_prior_mu	7	0.17639116057222534	-0.5787068775959485	0.9327469705219144	0.6819
flexible1_noisefix_prior	safe_prior_mu	9	-0.8966237144175899	-2.0524026396070076	0.15419349820568343	0.0494
flexible1_noisefix_prior	safe_prior_mu	10	0.2197051741101497	-0.5520598927900727	1.001950668531276	0.71195
flexible1_noisefix_prior	safe_prior_mu	11	0.27872278392200545	-0.4637476192919515	1.0148600511228227	0.77645
flexible1_noisefix_prior	safe_prior_mu	18	0.19258444078028375	-0.5059178448192074	0.8983968816172064	0.7096
flexible1_noisefix_prior	safe_prior_mu	19	0.3257421848541766	-0.5521353812790143	1.2301299087342359	0.7673
flexible1_noisefix_prior	safe_prior_mu	21	-0.04946118218711118	-0.8667605643716467	0.7484109618411086	0.4525
flexible1_noisefix_prior	safe_prior_mu	25	0.09727020111292782	-0.6298716580234041	0.7897454568520055	0.614
flexible1_noisefix_prior	safe_prior_mu	26	-0.16303813731484348	-0.8785077413362445	0.5157524698818768	0.32385
flexible1_noisefix_prior	safe_prior_mu	29	-0.7814509104701501	-1.792145436836896	0.17607293639235105	0.05685
flexible1_noisefix_prior	safe_prior_mu	30	-0.7021917915422676	-1.6081379555659785	0.16987881962249046	0.05695
flexible1_noisefix_prior	safe_prior_mu	31	-0.14163896141058463	-0.899641279809649	0.5856731309888704	0.35825
flexible1_noisefix_prior	safe_prior_mu	34	0.08591813768576934	-0.7510578235636243	0.9019528532286382	0.58575
flexible1_noisefix_prior	safe_prior_mu	35	0.442805422144228	-0.248522420801985	1.070558060910599	0.9094
flexible1_noisefix_prior	safe_prior_mu	36	0.0844689751745786	-0.6513548217036377	0.8084528098281764	0.595
flexible1_noisefix_prior	safe_prior_mu	37	0.208896816454484	-0.5497418740809245	0.9647207562672826	0.7101
flexible1_noisefix_prior	safe_prior_mu	45	0.9099862319449854	-0.047749164804558396	1.816673012454811	0.9687
flexible1_noisefix_prior	safe_prior_mu	46	-0.12821359290155487	-0.8794372805600068	0.5811873552383837	0.36705
flexible1_noisefix_prior	safe_prior_mu	47	0.16208915887532213	-0.5876263597281169	0.8998526098360361	0.6718
flexible1_noisefix_prior	safe_prior_mu	50	0.6444292659794819	-0.33091653929842774	1.6323781036168388	0.90595
flexible1_noisefix_prior	safe_prior_mu	53	-0.05229992470170043	-0.8382835803024662	0.6976175475414137	0.45075
flexible1_noisefix_prior	safe_prior_mu	56	0.2585910467235156	-0.5290667585976868	1.025875073123515	0.74445
flexible1_noisefix_prior	safe_prior_mu	59	-0.06347282891579342	-0.9621545714280445	0.7612866116102465	0.4477
flexible1_noisefix_prior	safe_prior_mu	62	-0.291692176960907	-1.1096399784196156	0.49272940575201685	0.23765
flexible1_noisefix_prior	safe_prior_mu	63	0.0717244161117954	-0.6976019405771504	0.8283589368308057	0.5758
flexible1_noisefix_prior	safe_prior_mu	67	-0.8965406793494011	-1.9564292762498159	0.111862966302347	0.041
flexible1_noisefix_prior	safe_prior_mu	69	0.3670119247568869	-0.3782434962835372	1.1401200449546747	0.82995
flexible1_noisefix_prior	safe_prior_mu	72	-0.4725364876140756	-1.3489788943976673	0.32028710054719944	0.12695
flexible1_noisefix_prior	safe_prior_mu	74	0.23422644514136842	-0.5380934363123792	1.0195652944809372	0.72685
flexible1_noisefix_prior	safe_prior_mu	-1	0.010288053446984708	-0.6149160300806739	0.617435820119819	0.51725
flexible1_noisefix	n1_evidence_sd_spline1	1	0.7721451661698473	0.10916235492536172	1.6652451788583227	0.987
flexible1_noisefix	n1_evidence_sd_spline1	2	0.5697793372860908	-0.11727044435976494	1.2176217999703531	0.9541
flexible1_noisefix	n1_evidence_sd_spline1	3	0.7152648930751768	0.07296043467289134	1.4698230839737427	0.984
flexible1_noisefix	n1_evidence_sd_spline1	4	0.6044056319637509	-0.10404856265771327	1.314247384098222	0.95805
flexible1_noisefix	n1_evidence_sd_spline1	5	0.504700681895723	-0.2517308301997887	1.180357944586382	0.92415
flexible1_noisefix	n1_evidence_sd_spline1	6	0.5861133453119429	-0.20472335021498816	1.318880815248432	0.9433
flexible1_noisefix	n1_evidence_sd_spline1	7	0.4162491054663167	-0.3827242187740949	1.055707850098436	0.87465
flexible1_noisefix	n1_evidence_sd_spline1	9	0.6374539759000114	-0.07428547183215602	1.4107426895957826	0.9619
flexible1_noisefix	n1_evidence_sd_spline1	10	0.7828230788397627	0.19565019290950345	1.546224214965937	0.99435
flexible1_noisefix	n1_evidence_sd_spline1	11	0.49718799282136317	-0.2942459186184987	1.1629372113785696	0.9146
flexible1_noisefix	n1_evidence_sd_spline1	18	0.6292551336765411	-0.05903329416549572	1.2994151646975305	0.9673
flexible1_noisefix	n1_evidence_sd_spline1	19	0.5480232641081346	-0.2283481436623351	1.2281556479690836	0.93265
