order	n_safe	mean	lo	hi	observed	observed_sem	n_subjects
Risky first	7.0	0.008653679653679653	-0.0641132756132756	0.07746861471861473	-0.003564213564213565	0.03609656059327895	35
Risky first	10.0	0.004888311688311688	-0.05479329004329005	0.08332142857142859	0.019004329004329006	0.031872359979577984	35
Risky first	14.0	-0.012342424242424242	-0.06751298701298701	0.059874458874458886	-0.004632034632034642	0.041446960759510966	35
Risky first	20.0	-0.004788095238095238	-0.06852922077922077	0.058591991341991355	-0.027489177489177494	0.042985399933987666	35
Risky first	28.0	0.028739177489177488	-0.03530303030303031	0.10146428571428572	0.04402597402597404	0.04149585065705767	35
Risky second	7.0	0.05952380952380953	-0.004978354978354982	0.1240800865800866	0.09588744588744588	0.04111927498400671	35
Risky second	10.0	0.06630952380952382	-0.0023863636363636418	0.12707034632034633	0.010995670995671003	0.03478012487003009	35
Risky second	14.0	0.04441666666666667	-0.019117965367965367	0.1054761904761905	0.07272727272727272	0.042458333277957935	35
Risky second	20.0	0.039651515151515146	-0.016277056277056275	0.1030465367965368	0.04675324675324675	0.04130364313616211	35
Risky second	28.0	0.04235714285714286	-0.019226190476190466	0.11196428571428574	0.03809523809523809	0.03959748120196977	35
