	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale
flexible1_noisefix.head	0	-4184.606097170723	254.18245679117763	0.0	0.9999999997206288	48.47579818100791	0.0	True	log
flexible1_noisefix_first.head	1	-4221.972703000729	221.39249875228006	37.36660583000635	0.0	48.26238480328615	7.7180382244121155	True	log
flexible1_noisefix_second.head	2	-4227.51769416166	222.5379793723232	42.91159699093717	0.0	48.16539653159992	8.287173889664516	True	log
flexible1_noisefix_null.head	3	-4271.757501728624	164.17579530714465	87.1514045579016	2.793711928461562e-10	47.73487528699703	12.911396759200898	True	log
