order	stake	frac	x_centred	fitted
Risky second	low	1.0	-0.726773537862343	0.028311208694722197
Risky second	low	1.0237747324710977	-0.7032770232670906	0.03254885520283553
Risky second	low	1.0481147028462678	-0.6797805086718383	0.03729650504931225
Risky second	low	1.073033349505462	-0.6562839940765859	0.04259538057372999
Risky second	low	1.0985444303225202	-0.6327874794813335	0.04848706987873441
Risky second	low	1.1246620302610526	-0.6092909648860811	0.055013069398508876
Risky second	low	1.1514005691509108	-0.5857944502908288	0.06221427682453926
Risky second	low	1.1787748096495434	-0.5622979356955763	0.07013043905795273
Risky second	low	1.2067998653926304	-0.5388014211003239	0.07879956143361744
Risky second	low	1.235491209338497	-0.5153049065050715	0.08825728602931238
Risky second	low	1.2648646823109129	-0.4918083919098192	0.0985362483830392
Risky second	low	1.294936501744995	-0.4683118773145668	0.10966542333932439
Risky second	low	1.3257232706410413	-0.44481536271931443	0.12166947197634032
Risky second	low	1.3572419867312409	-0.42131884812406206	0.13456810257585705
Risky second	low	1.3895100518643173	-0.39782233352880964	0.14837545933649438
Risky second	low	1.4225452816132926	-0.37432581893355726	0.16309955295182277
Risky second	low	1.456365915111671	-0.3508293043383049	0.1787417472404893
Risky second	low	1.4909906251234766	-0.3273327897430525	0.19529631569721417
Risky second	low	1.526438528352702	-0.30383627514780015	0.2127500811142201
Risky second	low	1.5627291959978638	-0.2803397605525477	0.2310821502982791
Risky second	low	1.5998826645574866	-0.25684324595729535	0.2502637543889401
Risky second	low	1.6379194468924878	-0.23334673136204298	0.270258203392849
Risky second	low	1.676860543551565	-0.2098502167667906	0.29102096132596467
Risky second	low	1.7167274543658433	-0.18635370217153824	0.31249984585204194
Risky second	low	1.7575421903191797	-0.16285718757628587	0.3346353535864176
Risky second	low	1.7993272857006855	-0.1393606729810335	0.35736110937364207
Risky second	low	1.8421058105461656	-0.11586415838578112	0.3806044349285144
Risky second	low	1.8859013833753557	-0.09236764379052864	0.40428702934026933
Risky second	low	1.930738184231978	-0.06887112919527627	0.42832575116856947
Risky second	low	1.9766409680338262	-0.0453746146000239	0.4526334892955433
Risky second	low	2.023635078240242	-0.021878100004771528	0.4771201074234327
Risky second	low	2.071746460844533	0.0016184145904808434	0.5016934451973037
Risky second	low	2.1210016786990553	0.025114929185733215	0.526260357450337
Risky second	low	2.1714279261808747	0.048611443780985586	0.5507277720652389
Risky second	low	2.2230530442060954	0.07210795837623796	0.5750037464532797
Risky second	low	2.275905535601155	0.09560447297149033	0.5989985026890299
Risky second	low	2.3300145808395625	0.1191009875667427	0.6226254219028367
Risky second	low	2.3854100541527803	0.14259750216199507	0.6458019796052744
Risky second	low	2.4421225400241293	0.16609401675724755	0.668450605162029
Risky second	low	2.500183350074841	0.18959053135249992	0.6904994506020611
Risky second	low	2.5596245403515634	0.2130870459477523	0.7118830562611504
Risky second	low	2.6204789290248782	0.23658356054300467	0.7325429033608803
Risky second	low	2.6827801145085934	0.26008007513825704	0.7524278464158749
Risky second	low	2.746562494009816	0.2835765897335094	0.7714944212612332
Risky second	low	2.8118612825200504	0.3070731043287618	0.7897070274081591
Risky second	low	2.8787125322578024	0.33056961892401415	0.8070379862815995
Risky second	low	2.9471531525734282	0.3540661335192665	0.8234674795875159
Risky second	low	3.017220930327214	0.3775626481145189	0.8389833745258037
Risky second	low	3.08895455075194	0.40105916270977127	0.853580944744987
Risky second	low	3.162393618811447	0.42455567730502364	0.8672624977763179
Risky second	low	3.237578681066996	0.448052191900276	0.8800369211512103
Risky second	low	3.3145512480634935	0.4715487064955284	0.8919191604747588
Risky second	low	3.393353817247946	0.49504522109078075	0.902929643391605
Risky second	low	3.4740298964327945	0.5185417356860331	0.9130936636445576
Risky second	low	3.5566240278170804	0.5420382502812857	0.9224407393098557
Risky second	low	3.6411818125787097	0.5655347648765381	0.9310039588257022
Risky second	low	3.727749936051395	0.5890312794717905	0.9388193276519602
Risky second	low	3.8163761935001688	0.6125277940670428	0.9459251273551775
Risky second	low	3.9071095165097014	0.6360243086622952	0.9523612976559079
Risky second	low	4.0	0.6595208232575476	0.9581688505588366
