subject	n_voxels	null_mean	m0_mean	m0_beats_null	m0_gt0	m1_mean	m1_beats_null	m1_gt0	m2_mean	m2_beats_null	m2_gt0	m3_mean	m3_beats_null	m3_gt0	m4_mean	m4_beats_null	m4_gt0	m5_mean	m5_beats_null	m5_gt0
1	410	-0.025553513	-0.033007063	0.3902439024390244	0.12682926829268293	-0.035294537	0.35853658536585364	0.18536585365853658	-0.046503298	0.28780487804878047	0.15121951219512195	-0.03821079	0.35121951219512193	0.16097560975609757	-0.043196086	0.33658536585365856	0.17560975609756097	-0.039826695	0.3439024390243902	0.17317073170731706
2	206	-0.018311726	-0.040702436	0.1407766990291262	0.019417475728155338	-0.008409901	0.46601941747572817	0.3592233009708738	-0.023108456	0.4223300970873786	0.3446601941747573	-0.0061545204	0.47572815533980584	0.3932038834951456	-0.009900346	0.46601941747572817	0.39805825242718446	-0.012264501	0.46116504854368934	0.3640776699029126
3	297	-0.025454931	-0.04310665	0.16161616161616163	0.013468013468013467	-0.01843217	0.32996632996632996	0.2053872053872054	-0.031895287	0.26262626262626265	0.20202020202020202	-0.019672798	0.30976430976430974	0.20202020202020202	-0.018192038	0.28619528619528617	0.19528619528619529	-0.01473736	0.3164983164983165	0.19528619528619529
4	346	-0.017272756	-0.025291719	0.3439306358381503	0.2023121387283237	0.0004937001	0.48554913294797686	0.3583815028901734	-0.012536232	0.407514450867052	0.29190751445086704	-0.008000087	0.45664739884393063	0.3236994219653179	-0.0066325334	0.44508670520231214	0.3265895953757225	-0.007829092	0.43641618497109824	0.3179190751445087
5	297	-0.019549644	-0.034749504	0.24915824915824916	0.050505050505050504	0.038721915	0.7575757575757576	0.622895622895623	0.02265467	0.6296296296296297	0.5117845117845118	0.030005371	0.6936026936026936	0.5656565656565656	0.028080218	0.6498316498316499	0.5387205387205387	0.03303493	0.734006734006734	0.5858585858585859
6	292	-0.027263809	-0.052792784	0.0821917808219178	0.003424657534246575	0.03443847	0.7054794520547946	0.5513698630136986	0.026285537	0.6883561643835616	0.4965753424657534	0.030396864	0.702054794520548	0.5342465753424658	0.023460845	0.6815068493150684	0.4931506849315068	0.02700755	0.6917808219178082	0.5136986301369864
7	296	-0.01954164	-0.02445684	0.4966216216216216	0.30405405405405406	-0.011261094	0.5777027027027027	0.3716216216216216	-0.023406327	0.4358108108108108	0.28716216216216217	-0.014749547	0.527027027027027	0.35135135135135137	-0.016057098	0.4966216216216216	0.34797297297297297	-0.01485414	0.5168918918918919	0.34797297297297297
9	366	-0.021158263	-0.03763635	0.13934426229508196	0.0273224043715847	-0.050401658	0.4098360655737705	0.23497267759562843	-0.04599454	0.3114754098360656	0.17759562841530055	-0.024393303	0.35792349726775957	0.20491803278688525	-0.02639956	0.3224043715846995	0.18579234972677597	-0.034116067	0.32786885245901637	0.1994535519125683
10	217	-0.018323997	-0.03898103	0.16589861751152074	0.059907834101382486	-0.00026054014	0.5023041474654378	0.35944700460829493	-0.0236691	0.37327188940092165	0.25806451612903225	-0.009485608	0.4055299539170507	0.3225806451612903	-0.015331336	0.42857142857142855	0.3271889400921659	-0.008327173	0.4792626728110599	0.3225806451612903
11	314	-0.016579786	-0.0066506895	0.5191082802547771	0.3853503184713376	0.014247106	0.6847133757961783	0.5605095541401274	-3.4282162e-05	0.5859872611464968	0.46178343949044587	0.015774516	0.6751592356687898	0.5668789808917197	0.010530895	0.6305732484076433	0.5095541401273885	0.0142351445	0.6815286624203821	0.5636942675159236
18	274	-0.013662786	-0.033298355	0.09854014598540146	0.025547445255474453	9.602548e-05	0.4233576642335766	0.3467153284671533	-0.008627455	0.38686131386861317	0.31386861313868614	-0.0016953467	0.43795620437956206	0.36496350364963503	-0.0044862838	0.40145985401459855	0.3175182481751825	-0.004081431	0.39416058394160586	0.3467153284671533
19	260	-0.018291572	-0.022194847	0.36923076923076925	0.2153846153846154	-0.015385698	0.4153846153846154	0.28846153846153844	-0.028509088	0.36153846153846153	0.2692307692307692	-0.020053834	0.4153846153846154	0.3038461538461538	-0.02302771	0.4	0.28076923076923077	-0.018772172	0.4153846153846154	0.2923076923076923
21	330	-0.018388592	-0.042777326	0.12424242424242424	0.03636363636363636	-0.028995594	0.3424242424242424	0.21818181818181817	-0.042485	0.22424242424242424	0.15454545454545454	-0.031468254	0.32727272727272727	0.21818181818181817	-0.038753685	0.2545454545454545	0.17272727272727273	-0.033797335	0.31212121212121213	0.20909090909090908
25	236	-0.018515525	0.012530557	0.7203389830508474	0.5169491525423728	0.05981739	0.8008474576271186	0.673728813559322	0.04539521	0.6991525423728814	0.6313559322033898	0.052970152	0.7330508474576272	0.652542372881356	0.055182986	0.7330508474576272	0.6652542372881356	0.05581198	0.7542372881355932	0.6822033898305084
26	227	-0.014466965	-0.03760856	0.0881057268722467	0.03524229074889868	-0.036647063	0.3524229074889868	0.2026431718061674	-0.047518086	0.23348017621145375	0.15418502202643172	-0.030519737	0.32158590308370044	0.2511013215859031	-0.03557676	0.31277533039647576	0.19823788546255505	-0.05599189	0.30837004405286345	0.20704845814977973
29	329	-0.013258423	-0.02342603	0.303951367781155	0.11854103343465046	-0.0055491608	0.5288753799392097	0.3799392097264438	-0.019770449	0.3799392097264438	0.2765957446808511	-0.0121664265	0.45896656534954405	0.3100303951367781	-0.01720036	0.41033434650455924	0.2765957446808511	-0.010280779	0.5106382978723404	0.3282674772036474
30	361	-0.013974894	-0.03232088	0.1634349030470914	0.07479224376731301	-0.029141646	0.26038781163434904	0.18559556786703602	-0.041496463	0.1772853185595568	0.1329639889196676	-0.032656528	0.22437673130193905	0.1523545706371191	-0.03535225	0.22714681440443213	0.15512465373961218	-0.03056232	0.24376731301939059	0.18005540166204986
31	183	-0.017833188	-0.031129805	0.20218579234972678	0.08196721311475409	0.0069777016	0.47540983606557374	0.3825136612021858	-0.0066485847	0.4426229508196721	0.3224043715846995	0.0047302716	0.5081967213114754	0.34972677595628415	-0.0003712425	0.4644808743169399	0.34972677595628415	0.0020196517	0.4808743169398907	0.36065573770491804
34	198	-0.018405255	-0.037327584	0.20707070707070707	0.09595959595959595	-0.027794067	0.30808080808080807	0.18181818181818182	-0.04390876	0.23737373737373738	0.16161616161616163	-0.037175246	0.2828282828282828	0.15151515151515152	-0.03851752	0.2676767676767677	0.15656565656565657	-0.033631247	0.32323232323232326	0.20202020202020202
35	255	-0.017425178	-0.03562284	0.13725490196078433	0.0392156862745098	0.0019318343	0.4823529411764706	0.34509803921568627	-0.012365098	0.3607843137254902	0.26666666666666666	-0.003768809	0.4196078431372549	0.3176470588235294	-0.004257819	0.4196078431372549	0.30196078431372547	-0.007982816	0.39215686274509803	0.2784313725490196
36	301	-0.020241205	-0.038317166	0.09302325581395349	0.019933554817275746	-0.018228555	0.4019933554817276	0.25249169435215946	-0.04105321	0.25249169435215946	0.1760797342192691	-0.027132155	0.34219269102990035	0.23920265780730898	-0.025618048	0.34551495016611294	0.2292358803986711	-0.02759789	0.3289036544850498	0.2026578073089701
37	324	-0.014778427	-0.028499845	0.16358024691358025	0.09259259259259259	-0.021895861	0.35185185185185186	0.24691358024691357	-0.0445456	0.2037037037037037	0.15123456790123457	-0.03296385	0.23765432098765432	0.16358024691358025	-0.032759435	0.25308641975308643	0.19135802469135801	-0.03191598	0.25617283950617287	0.18518518518518517
45	181	-0.016496936	-0.016434643	0.4419889502762431	0.2541436464088398	0.044770855	0.7292817679558011	0.6022099447513812	0.030867673	0.6408839779005525	0.5359116022099447	0.036929235	0.6740331491712708	0.5524861878453039	0.032755747	0.6408839779005525	0.5303867403314917	0.03677655	0.6574585635359116	0.5524861878453039
46	210	-0.011759173	0.0022221056	0.6142857142857143	0.5	0.010931066	0.680952380952381	0.5619047619047619	0.0028593414	0.5571428571428572	0.5047619047619047	0.0068094376	0.6190476190476191	0.5190476190476191	0.0047257785	0.5857142857142857	0.5238095238095238	0.008126659	0.6190476190476191	0.5333333333333333
47	252	-0.016585827	-0.035041537	0.1388888888888889	0.05555555555555555	-0.040347043	0.1746031746031746	0.09126984126984126	-0.0548648	0.07936507936507936	0.03571428571428571	-0.0447082	0.12698412698412698	0.047619047619047616	-0.050230317	0.10714285714285714	0.031746031746031744	-0.044638414	0.14285714285714285	0.05555555555555555
50	535	-0.015944457	-0.039554656	0.14392523364485982	0.06728971962616823	-0.028392762	0.33457943925233646	0.2523364485981308	-0.0386617	0.33457943925233646	0.2523364485981308	-0.03002293	0.36074766355140186	0.2523364485981308	-0.031751946	0.33084112149532713	0.23177570093457944	-0.03530911	0.3364485981308411	0.24485981308411214
53	350	-0.014570678	-0.02537546	0.23714285714285716	0.14857142857142858	-0.015847478	0.4228571428571429	0.26571428571428574	-0.028875869	0.35714285714285715	0.23714285714285716	-0.021823848	0.37142857142857144	0.2542857142857143	-0.025347393	0.3485714285714286	0.21714285714285714	-0.019352803	0.4	0.26571428571428574
56	305	-0.014214152	-0.0359197	0.1180327868852459	0.05245901639344262	-0.022672411	0.3442622950819672	0.23934426229508196	-0.030143024	0.29180327868852457	0.19344262295081968	-0.027935706	0.31475409836065577	0.22295081967213115	-0.023889601	0.3377049180327869	0.21967213114754097	-0.025901694	0.32131147540983607	0.2262295081967213
59	349	-0.023620114	-0.005400602	0.6131805157593123	0.4383954154727794	0.07230153	0.8108882521489972	0.7106017191977078	0.048700195	0.7020057306590258	0.6160458452722063	0.060963344	0.7478510028653295	0.6504297994269341	0.0667927	0.7621776504297995	0.6590257879656161	0.06835501	0.7851002865329513	0.6934097421203438
62	540	-0.0131498445	-0.020576	0.31296296296296294	0.17037037037037037	-0.0010890175	0.5185185185185185	0.412962962962963	-0.014211135	0.44814814814814813	0.36666666666666664	-0.0042225444	0.5203703703703704	0.40925925925925927	-0.00811902	0.48518518518518516	0.3962962962962963	-0.0029563776	0.5166666666666667	0.412962962962963
63	470	-0.017810594	-0.010312059	0.5723404255319149	0.37446808510638296	-0.00057524507	0.7340425531914894	0.4829787234042553	-0.0064101634	0.6042553191489362	0.42340425531914894	-0.003992598	0.6340425531914894	0.4297872340425532	-0.004917774	0.6148936170212767	0.4148936170212766	-0.0019647893	0.6617021276595745	0.4553191489361702
67	285	-0.01799972	-0.050677873	0.03508771929824561	0.010526315789473684	-0.037638027	0.24210526315789474	0.15087719298245614	-0.055652183	0.2	0.11228070175438597	-0.045148987	0.20350877192982456	0.13333333333333333	-0.048220165	0.19649122807017544	0.12982456140350876	-0.043629542	0.22807017543859648	0.14385964912280702
69	423	-0.018577201	-0.022237469	0.41371158392434987	0.2293144208037825	0.0065651834	0.5910165484633569	0.4326241134751773	-0.005302199	0.5106382978723404	0.39243498817966904	0.00062481954	0.5839243498817966	0.40425531914893614	0.0028858904	0.5721040189125296	0.41843971631205673	0.0012712834	0.5460992907801419	0.41134751773049644
72	412	-0.015569218	-0.024331046	0.3276699029126214	0.21359223300970873	0.0014609112	0.5655339805825242	0.4854368932038835	-0.0015841572	0.4830097087378641	0.39563106796116504	0.0043989187	0.5339805825242718	0.44660194174757284	0.0061522606	0.5606796116504854	0.44902912621359226	-0.002835338	0.5169902912621359	0.41504854368932037
74	391	-0.017124655	-0.022834182	0.3375959079283887	0.16879795396419436	-0.0014723383	0.5626598465473146	0.4373401534526854	-0.010516229	0.5166240409207161	0.3734015345268542	-0.001244251	0.6035805626598465	0.43478260869565216	-0.0027723024	0.5882352941176471	0.4398976982097187	-0.0039018483	0.5882352941176471	0.4194373401534527
