mask	selection	amp	n	r_rsecond	p_rsecond	r_rfirst	p_rfirst
NPCr2cm-cluster	cvr2pos	d_amp_median	35	0.5333267111196176	0.0009703807446472447	-0.03673164610717398	0.8340689772178976
NPCr2cm-cluster	cvr2pos	d_amp_mean	35	0.40742477859876414	0.01512942669390207	-0.155059064268013	0.3737758518054285
NPCr2cm-cluster	cvr2pos	d_amp_rel_median	35	0.4051776056379587	0.015753233450146058	-0.043479197676141355	0.804133017624437
NPCr2cm-cluster	top100	d_amp_median	35	0.4272244936780648	0.01047555570492969	0.06815808900315656	0.6972484334585736
NPCr2cm-cluster	top100	d_amp_mean	35	0.41001416609656877	0.014436469058210047	0.005872396003066877	0.9732917529737046
NPCr2cm-cluster	top100	d_amp_rel_median	35	0.3422508241095606	0.04416885972450766	0.15856409554198136	0.36293658352124486
NPCr2cm-cluster	all	d_amp_median	35	0.3558062678193066	0.035929118390122444	0.09849778603831767	0.5734827320070864
NPCr2cm-cluster	all	d_amp_mean	35	0.40278183801329426	0.016441900066586187	0.03781075140993576	0.8292648663436093
NPCr2cm-cluster	all	d_amp_rel_median	35	0.26545320022056185	0.12326642696844417	0.14508500854062673	0.4056487299495414
NPC12r	cvr2pos	d_amp_median	35	0.47967693476725	0.003547559287543148	-0.09673140589866369	0.5804096544667647
NPC12r	cvr2pos	d_amp_mean	35	0.45556412250283074	0.005957801261339379	-0.13802463638325183	0.42911630131860007
NPC12r	cvr2pos	d_amp_rel_median	35	0.43236354837713264	0.009488996490498086	-0.08445982207735556	0.6295304707906547
NPC12r	top100	d_amp_median	35	0.47834709920479757	0.0036539995736303292	-0.03331342391632208	0.8493249367724898
NPC12r	top100	d_amp_mean	35	0.45458517371000917	0.006079873613012977	-0.028225552072338823	0.8721311535753126
NPC12r	top100	d_amp_rel_median	35	0.44424336490847294	0.007506306412095566	-0.03674285435552853	0.8340190480943537
NPC12r	all	d_amp_median	35	0.4272043082779555	0.01047959592561113	0.05038141211145973	0.7737921151073092
NPC12r	all	d_amp_mean	35	0.43303252936402326	0.00936657949976857	0.05115427227217725	0.7704142999509276
NPC12r	all	d_amp_rel_median	35	0.4584822922958677	0.005606323300939837	0.11625534323315397	0.5060131157938791
