label	space	form	placement	memory_model	channel	condition	x	lo	mid	hi	p_gt0
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	6.999999999999999	0.09943886833265342	0.1362426926826551	0.1731316812144914	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	7.515760138376834	0.10569406785783125	0.1412337536555543	0.17705898978800946	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	8.069521493944878	0.11192657736411434	0.14627537540088986	0.18083286704944365	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	8.664083997137997	0.11816628491506538	0.15130430977439102	0.1846917419535429	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	9.302453877319767	0.12430302561830177	0.15626525599482122	0.1885887195248642	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	9.987858862892702	0.13037279440350288	0.16127014989926372	0.1925514668742316	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	10.723764501351818	0.1365127226004585	0.16625271690835017	0.19663597295226712	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	11.513891681800072	0.1425844351290815	0.17120583864497718	0.20065268278977852	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	12.36223544852308	0.14843981989238786	0.1761754354353547	0.20458656766166908	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	13.273085200748401	0.1542562305258377	0.18112421539859164	0.20868571077413453	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	14.25104638072347	0.16007581337202997	0.1861349690217865	0.21297103311408877	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	15.301063759771553	0.16576794319065216	0.19115522911188515	0.2173205410536938	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	16.428446440064768	0.17136625541666994	0.19617374898904116	0.22170706908451562	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	17.638894698528226	0.17711979941468586	0.2012146357895987	0.22625718126708858	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	18.93852880860355	0.18245367579472965	0.20621398270283037	0.23087223146106184	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	20.33391998560055	0.1878904394878569	0.21120082911793925	0.23553382152402363	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	21.832123612102944	0.1931237748195442	0.2162112703142301	0.24016920116064197	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	23.440714911422706	0.19825499587782333	0.22118601913944042	0.24508079488589077	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	25.16782724947517	0.20326991835538613	0.22616003128123463	0.2500656077531715	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	27.0221932587371	0.2082318244233731	0.2312024636766008	0.2550671235838162	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	29.01318899221878	0.21318516865050416	0.2361629825235697	0.2603047544279103	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	31.150881330701633	0.21799801845605396	0.24110710959608808	0.26556263634226607	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	33.44607888294205	0.22263248032763241	0.24609100277037782	0.27075625645355167	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	35.910386636203285	0.22725154917382648	0.25106601890921576	0.2762331318435929	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	38.55626463343953	0.23175992820501204	0.25602603471784074	0.2816915724656327	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	41.397090973816184	0.23613090978200202	0.26106188408976666	0.28735329976791396	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	44.44722945510957	0.2403396777328124	0.26607905336089943	0.2931635210895407	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	47.722102200000165	0.24454175157561678	0.27106086589408473	0.2989821491802719	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	51.23826763347237	0.24872199282094676	0.27604182294083635	0.3050095989970507	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	55.01350420559078	0.25288369713022596	0.281026408208308	0.3109647541522901	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	59.0669002829722	0.2568876834348031	0.28607454190503945	0.31693775277259717	
log-affine-null.mapjitter.klw	log	affine	null	shared_perceptual_noise	perc	ips	63.4189506634631	0.26083899093721585	0.2910638368478155	0.3230045748184787	
