order	stake	rung	observed	model	lo	hi	frac
Risky first	high	1	0.10273972602739725	0.14426940639269406	0.09360730593607305	0.19297945205479447	1.6130363932645302
Risky first	high	2	0.1815068493150685	0.20457191780821915	0.1506849315068493	0.2568493150684932	1.799310344827586
Risky first	high	3	0.2534246575342466	0.2914469178082192	0.2385559360730594	0.3402397260273972	2.0697290640394086
Risky first	high	4	0.39840182648401823	0.38770376712328763	0.3451712328767123	0.44069063926940627	2.3811276287164613
Risky first	high	5	0.5228310502283104	0.4940045662100456	0.44471461187214617	0.5416095890410958	2.7432175622542596
Risky first	high	6	0.6218036529680365	0.5964800228310502	0.5462385844748858	0.649783105022831	3.2155973451327435
Risky first	low	1	0.26200260926288327	0.26793150684931505	0.2226015166340509	0.31777152641878664	1.5177350427350427
Risky first	low	2	0.3781474233529028	0.37586562296151343	0.32876223091976514	0.4294928245270711	1.7660755336617406
Risky first	low	3	0.46552511415525116	0.5087551369863014	0.4604937214611872	0.5573544520547945	2.0380841895923103
Risky first	low	4	0.6680365296803653	0.6351763698630137	0.5835502283105023	0.6845319634703196	2.3485801660113585
Risky first	low	5	0.800228310502283	0.74287100456621	0.6849029680365296	0.7968036529680365	2.724812030075188
Risky first	low	6	0.8148148148148148	0.8250028935185185	0.7696469907407407	0.8739293981481481	3.152912087912088
Risky second	high	1	0.1997716894977169	0.24417522831050228	0.18829908675799087	0.2990867579908676	1.6142857142857143
Risky second	high	2	0.24315068493150685	0.3139668949771689	0.25799086757990863	0.3698630136986301	1.797750865051903
Risky second	high	3	0.3835616438356164	0.39952625570776257	0.34240867579908674	0.4543664383561643	2.0673115079365076
Risky second	high	4	0.5278538812785388	0.4914349315068493	0.44056506849315064	0.5466095890410959	2.383051457358762
Risky second	high	5	0.6196347031963471	0.5805422374429223	0.5305479452054794	0.6374543378995434	2.743926925608953
Risky second	high	6	0.6769243313763862	0.6637720971950424	0.6154399054142204	0.7114163405088062	3.2122743110547987
Risky second	low	1	0.19008480104370515	0.20112055609915194	0.15905903457273318	0.2401141552511415	1.5202636419374618
Risky second	low	2	0.2858447488584475	0.31404166666666666	0.27184360730593604	0.356875	1.761131088591043
Risky second	low	3	0.49063926940639263	0.4626669520547945	0.414925799086758	0.5137100456621005	2.035142203334423
Risky second	low	4	0.5863013698630136	0.6083955479452055	0.5513584474885844	0.6644006849315068	2.3494945054945053
Risky second	low	5	0.747716894977169	0.7325057077625572	0.6744863013698631	0.7888413242009132	2.7245112781954886
Risky second	low	6	0.8252314814814814	0.8257291666666666	0.7777488425925926	0.8669270833333333	3.1607006020799124
