subject	session	stimulation_condition	mask	r_En1	abs_err	log_abs_err	post_spread	log_abs_err_low	post_spread_low	log_abs_err_high	post_spread_high
1	1	baseline	NPC12r	-0.0009425854569663885	29.62195106971644	0.9303200712134997	21.647225461147244	1.3087931395311785	21.355818036286443	0.5257454119773599	21.958729949791554
1	1	baseline	NPCr2cm-cluster	0.011481796846856051	31.74447471949892	0.9806671258326384	24.72321782249743	1.426990058737493	24.708513468578197	0.5035633010033103	24.738936269790404
1	2	vertex	NPC12r	0.09343369889803516	32.54168312745262	0.9981341671486845	21.55201788163333	1.4203661353775143	22.85836101830013	0.5467827528351076	20.155582114851573
1	2	vertex	NPCr2cm-cluster	0.07776432017844023	31.857618201210595	0.9885923252254368	24.551509238672164	1.4486629669358715	24.21010958685375	0.4967926737418685	24.91645369406425
1	3	ips	NPC12r	0.0934787124417447	26.813776086636082	0.8469817402614428	17.454375660149985	1.137293627170868	17.720686466972904	0.5366483439099881	17.169698590787565
1	3	ips	NPCr2cm-cluster	0.02452012058142382	30.891430596626254	0.9598357536582808	23.210963100721262	1.3552385865304244	23.2622054628928	0.5371637598984033	23.156186782537898
2	1	baseline	NPC12r	-0.049924412961757376	28.22144417917384	0.919131141927266	20.381415248708546	1.2862816796099843	20.727057625222187	0.4995305274327309	19.986395389835813
2	1	baseline	NPCr2cm-cluster	-0.17226205704322176	30.221331093727425	0.9538133959370191	21.63587373709251	1.3521783883516394	21.423244034462236	0.4985391188917388	21.878879111527105
2	2	vertex	NPC12r	0.11789793297366331	29.868106962961146	0.9326377434552143	20.76280951424272	1.2727079193119082	20.88321465354239	0.5439861139047071	20.625203640757377
2	2	vertex	NPCr2cm-cluster	0.18230051241062675	31.375863761007995	0.967325852692625	22.747104777735828	1.3586909456642755	22.38372217231612	0.5200514607250243	23.162399183929786
2	3	ips	NPC12r	-0.16493399884059304	29.830107095949177	0.9457776497211688	22.2595035573344	1.3628407464721186	21.200914111673995	0.46913411057722615	23.469320066660583
2	3	ips	NPCr2cm-cluster	-0.1035841349875159	30.92463253818158	0.9667851050049504	22.297564171481422	1.417294013314194	22.13065201509931	0.45191778122295784	22.488320921632397
3	1	baseline	NPC12r	0.04656358979396044	27.44360998867091	0.9003937296573983	23.430779520551937	1.2148155185812173	22.349178815983894	0.5161004320838417	24.75273593724621
3	1	baseline	NPCr2cm-cluster	0.16709971542825722	30.623699237388042	0.9685423503756637	24.39618663138798	1.3102175489614363	23.24557692266653	0.5509393298819419	25.80248738649198
3	2	vertex	NPC12r	-0.026629670189281942	29.77321711245142	0.9606043561822638	20.592678237736187	1.2964875460581	20.928397150308655	0.5500804574451306	20.182355122369838
