trace	ok	max_rhat	min_ess_bulk	divergences	chains	draws	n_par	worst_par	family	constrained	bauer_commit	size_gb
log-power-percmem.klw	True	1.0	1765.0	5.0	4.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6263167448341846
log-power-percmem.pathfinder.klw.ev	True	1.0	3128.0	1.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-		1.2511602835729718
log-power-percmem.pathfinder.klw.free	True	1.0	4564.0	0.0	8.0	3000.0	18.0	log_mem_power_sd112_mu[Intercept]	-	-		1.2637903215363622
log-power-percmempsd.pathfinder.klw	True	1.0	3145.0	27.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2758776182308793
log-power-percmemx.pathfinder.klw	True	1.01	2153.0	0.0	8.0	3000.0	16.0	log_risky_prior_sd_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.3505473555997014
log-power-percpsd.pathfinder.klw	True	1.0	3224.0	1.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2511313585564494
log-power-percx.pathfinder.klw	True	1.01	2150.0	0.0	8.0	3000.0	16.0	log_risky_prior_sd_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.275928555987775
log-power-pmu.klw	False	1.52	7.0	6.0	4.0	3000.0	16.0	log_risky_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6137952012941241
log-power-pmusd.klw	True	1.0	1779.0	26.0	4.0	3000.0	16.0	log_n1_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6263017449527979
log-power-psd.klw	True	1.0	972.0	147.0	4.0	3000.0	16.0	log_n1_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6100940341129899
log-power-psd.pathfinder.klw	True	1.0	2253.0	39.0	8.0	3000.0	16.0	log_n1_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.226121828891337
log-power-spmusd.pathfinder.klw	True	1.0	3934.0	2.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2510626409202814
log-power-spsd.pathfinder.klw	True	1.0	4176.0	4.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.226102713495493
log-spl3-mem.klw	True	1.0	2390.0	13.0	4.0	3000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6325887702405453
log-spl3-n1.klw	True	1.0	1808.0	4.0	4.0	3000.0	20.0	log_n1_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.632321797311306
log-spl3-n1n2.klw	False	1.04	65.0	96.0	4.0	3000.0	20.0	log_n1_spl3_sd7_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6485896920785308
log-spl3-n1n2.mapjitter.klw	False	1.06	80.0	0.0	8.0	3000.0	20.0	log_n1_spl3_sd7_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.301016824319959
log-spl3-n1n2.pathfinder.klw.ev	False	1.1	48.0	0.0	8.0	3000.0	20.0	log_n2_spl3_sd7_sd[Intercept]	-	-		1.3010988608002665
log-spl3-n1n2.pathfinder.klw.free	False	1.07	75.0	2.0	8.0	3000.0	22.0	log_safe_prior_mu_sd[Intercept]	-	-		1.313438662327826
log-spl3-n1n2.pathfinder.klw	False	1.04	122.0	1.0	8.0	3000.0	20.0	log_n1_spl3_sd7_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.3010216215625403
log-spl3-n1n2x.pathfinder.klw	True	1.0	2430.0	0.0	8.0	3000.0	20.0	log_n1_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.4497958095744252
log-spl3-n2.klw	False	1.03	128.0	32.0	4.0	3000.0	20.0	log_risky_prior_mu_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6317767230793834
log-spl3-null.klw	True	1.0	2361.0	9.0	4.0	3000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5247442098334432
log-spl3-nullind.klw	True	1.01	1235.0	9.0	4.0	3000.0	20.0	log_n1_spl3_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5248222080990672
log-spl3-perc.klw	True	1.0	2141.0	6.0	4.0	3000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6322638224810362
log-spl3-percmem.klw	True	1.0	1968.0	11.0	4.0	3000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6511466624215245
log-spl3-percmempsd.pathfinder.klw	True	1.0	2410.0	1.0	8.0	3000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.3258951734751463
log-spl3-percmemx.pathfinder.klw	True	1.0	2062.0	5.0	8.0	3000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.4499839097261429
log-spl3-percx.pathfinder.klw	True	1.0	2405.0	0.0	8.0	3000.0	20.0	log_mem_spl3_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.3380247568711638
log-spl5-mem.klw	True	1.0	2965.0	2.0	4.0	3000.0	28.0	log_mem_spl5_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6699332082644105
