subject	n_voxels	null_mean	m0_mean	m0_beats_null	m0_gt0	m1_mean	m1_beats_null	m1_gt0	m2_mean	m2_beats_null	m2_gt0
1	410	-0.025553513	-0.028773641	0.4634146341463415	0.1975609756097561	-0.029929467	0.4609756097560976	0.22682926829268293	-0.04686206	0.28780487804878047	0.15121951219512195
2	206	-0.018311726	-0.043094795	0.1553398058252427	0.02912621359223301	-0.036999777	0.25728155339805825	0.13592233009708737	-0.024725491	0.4077669902912621	0.32524271844660196
3	297	-0.025454931	-0.042614914	0.21212121212121213	0.03367003367003367	-0.02360631	0.3063973063973064	0.16835016835016836	-0.03205007	0.24915824915824916	0.20202020202020202
4	346	-0.017272756	-0.02379071	0.3872832369942196	0.21098265895953758	-0.008355743	0.4913294797687861	0.3236994219653179	-0.013301037	0.41040462427745666	0.2947976878612717
5	297	-0.019549644	-0.025249086	0.32996632996632996	0.050505050505050504	0.030319965	0.7306397306397306	0.5892255892255892	0.037705973	0.7407407407407407	0.622895622895623
6	292	-0.027263809	-0.0480015	0.1952054794520548	0.0136986301369863	-0.014639436	0.4863013698630137	0.2773972602739726	0.02614356	0.6883561643835616	0.4965753424657534
7	296	-0.01954164	-0.010257014	0.5574324324324325	0.36486486486486486	-0.009403979	0.5878378378378378	0.3716216216216216	-0.023577284	0.44256756756756754	0.28716216216216217
9	366	-0.021158263	-0.04068455	0.2103825136612022	0.02459016393442623	-0.031064112	0.3087431693989071	0.14754098360655737	-0.046297334	0.3087431693989071	0.18032786885245902
10	217	-0.018323997	-0.030183246	0.2488479262672811	0.10138248847926268	-0.012707573	0.4838709677419355	0.28110599078341014	-0.020779228	0.3870967741935484	0.2672811059907834
11	314	-0.016579786	0.0024139928	0.5605095541401274	0.40445859872611467	0.012982727	0.678343949044586	0.554140127388535	0.027160596	0.7484076433121019	0.6273885350318471
18	274	-0.013662786	-0.030934194	0.1386861313868613	0.032846715328467155	-0.008221747	0.3467153284671533	0.2737226277372263	-0.0057718186	0.38686131386861317	0.3248175182481752
19	260	-0.018291572	-0.022920258	0.3730769230769231	0.21923076923076923	-0.021789202	0.4115384615384615	0.27307692307692305	-0.028335981	0.36153846153846153	0.2692307692307692
21	330	-0.018388592	-0.032788306	0.19090909090909092	0.06363636363636363	-0.026740605	0.3212121212121212	0.14545454545454545	-0.022960067	0.3393939393939394	0.18787878787878787
25	236	-0.018515525	0.015656155	0.7966101694915254	0.5423728813559322	0.054566227	0.7966101694915254	0.690677966101695	0.045377944	0.6991525423728814	0.6271186440677966
26	227	-0.014466965	-0.03286219	0.04405286343612335	0.0	-0.025406102	0.2687224669603524	0.14977973568281938	-0.030359877	0.2907488986784141	0.19383259911894274
29	329	-0.013258423	-0.020330297	0.41033434650455924	0.15501519756838905	-0.009786824	0.5258358662613982	0.331306990881459	-0.019263905	0.39209726443769	0.2765957446808511
30	361	-0.013974894	-0.02605714	0.28254847645429365	0.0997229916897507	-0.022951595	0.28254847645429365	0.2077562326869806	-0.041365426	0.18559556786703602	0.13850415512465375
31	183	-0.017833188	-0.026124055	0.3442622950819672	0.09289617486338798	0.00095273234	0.453551912568306	0.32786885245901637	0.0068920525	0.5027322404371585	0.3825136612021858
34	198	-0.018405255	-0.032612424	0.29797979797979796	0.12626262626262627	-0.029250665	0.3686868686868687	0.20707070707070707	-0.042936742	0.2474747474747475	0.16666666666666666
35	255	-0.017425178	-0.030097755	0.23529411764705882	0.0784313725490196	-0.006933135	0.4588235294117647	0.29411764705882354	-0.012909478	0.3411764705882353	0.26666666666666666
36	301	-0.020241205	-0.035874616	0.19601328903654486	0.03986710963455149	-0.029787557	0.2691029900332226	0.13953488372093023	-0.042514935	0.26245847176079734	0.18272425249169436
37	324	-0.014778427	-0.019529479	0.31790123456790126	0.12037037037037036	-0.013347958	0.4166666666666667	0.2345679012345679	-0.043960564	0.20987654320987653	0.16049382716049382
45	181	-0.016496936	-0.018446023	0.5414364640883977	0.32044198895027626	0.022170462	0.6906077348066298	0.5911602209944752	0.030828247	0.6353591160220995	0.5414364640883977
46	210	-0.011759173	0.007217711	0.6952380952380952	0.5619047619047619	0.010761895	0.7380952380952381	0.6142857142857143	0.0029639488	0.5523809523809524	0.5
47	252	-0.016585827	-0.030215358	0.27380952380952384	0.0873015873015873	-0.03459826	0.19047619047619047	0.0873015873015873	-0.054900322	0.0873015873015873	0.03571428571428571
