subject	model	gate_r	gate_maxdiff	passed
01	m0	0.9999999999914528	4.76837158203125e-07	True
01	m1	0.9999999999975443	5.364418029785156e-07	True
01	m2	0.9999999999982283	5.364418029785156e-07	True
02	m0	0.999999999991709	4.76837158203125e-07	True
02	m1	0.9999999999983215	4.76837158203125e-07	True
02	m2	0.9999999999986696	4.76837158203125e-07	True
03	m0	0.9999999999892938	5.364418029785156e-07	True
03	m1	0.9999999999987231	5.960464477539062e-07	True
03	m2	0.9999999999990304	4.76837158203125e-07	True
04	m0	0.9999999999912786	5.364418029785156e-07	True
04	m1	0.9999999999991297	4.76837158203125e-07	True
04	m2	0.9999999999993157	4.76837158203125e-07	True
05	m0	0.9999999999918517	5.364418029785156e-07	True
05	m1	0.9999999999991241	4.76837158203125e-07	True
05	m2	0.9999999999992552	4.172325134277344e-07	True
06	m0	0.9999999999946625	4.172325134277344e-07	True
06	m1	0.9999999999993738	4.76837158203125e-07	True
06	m2	0.9999999999994702	4.172325134277344e-07	True
07	m0	0.9999999999895111	5.960464477539062e-07	True
07	m1	0.9999999999984577	5.364418029785156e-07	True
07	m2	0.9999999999988185	4.76837158203125e-07	True
09	m0	0.9999999999913739	4.76837158203125e-07	True
09	m1	0.9999999999982334	5.960464477539062e-07	True
09	m2	0.9999999999986158	5.364418029785156e-07	True
10	m0	0.9999999999935748	9.5367431640625e-07	True
10	m1	0.9999999999988873	5.364418029785156e-07	True
10	m2	0.99999999999913	4.76837158203125e-07	True
11	m0	0.9999999999928411	5.364418029785156e-07	True
11	m1	0.9999999999981058	5.364418029785156e-07	True
11	m2	0.9999999999986989	4.76837158203125e-07	True
18	m0	0.9999999999937751	5.960464477539062e-07	True
18	m1	0.9999999999991277	5.364418029785156e-07	True
18	m2	0.9999999999993913	5.364418029785156e-07	True
19	m0	0.9999999999933356	5.364418029785156e-07	True
19	m1	0.9999999999988306	4.76837158203125e-07	True
19	m2	0.9999999999989881	4.172325134277344e-07	True
21	m0	0.9999999999920942	4.76837158203125e-07	True
21	m1	0.9999999999989092	4.76837158203125e-07	True
21	m2	0.9999999999990721	4.76837158203125e-07	True
25	m0	0.9999999999932625	5.364418029785156e-07	True
25	m1	0.9999999999992315	6.556510925292969e-07	True
25	m2	0.9999999999994745	4.172325134277344e-07	True
26	m0	0.9999999999898509	5.364418029785156e-07	True
26	m1	0.9999999999980591	4.76837158203125e-07	True
26	m2	0.9999999999986353	4.172325134277344e-07	True
29	m0	0.9999999999917045	5.364418029785156e-07	True
29	m1	0.9999999999981157	5.960464477539062e-07	True
29	m2	0.9999999999986104	4.172325134277344e-07	True
30	m0	0.9999999999893032	5.364418029785156e-07	True
30	m1	0.9999999999972942	5.364418029785156e-07	True
30	m2	0.9999999999980607	4.172325134277344e-07	True
31	m0	0.9999999999902831	5.364418029785156e-07	True
31	m1	0.9999999999991319	5.364418029785156e-07	True
31	m2	0.9999999999993223	4.172325134277344e-07	True
34	m0	0.9999999999915116	4.76837158203125e-07	True
34	m1	0.9999999999985075	5.364418029785156e-07	True
34	m2	0.9999999999988224	3.5762786865234375e-07	True
35	m0	0.9999999999916442	4.76837158203125e-07	True
35	m1	0.9999999999980105	4.76837158203125e-07	True
