subject	model	gate_r	gate_maxdiff	passed
35	m2	0.9999999999985159	4.172325134277344e-07	True
36	m0	0.9999999999886653	6.556510925292969e-07	True
36	m1	0.9999999999987776	5.364418029785156e-07	True
36	m2	0.9999999999990749	4.76837158203125e-07	True
37	m0	0.9999999999919306	5.960464477539062e-07	True
37	m1	0.9999999999978587	4.76837158203125e-07	True
37	m2	0.9999999999984907	4.172325134277344e-07	True
45	m0	0.9999999999936448	4.76837158203125e-07	True
45	m1	0.9999999999994412	4.172325134277344e-07	True
45	m2	0.9999999999994967	4.76837158203125e-07	True
46	m0	0.9999999999928512	5.960464477539062e-07	True
46	m1	0.9999999999971183	4.76837158203125e-07	True
46	m2	0.9999999999979664	3.5762786865234375e-07	True
47	m0	0.9999999999907179	5.364418029785156e-07	True
47	m1	0.9999999999960636	4.172325134277344e-07	True
47	m2	0.9999999999976424	4.172325134277344e-07	True
50	m0	0.999999999990976	5.364418029785156e-07	True
50	m1	0.999999999997613	5.364418029785156e-07	True
50	m2	0.9999999999982173	5.364418029785156e-07	True
53	m0	0.9999999999919154	4.172325134277344e-07	True
53	m1	0.9999999999989847	4.76837158203125e-07	True
53	m2	0.9999999999991386	4.76837158203125e-07	True
56	m0	0.9999999999894412	5.960464477539062e-07	True
56	m1	0.9999999999984124	4.76837158203125e-07	True
56	m2	0.9999999999987509	4.76837158203125e-07	True
59	m0	0.9999999999963651	4.76837158203125e-07	True
59	m1	0.9999999999994255	4.172325134277344e-07	True
59	m2	0.9999999999995428	4.172325134277344e-07	True
62	m0	0.9999999999902958	5.364418029785156e-07	True
62	m1	0.9999999999978652	5.364418029785156e-07	True
62	m2	0.9999999999984509	4.172325134277344e-07	True
63	m0	0.999999999994574	4.76837158203125e-07	True
63	m1	0.9999999999992186	5.960464477539062e-07	True
63	m2	0.999999999999386	4.172325134277344e-07	True
67	m0	0.9999999999904126	5.364418029785156e-07	True
67	m1	0.9999999999984988	4.172325134277344e-07	True
67	m2	0.999999999998842	4.172325134277344e-07	True
69	m0	0.9999999999928932	7.152557373046875e-07	True
69	m1	0.9999999999994711	5.960464477539062e-07	True
69	m2	0.999999999999578	4.172325134277344e-07	True
72	m0	0.9999999999920847	5.960464477539062e-07	True
72	m1	0.9999999999989176	4.76837158203125e-07	True
72	m2	0.9999999999991896	5.364418029785156e-07	True
74	m0	0.9999999999924997	5.364418029785156e-07	True
74	m1	0.9999999999992419	4.172325134277344e-07	True
74	m2	0.999999999999375	4.172325134277344e-07	True
