order	bin	vertex	ips	delta	sem	n	t	p	ci_lo	ci_hi	probit	probit_lo	probit_hi	probit_vertex	probit_vertex_lo	probit_vertex_hi	probit_ips	probit_ips_lo	probit_ips_hi
Risky first	20%	0.2836734693877551	0.2584724799010513	-0.025200989486703778	0.0364899149802253	35	-0.6906288902114668	0.4944869641226233	-0.099357418850737	0.048955439877329435	0.00044513256037923774	-0.03392125274259539	0.03515795253366833	0.27304729488158797	0.24666242034326658	0.2999585939995543	0.27349242744196717	0.24683607108343597	0.3015062656874464
Risky first	32%	0.3529385693671408	0.3685424099709814	0.0156038406038406	0.0401633864529362	35	0.3885090870543328	0.7000615755828206	-0.06601798099074462	0.09722566219842581	0.003006081969457877	-0.030631356827002694	0.03604388201391538	0.36708351114179266	0.34268721517598766	0.391984334780286	0.37008959311125045	0.3454155273824434	0.39496118688082993
Risky first	44%	0.46951659451659455	0.5117171717171717	0.0422005772005772	0.035137276732085936	35	1.2010201451395162	0.23804366239203592	-0.029206960510581664	0.11360811491173606	0.006721795965361838	-0.023548033353642802	0.0358696799278779	0.48503929007496144	0.46375502605970353	0.506773923558671	0.49176108604032326	0.46991745465504975	0.5127569815542427
Risky first	56%	0.5777777777777777	0.6102380952380952	0.032460317460317474	0.043873812759548325	35	0.739856315616269	0.4644654708002063	-0.056701997623108256	0.1216226325437432	0.010101617988867781	-0.01925788139830093	0.03911805057377479	0.595853362112804	0.575498825280573	0.6165258464360673	0.6059549801016718	0.5844016101117058	0.6264165794408212
Risky first	68%	0.7084150326797386	0.7044817927170869	-0.003933239962651736	0.041325801144044313	34	-0.09517637538210379	0.9247503397015516	-0.08801121456955925	0.08014473464425577	0.010316204724696066	-0.021283532389743277	0.04173399655866893	0.6926805871666585	0.6693207450380954	0.7159862971357648	0.7029967918913547	0.6791233119933829	0.7261003015961489
Risky first	80%	0.7965079365079365	0.7862698412698413	-0.010238095238095242	0.03240433809788646	35	-0.3159482908482248	0.7539731952085028	-0.07609163341559995	0.05561544293940947	0.009447964766680517	-0.024263572711808738	0.04297013587910786	0.7808704938795202	0.7551761062836636	0.8063957701745255	0.7903184586462008	0.7642510012139233	0.8145819394768008
Risky second	20%	0.2806698063840921	0.3364378478664193	0.05576804148232719	0.038713532469039025	35	1.4405309442357768	0.15886327071046913	-0.02290732231417058	0.13444340527882495	0.0853182908141126	0.047418520399468776	0.12447844399303946	0.284728434511786	0.25918164444170205	0.31170049288845514	0.3700467253258986	0.3403278432083929	0.40072399238060574
Risky second	32%	0.35310657596371886	0.4897691197691198	0.13666254380540094	0.05063107794955145	35	2.6991829789120985	0.010748582926760869	0.03376781364158761	0.23955727396921428	0.08324740075784791	0.04801072959034966	0.11822674201642094	0.38793212791786813	0.36427423937479636	0.4131620953243016	0.471179528675716	0.44491023169008503	0.4968914558910116
Risky second	44%	0.5449168375484165	0.6010822510822511	0.056165413533834585	0.036057927978155095	35	1.557643954690385	0.12857832790083853	-0.017113112617144835	0.129443939684814	0.06774403084652351	0.03797737812977634	0.09709892726202411	0.5190457114769284	0.49751925721622153	0.5408334944194856	0.5867897423234519	0.5645799992112083	0.6073505513520779
Risky second	56%	0.6732395382395383	0.6667460317460318	-0.006493506493506499	0.045702311147197576	35	-0.14208267219993043	0.8878533127060367	-0.09937177738552871	0.08638476439851572	0.045903377616786534	0.017770341368010596	0.07406149823528319	0.6406904739677343	0.61926258905678	0.6611133722552233	0.6865938515845207	0.6659796693272438	0.7060087389093446
Risky second	68%	0.7423202614379084	0.7763167388167388	0.03399647737883032	0.030711060952791688	34	1.1069782783176685	0.2763075060978931	-0.028485645930523405	0.09647860068818404	0.02551998801819488	-0.002875901797768289	0.05565760237455165	0.7403822525998341	0.7169763542470525	0.7620486372136885	0.765902240618029	0.744498431888431	0.7866441087095886
Risky second	80%	0.8135714285714286	0.8418253968253968	0.028253968253968247	0.03514628731476786	35	0.803896240900996	0.4270419854838531	-0.04317188116437171	0.09967981767230821	0.006743442209247799	-0.02225915023377601	0.036902364217958866	0.826486331646682	0.8021536102995926	0.8488574719285206	0.8332297738559298	0.8105790348665936	0.8544624956364616
