	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale
log-power-percmempmu.mapjitter.klw	0	-4148.088123198904	192.58133437826473	0.0	0.48814639392091247	46.81071476686548	0.0	False	log
log-power-percpmu.mapjitter.klw	1	-4148.098182928399	188.19929001451737	0.010059729495809577	0.24194068566254048	46.79492998835071	1.1491648974619733	False	log
log-power+weber-percpmu.mapjitter.klw	2	-4149.692636832404	185.79350198248903	1.6045136335002077	0.08937892429487021	46.85968678044166	2.9418424670817562	False	log
log-power+weber-percmempmu.mapjitter.klw	3	-4150.35834198115	191.31474304808626	2.270218782247005	2.4420011732140688e-12	46.864671107112315	2.526119056532396	False	log
log-power-percmem.mapjitter.klw	4	-4153.918067912235	183.24193834794596	5.829944713331271	2.5426054584416625e-12	46.73773856339878	3.9099052693054634	False	log
log-power+weber-perc.mapjitter.klw	5	-4155.030877091852	175.04511064818416	6.94275389294809	0.16945603030037315	46.77516625586692	5.003780546775586	False	log
log-power-perc.mapjitter.klw	6	-4155.192842431699	177.48640030773277	7.104719232795384	2.45920622608587e-12	46.73352335666049	4.243833914844909	False	log
log-power+weber-percmem.mapjitter.klw	7	-4156.109407603544	182.14167751247396	8.021284404640271	2.528952912419335e-12	46.77289759426398	4.628587357887458	False	log
log-power-spmu.mapjitter.klw	8	-4173.812205611209	170.03322706903964	25.724082412305407	2.4717394237021954e-12	46.986319483124895	6.8448736750060375	True	log
log-power-mem.mapjitter.klw	9	-4194.9872359960655	167.53763591728966	46.899112797161266	0.011077965813636088	46.68603731781701	9.918713572341922	True	log
log-power+weber-null.mapjitter.klw	10	-4259.045808196938	136.5268528012739	110.95768499803435	1.97980588587179e-12	46.31207086907513	13.900590327794715	False	log
log-power-null.klw	11	-4259.4871136634265	138.50479636001546	111.39899046452369	0.0	46.28762994824607	13.700165809495118	False	log
